,date,code,12개월 간 수익률,name,KOSPI 12개월 간 수익률,KOSPI대비 12개월 간 수익률,12개월 간 KOSPI 이김,PER,PBR,배당수익률,PER_inv,PBR_inv
0,20221021,005930,-0.20483641536273114,삼성전자,-0.26550789270267333,0.06067147733994219,1,9.68,1.28,2.58,0.10330578512396695,0.78125
1,20221021,373220,-0.011881188118811881,LG에너지솔루션,-0.26550789270267333,0.25362670458386144,1,125.91,12.53,0.0,0.007942180922881424,0.07980845969672785
2,20221021,000660,-0.0755873340143003,SK하이닉스,-0.26550789270267333,0.18992055868837304,1,6.47,1.0,1.7,0.1545595054095827,1.0
3,20221021,207940,-0.020536357528513724,삼성바이오로직스,-0.26550789270267333,0.2449715351741596,1,144.07,11.36,0.0,0.0069410703130422715,0.08802816901408451
4,20221021,006400,-0.1375515818431912,삼성SDI,-0.26550789270267333,0.12795631085948214,1,35.84,2.85,0.16,0.027901785714285712,0.3508771929824561
5,20221021,005935,-0.19254658385093168,삼성전자우,-0.26550789270267333,0.07296130885174165,1,10000.0,10000.0,2.78,0.0001,0.0001
6,20221021,051910,-0.3238095238095238,LG화학,-0.26550789270267333,-0.05830163110685049,0,12.06,2.04,2.11,0.08291873963515754,0.49019607843137253
7,20221021,005380,-0.20095693779904306,현대차,-0.26550789270267333,0.06455095490363028,1,8.8,0.58,2.99,0.11363636363636363,1.7241379310344829
8,20221021,000270,-0.18973747016706444,기아,-0.26550789270267333,0.0757704225356089,1,5.72,0.78,4.42,0.17482517482517484,1.282051282051282
9,20221021,035420,-0.592638036809816,NAVER,-0.26550789270267333,-0.32713014410714264,0,1.5,1.05,0.31,0.6666666666666666,0.9523809523809523
10,20221021,068270,-0.19048682447521215,셀트리온,-0.26550789270267333,0.07502106822746119,1,42.09,6.15,0.43,0.023758612497030172,0.16260162601626016
11,20221021,035720,-0.618359375,카카오,-0.26550789270267333,-0.3528514822973267,0,15.17,2.12,0.11,0.06591957811470006,0.4716981132075471
12,20221021,005490,-0.19547657512116318,POSCO홀딩스,-0.26550789270267333,0.07003131758151016,1,2.85,0.37,6.83,0.3508771929824561,2.7027027027027026
13,20221021,028260,-0.0912863070539419,삼성물산,-0.26550789270267333,0.17422158564873141,1,11.05,0.59,3.84,0.09049773755656108,1.6949152542372883
14,20221021,012330,-0.23880597014925373,현대모비스,-0.26550789270267333,0.026701922553419605,1,7.95,0.53,1.96,0.12578616352201258,1.8867924528301885
15,20221021,105560,-0.1800356506238859,KB금융,-0.26550789270267333,0.08547224207878742,1,4.13,0.38,6.39,0.24213075060532688,2.6315789473684212
16,20221021,055550,-0.08668341708542714,신한지주,-0.26550789270267333,0.17882447561724618,1,4.97,0.41,5.39,0.2012072434607646,2.4390243902439024
17,20221021,034730,-0.218568665377176,SK,-0.26550789270267333,0.046939227325497324,1,5.4,0.54,3.96,0.18518518518518517,1.8518518518518516
18,20221021,003670,0.20257234726688103,포스코케미칼,-0.26550789270267333,0.4680802399695544,1,106.67,6.06,0.16,0.009374707040404988,0.16501650165016502
19,20221021,096770,-0.3953488372093023,SK이노베이션,-0.26550789270267333,-0.12984094450662897,0,42.86,0.76,1.61,0.02333177788147457,1.3157894736842106
20,20221021,032830,-0.06232294617563739,삼성생명,-0.26550789270267333,0.20318494652703595,1,8.09,0.31,4.53,0.12360939431396786,3.2258064516129035
21,20221021,066570,-0.3536,LG전자,-0.26550789270267333,-0.0880921072973267,0,14.11,0.84,1.05,0.07087172218284904,1.1904761904761905
22,20221021,003550,-0.18277310924369747,LG,-0.26550789270267333,0.08273478345897586,1,5.02,0.59,3.6,0.19920318725099603,1.6949152542372883
23,20221021,033780,0.07560975609756097,KT&G,-0.26550789270267333,0.3411176488002343,1,11.17,1.16,5.44,0.08952551477170993,0.8620689655172414
24,20221021,010130,0.015570934256055362,고려아연,-0.26550789270267333,0.2810788269587287,1,12.86,1.36,3.41,0.07776049766718507,0.7352941176470588
25,20221021,086790,-0.14818880351262348,하나금융지주,-0.26550789270267333,0.11731908919004985,1,3.28,0.33,7.99,0.3048780487804878,3.0303030303030303
26,20221021,017670,-0.03693060463671314,SK텔레콤,-0.26550789270267333,0.2285772880659602,1,6.9,0.93,6.64,0.14492753623188406,1.075268817204301
27,20221021,015760,-0.26373626373626374,한국전력,-0.26550789270267333,0.0017716289664095886,1,10000.0,0.17,0.0,0.0001,5.88235294117647
28,20221021,247540,-0.045174722257120804,에코프로비엠,-0.26550789270267333,0.22033317044555253,1,92.28,17.83,0.86,0.010836584308625921,0.05608524957936063
29,20221021,091990,-0.2604851402647903,셀트리온헬스케어,-0.26550789270267333,0.005022752437883027,1,65.4,4.74,0.41,0.015290519877675839,0.21097046413502107
30,20221021,010950,-0.17596153846153847,S-Oil,-0.26550789270267333,0.08954635424113486,1,7.24,1.43,4.43,0.13812154696132597,0.6993006993006994
31,20221021,009830,0.12386363636363637,한화솔루션,-0.26550789270267333,0.3893715290663097,1,14.89,1.16,0.0,0.0671591672263264,0.8620689655172414
32,20221021,329180,0.05472636815920398,현대중공업,-0.26550789270267333,0.32023426086187734,1,10000.0,1.68,0.0,0.0001,0.5952380952380952
33,20221021,030200,0.13132911392405064,KT,-0.26550789270267333,0.39683700662672394,1,6.21,0.56,5.34,0.1610305958132045,1.7857142857142856
34,20221021,000810,-0.20445344129554655,삼성화재,-0.26550789270267333,0.061054451407126786,1,7.44,0.54,6.11,0.13440860215053763,1.8518518518518516
