종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","280","5","1.82",,,,,"162","1.73","0","0.00"
"036360","3SOFT ","6860","300","4.57",,,,,"588","11.67","0","0.00"
"005760","ACTS ","6320","-90","-1.40","733","8.62",,,"5624","1.12","0","0.00"
"013340","AJS ","1310","-30","-2.24","82","15.98",,,"702","1.87","0","0.00"
"039790","AMIC ","1455","-45","-3.00",,,,,"594","2.45","0","0.00"
"015670","AP우주통신 ","490","0","0.00",,,,,"502","0.98","0","0.00"
"015675","AP우주통신(1우B) ","4045","0","0.00",,,,,,,"0","0.00"
"004560","BNG스틸 ","7670","400","5.50",,,,,"13854","0.55","0","0.00"
"004565","BNG스틸(1우) ","6000","90","1.52",,,,,,,"0","0.00"
"001460","BYC ","154500","0","0.00","17456","8.85",,,"256433","0.60","750","0.49"
"001465","BYC(1우) ","64800","-100","-0.15",,,,,,,"800","1.23"
"045260","C&S디펜스 ","1360","-5","-0.37",,,,,"1815","0.75","0","0.00"
"065770","C&S마이크로 ","5690","-60","-1.04","795","7.16",,,"3577","1.59","0","0.00"
"000790","C&상선 ","445","0","0.00",,,,,"1069","0.42","0","0.00"
"013200","C&우방 ","3990","10","0.25","193","20.67",,,"9986","0.40","0","0.00"
"084680","C&우방랜드 ","4095","-35","-0.85",,,,,"13743","0.30","0","0.00"
"008400","C&진도 ","3490","-10","-0.29","953","3.66",,,"10110","0.35","0","0.00"
"008405","C&진도(1우) ","43050","-4600","-9.65",,,,,,,"0","0.00"
"001040","CJ ","105000","-1500","-1.41","4596","22.85",,,"53806","1.95","1500","1.43"
"001045","CJ(1우) ","53200","-300","-0.56",,,,,,,"1550","2.91"
"001047","CJ(2우B) ","91900","0","0.00",,,,,,,"1500","1.63"
"001049","CJ(3우B) ","86900","800","0.93",,,,,,,"1500","1.73"
"079160","CJCGV ","23050","300","1.32","1152","20.01",,,"2822","8.17","400","1.74"
"037150","CJ인터넷 ","24550","-650","-2.58","813","30.20",,,"7015","3.50","0","0.00"
"051500","CJ푸드시스템 ","10250","0","0.00","678","15.12",,,"11301","0.91","0","0.00"
"035760","CJ홈쇼핑 ","80100","-100","-0.12","7771","10.31",,,"36960","2.17","0","0.00"
"004530","CKF ","13050","-250","-1.88","5179","2.52",,,"11346","1.15","0","0.00"
"050470","CMS ","1195","30","2.58",,,,,"790","1.51","0","0.00"
"023460","CNH캐피탈 ","1370","-25","-1.79","170","8.06",,,"2824","0.49","0","0.00"
"052350","CURON ","2035","-280","-12.10","88","23.13",,,"1316","1.55","0","0.00"
"068790","DMS ","8080","-200","-2.42","1139","7.09",,,"6689","1.21","0","0.00"
"065340","DM테크놀로지 ","5300","40","0.76",,,,,"2320","2.28","0","0.00"
"069730","DSR제강 ","1305","-20","-1.51","148","8.82",,,"2073","0.63","25","1.92"
"017940","E1 ","42700","100","0.23","8517","5.01",,,"73884","0.58","1500","3.51"
"064060","EBSI ","1570","-20","-1.26",,,,,"2144","0.73","0","0.00"
"047940","EBT네트웍스 ","215","-10","-4.44",,,,,"757","0.28","0","0.00"
"037370","EG ","16100","50","0.31","286","56.29",,,"4407","3.65","0","0.00"
"080220","EMLSI ","9710","-280","-2.80","1367","7.10",,,"9520","1.02","0","0.00"
"079190","EMW안테나 ","9570","-530","-5.25","1187","8.06",,,"4562","2.10","0","0.00"
"007700","F&F ","4705","-80","-1.67","896","5.25",,,"5096","0.92","150","3.19"
"001370","FnC코오롱 ","18400","-100","-0.54","1216","15.13",,,"7576","2.43","250","1.36"
"001375","FnC코오롱(1우) ","7270","70","0.97",,,,,,,"300","4.13"
"078930","GS ","30650","0","0.00","4075","7.52",,,"24468","1.25","1000","3.26"
"078935","GS(1우) ","19900","-100","-0.50",,,,,,,"1050","5.28"
"083450","GST ","6350","70","1.11","758","8.38",,,"1737","3.66","0","0.00"
"006360","GS건설 ","89700","2800","3.22","5317","16.87",,,"29303","3.06","1400","1.56"
"028150","GS홈쇼핑 ","84900","-1600","-1.85","9554","8.89",,,"45406","1.87","0","0.00"
"053870","GT&T ","2175","10","0.46","239","9.10",,,"1564","1.39","0","0.00"
"035000","GⅡR ","15300","-50","-0.33","808","18.94",,,"8852","1.73","1000","6.54"
"007640","HK저축은행 ","5510","-160","-2.82",,,,,"1425","3.87","0","0.00"
"025340","HS창투 ","535","5","0.94",,,,,"560","0.96","0","0.00"
"007720","HS홀딩스 ","2735","45","1.67","64","42.73",,,"1138","2.40","0","0.00"
"060910","I.S하이텍 ","2650","-50","-1.85",,,,,"668","3.97","0","0.00"
"011420","IB스포츠 ","9100","190","2.13",,,,,"2619","3.47","0","0.00"
"038710","ICM ","3390","-200","-5.57","517","6.56",,,"2048","1.66","0","0.00"
"080570","IC코퍼레이션 ","390","-35","-8.24","16","24.38",,,"287","1.36","0","0.00"
"003560","IHQ ","7100","-300","-4.05","173","41.04",,,"1105","6.43","0","0.00"
"065310","JH코오스 ","1435","-20","-1.37",,,,,"603","2.38","0","0.00"
"067130","JS픽쳐스 ","1325","-25","-1.85",,,,,"192","6.90","0","0.00"
"002380","KCC ","293000","-2500","-0.85","19596","14.95",,,"249013","1.18","5000","1.71"
"021320","KCC건설 ","41300","300","0.73","8189","5.04",,,"33261","1.24","0","0.00"
"036670","KCI ","3920","90","2.35","306","12.81",,,"2275","1.72","0","0.00"
"009070","KCTC ","53000","6850","14.84","981","54.03",,,"33929","1.56","900","1.70"
"068060","KCW ","1875","-45","-2.34","297","6.31",,,"4047","0.46","0","0.00"
"054020","KDN스마텍 ","520","-5","-0.95",,,,,"285","1.82","0","0.00"
"017300","KDS ","900","-90","-9.09",,,,,"930","0.97","0","0.00"
"092220","KEC ","1190","20","1.71",,,,,,,"0","0.00"
"006200","KEC홀딩스 ","1725","-25","-1.43",,,,,"6770","0.25","35","2.03"
"001390","KG케미칼 ","8630","380","4.61","847","10.19",,,"7939","1.09","200","2.32"
"060720","KH바텍 ","12850","-250","-1.91","168","76.49",,,"10772","1.19","0","0.00"
"039420","KL-Net ","6350","0","0.00","882","7.20",,,"8299","0.77","0","0.00"
"092230","KPC홀딩스 ","33200","1300","4.08",,,,,,,"0","0.00"
"030200","KT ","47850","150","0.31","4719","10.14",,,"55619","0.86","3000","6.27"
"033780","KT&G ","61600","700","1.15","3497","17.62",,,"25857","2.38","1700","2.76"
"030210","KTB네트워크 ","5250","-80","-1.50","414","12.68",,,"7377","0.71","0","0.00"
"032390","KTF ","30700","-450","-1.44","3012","10.19",,,"20825","1.47","600","1.95"
"036030","KTH ","7360","-160","-2.13",,,,,"4735","1.55","0","0.00"
"060370","KT서브마린 ","6390","10","0.16",,,,,"13373","0.48","0","0.00"
"003550","LG ","31150","50","0.16","3437","9.06",,,"23332","1.34","500","1.61"
"003555","LG(1우) ","17450","400","2.35",,,,,,,"550","3.15"
