종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"069110","3H ","1050","40","3.96",,,,,"875","1.20","0","0.00"
"060310","3S ","860","20","2.38",,,,,"454","1.89","0","0.00"
"013340","AJS ","2040","155","8.22",,,,,"946","2.16","0","0.00"
"054620","AP시스템 ","4065","30","0.74","466","8.72",,,"3794","1.07","0","0.00"
"004560","BNG스틸 ","7360","0","0.00",,,,,"11755","0.63","0","0.00"
"004565","BNG스틸우 ","8550","640","8.09",,,,,,,"0","0.00"
"048550","BT&I ","755","-35","-4.43",,,,,"673","1.12","0","0.00"
"001460","BYC ","113500","4000","3.65","7741","14.66",,,"288027","0.39","750","0.66"
"001465","BYC우 ","54800","-100","-0.18",,,,,,,"800","1.46"
"065770","C&S마이크로 ","2345","45","1.96",,,,,"4181","0.56","60","2.56"
"084680","C&우방랜드 ","1530","50","3.38",,,,,"656","2.33","0","0.00"
"001040","CJ ","52400","100","0.19","11390","4.60",,,"80091","0.65","1500","2.86"
"079160","CJ CGV ","18650","-500","-2.61","972","19.19",,,"3412","5.47","250","1.34"
"001049","CJ3우B ","51000","1000","2.00",,,,,,,"1950","3.82"
"035760","CJ오쇼핑 ","83400","0","0.00","2691","30.99",,,"48718","1.71","1250","1.50"
"001045","CJ우 ","21900","50","0.23",,,,,,,"1550","7.08"
"037150","CJ인터넷 ","12950","250","1.97","1104","11.73",,,"9146","1.42","150","1.16"
"097950","CJ제일제당 ","216500","-3000","-1.37","1969","109.95",,,"117919","1.84","1000","0.46"
"097959","CJ제일제당 3우B ","212500","-16500","-7.21",,,,,,,"1450","0.68"
"097955","CJ제일제당 우 ","62500","100","0.16",,,,,,,"1050","1.68"
"051500","CJ프레시웨이 ","12500","50","0.40","373","33.51",,,"8204","1.52","100","0.80"
"035710","CL ","970","-5","-0.51",,,,,"2940","0.33","0","0.00"
"050470","CMS ","405","-5","-1.22",,,,,"1647","0.25","0","0.00"
"023460","CNH ","1310","0","0.00","116","11.29",,,"3492","0.38","30","2.29"
"056340","CU전자 ","945","15","1.61","282","3.35",,,"2298","0.41","0","0.00"
"068790","DMS ","7250","350","5.07","1091","6.65",,,"7205","1.01","0","0.00"
"065340","DM테크놀로지 ","50","-5","-9.09",,,,,"1802","0.03","0","0.00"
"069730","DSR제강 ","3870","55","1.44","1266","3.06",,,"3773","1.03","25","0.65"
"009730","DS제강 ","1890","-20","-1.05",,,,,"5131","0.37","0","0.00"
"017940","E1 ","59500","-500","-0.83","9048","6.58",,,"92394","0.64","1500","2.52"
"037370","EG ","13400","-200","-1.47","51","262.75",,,"6203","2.16","50","0.37"
"080220","EMLSI ","1030","-15","-1.44",,,,,"3611","0.29","0","0.00"
"079190","EMW안테나 ","10300","100","0.98","405","25.43",,,"5513","1.87","160","1.55"
"007700","F&F ","3210","5","0.16","654","4.91",,,"6968","0.46","75","2.34"
"114090","GKL ","17550","-1200","-6.40","1003","17.50",,,"1648","10.65","350","1.99"
"054020","GK파워 ","910","-40","-4.21",,,,,"3320","0.27","0","0.00"
"078930","GS ","31550","-150","-0.47","1197","26.36",,,"37491","0.84","500","1.58"
"083450","GST ","1640","-10","-0.61",,,,,"2759","0.59","0","0.00"
"006360","GS건설 ","109000","0","0.00","7689","14.18",,,"62951","1.73","500","0.46"
"001250","GS글로벌 ","20950","-1050","-4.77","2554","8.20",,,"6276","3.34","500","2.39"
"078935","GS우 ","16800","150","0.90",,,,,,,"550","3.27"
"028150","GS홈쇼핑 ","84300","1400","1.69","8679","9.71",,,"59567","1.42","3000","3.56"
"053870","GT&T ","1225","0","0.00",,,,,"1919","0.64","0","0.00"
"035000","GⅡR ","11150","250","2.29",,,,,"6939","1.61","200","1.79"
"032800","G러닝 ","755","-25","-3.21",,,,,"926","0.82","0","0.00"
"041590","H&H ","1430","-5","-0.35",,,,,"902","1.59","0","0.00"
"001500","HMC투자증권 ","17100","0","0.00","82","208.54",,,"14924","1.15","0","0.00"
"036640","HRS ","2415","-15","-0.62","78","30.96",,,"2721","0.89","0","0.00"
"053950","HS바이오팜 ","1270","40","3.25","45","28.22",,,"752","1.69","0","0.00"
"007720","HS홀딩스 ","825","20","2.48",,,,,"1618","0.51","0","0.00"
"011420","IB스포츠 ","2090","-100","-4.57",,,,,"1005","2.08","0","0.00"
"038710","ICM ","450","-35","-7.22",,,,,"344","1.31","0","0.00"
"003560","IHQ ","1210","30","2.54",,,,,"949","1.28","0","0.00"
"095340","ISC ","4180","50","1.21","405","10.32",,,"7813","0.54","115","2.75"
"036420","ISPLUS ","2160","105","5.11",,,,,"1275","1.69","0","0.00"
"067000","JCE ","3710","25","0.68",,,,,"5170","0.72","0","0.00"
"065310","JH코오스 ","165","0","0.00",,,,,"298","0.55","0","0.00"
"037110","JS ","2000","50","2.56",,,,,"580","3.45","0","0.00"
"005560","JS전선 ","16250","0","0.00","904","17.98",,,"11618","1.40","500","3.08"
"105560","KB금융 ","59000","1000","1.72",,,,,,,"0","0.00"
