종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"069110","3H ","3155","40","1.28",,,,,"549","5.75","0","0.00"
"060310","3S ","17400","0","0.00","43","404.65",,,"512","33.98","0","0.00"
"038120","AD모터스 ","496","1","0.20",,,,,"730","0.68","0","0.00"
"013340","AJS ","1015","5","0.50","71","14.30",,,"972","1.04","0","0.00"
"054620","AP시스템 ","14350","100","0.70",,,,,"2851","5.03","0","0.00"
"090470","AST젯텍 ","4550","95","2.13","798","5.70",,,"4178","1.09","50","1.10"
"138930","BS금융지주 ","11400","0","0.00",,,,,,,"0","0.00"
"048550","BT&I ","724","-6","-0.82","64","11.31",,,"719","1.01","0","0.00"
"001460","BYC ","154500","-3000","-1.90","34866","4.43",,,"337506","0.46","850","0.55"
"001465","BYC우 ","69900","1000","1.45",,,,,,,"900","1.29"
"032040","C&S자산관리 ","2810","20","0.72","1090","2.58",,,"4295","0.65","300","10.68"
"001040","CJ ","79200","-400","-0.50","5800","13.66",,,"112408","0.70","800","1.01"
"079160","CJ CGV ","25650","-250","-0.97","1617","15.86",,,"4539","5.65","250","0.97"
"130960","CJ E&M ","31400","600","1.95",,,,,,,"0","0.00"
"011150","CJ씨푸드 ","2560","30","1.19","143","17.90",,,"839","3.05","0","0.00"
"011155","CJ씨푸드1우 ","9190","30","0.33",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","276400","-1200","-0.43","10222","27.04",,,"61266","4.51","1200","0.43"
"001045","CJ우 ","19850","150","0.76",,,,,,,"850","4.28"
"097950","CJ제일제당 ","284000","-2000","-0.70","50375","5.64",,,"208403","1.36","4000","1.41"
"097955","CJ제일제당 우 ","68200","-500","-0.73",,,,,,,"4050","5.94"
"051500","CJ프레시웨이 ","27450","-50","-0.18","901","30.47",,,"9727","2.82","100","0.36"
"023460","CNH ","1340","-10","-0.74","350","3.83",,,"3998","0.34","50","3.73"
"065770","CS ","10550","-50","-0.47","444","23.76",,,"4806","2.20","90","0.85"
"000590","CS홀딩스 ","39400","1950","5.21","7681","5.13",,,"153614","0.26","500","1.27"
"050470","CT&T ","377","0","0.00",,,,,"760","0.50","0","0.00"
"056340","CU전자 ","382","2","0.53","3","127.33",,,"1302","0.29","0","0.00"
"139130","DGB금융지주 ","12800","-100","-0.78",,,,,,,"0","0.00"
"068790","DMS ","4220","160","3.94","100","42.20",,,"8168","0.52","0","0.00"
"069730","DSR제강 ","3305","55","1.69","812","4.07",,,"5659","0.58","25","0.76"
"009730","DS제강 ","397","15","3.93","10","39.70",,,"1109","0.36","0","0.00"
"017940","E1 ","49450","0","0.00","9263","5.34",,,"134826","0.37","1500","3.03"
"037370","EG ","29600","3300","12.55","403","73.45",,,"6818","4.34","100","0.34"
"080220","EMLSI ","3850","-150","-3.75","529","7.28",,,"1911","2.01","0","0.00"
"079190","EMW ","2670","30","1.14",,,,,"2963","0.90","0","0.00"
"007700","F&F ","6130","-60","-0.97","1786","3.43",,,"9767","0.63","200","3.26"
"114090","GKL ","18250","-50","-0.27","1156","15.79",,,"3308","5.52","620","3.40"
"078930","GS ","61500","3500","6.03","8598","7.15",,,"51352","1.20","1250","2.03"
"083450","GST ","3200","30","0.95","869","3.68",,,"3906","0.82","50","1.56"
"006360","GS건설 ","94900","3700","4.06","8231","11.53",,,"74159","1.28","1000","1.05"
"001250","GS글로벌 ","10950","0","0.00","1635","6.70",,,"8421","1.30","500","4.57"
"078935","GS우 ","22150","450","2.07",,,,,,,"1300","5.87"
"028150","GS홈쇼핑 ","106100","100","0.09","12156","8.73",,,"70525","1.50","3000","2.83"
"053870","GT&T ","735","-5","-0.68","18","40.83",,,"2022","0.36","0","0.00"
"035000","GⅡR ","9010","0","0.00","703","12.82",,,"6422","1.40","150","1.66"
"032800","G러닝 ","859","2","0.23",,,,,"729","1.18","0","0.00"
"041590","H&H ","1275","-20","-1.54",,,,,"771","1.65","0","0.00"
"001500","HMC투자증권 ","14100","950","7.22","1064","13.25",,,"21296","0.66","0","0.00"
"036640","HRS ","3180","40","1.27","439","7.24",,,"3271","0.97","200","6.29"
"126680","IBKS스팩1호 ","917","1","0.11",,,,,,,"0","0.00"
"011420","IB스포츠 ","1670","-10","-0.60","22","75.91",,,"1113","1.50","0","0.00"
"003560","IHQ ","2850","0","0.00",,,,,"647","4.40","0","0.00"
"095340","ISC ","8770","210","2.45","644","13.62",,,"8324","1.05","300","3.42"
"099520","ITX시큐리티 ","1685","-5","-0.30",,,,,"3221","0.52","0","0.00"
"067000","JCE ","37600","-200","-0.53","278","135.25",,,"5617","6.69","50","0.13"
"005560","JS전선 ","6490","0","0.00",,,,,"12344","0.53","500","7.70"
"067290","JW중외신약 ","9310","-100","-1.06","6","1551.67",,,"1574","5.91","35","0.38"
"001060","JW중외제약 ","14700","100","0.68","575","25.57",,,"19266","0.76","300","2.04"
"001067","JW중외제약2우B ","19550","-250","-1.26",,,,,,,"300","1.53"
"001065","JW중외제약우 ","13800","200","1.47",,,,,,,"325","2.36"
"096760","JW홀딩스 ","2585","90","3.61","23","112.39",,,"2191","1.18","40","1.55"
"035900","JYP Ent. ","7050","200","2.92",,,,,"102","69.12","0","0.00"
"105560","KB금융 ","39900","2150","5.70","257","155.25",,,"46449","0.86","120","0.30"
"024120","KB오토시스 ","5080","80","1.60","265","19.17",,,"4692","1.08","75","1.48"
"002380","KCC ","237500","8000","3.49","32770","7.25",,,"603104","0.39","8000","3.37"
"021320","KCC건설 ","29550","-450","-1.50","8204","3.60",,,"66984","0.44","1000","3.38"
"036670","KCI ","2120","95","4.69","247","8.58",,,"3029","0.70","50","2.36"
"009070","KCTC ","15500","300","1.97","551","28.13",,,"40434","0.38","150","0.97"
"068060","KCW ","2635","35","1.35","743","3.55",,,"5556","0.47","100","3.80"
"009440","KC그린홀딩스 ","2225","45","2.06","353","6.30",,,"4710","0.47","65","2.92"
"119650","KC코트렐 ","16500","200","1.23","3740","4.41",,,"9083","1.82","730","4.42"
"092220","KEC ","843","12","1.44",,,,,"1078","0.78","0","0.00"
"109070","KGP ","1230","-15","-1.20",,,,,"4591","0.27","0","0.00"
"001390","KG케미칼 ","7440","-20","-0.27","507","14.67",,,"19724","0.38","250","3.36"
"060720","KH바텍 ","11300","100","0.89","827","13.66",,,"11839","0.95","250","2.21"
"001940","KISCO홀딩스 ","33750","1500","4.65","7437","4.54",,,"168544","0.20","900","2.67"
"083470","KJ프리텍 ","2630","30","1.15",,,,,"1892","1.39","0","0.00"
"122450","KMH ","8440","-140","-1.63","791","10.67",,,"2398","3.52","0","0.00"
"058400","KNN ","6300","0","0.00","624","10.10",,,"9871","0.64","250","3.97"
"083420","KPX그린케미칼 ","2765","10","0.36","266","10.39",,,"3666","0.75","150","5.42"
"114450","KPX생명과학 ","2790","5","0.18","321","8.69",,,"4049","0.69","200","7.17"
"025000","KPX케미칼 ","56400","1500","2.73","9506","5.93",,,"50296","1.12","1500","2.66"
"092230","KPX홀딩스 ","43600","1000","2.35","10360","4.21",,,"95894","0.45","1750","4.01"
"025850","KPX화인케미칼 ","16700","800","5.03","7274","2.30",,,"41986","0.40","1500","8.98"
"044450","KSS해운 ","3730","45","1.22","768","4.86",,,"10646","0.35","85","2.28"
"030200","KT ","36600","600","1.67","4818","7.60",,,"49322","0.74","2410","6.58"
"033780","KT&G ","78500","1100","1.42","8109","9.68",,,"37392","2.10","3000","3.82"
"030210","KTB투자증권 ","2175","95","4.57","410","5.30",,,"6921","0.31","0","0.00"
"036030","KTH ","7540","-20","-0.26",,,,,"5376","1.40","0","0.00"
"058850","KTcs ","2115","25","1.20","355","5.96",,,"2389","0.89","35","1.65"
"043610","KT뮤직 ","3080","0","0.00","20","154.00",,,"746","4.13","0","0.00"
"060370","KT서브마린 ","11900","50","0.42","949","12.54",,,"17243","0.69","250","2.10"
"003550","LG ","64200","3000","4.90","8715","7.37",,,"56138","1.14","1000","1.56"
"034220","LG디스플레이 ","26300","450","1.74","3232","8.14",,,"30843","0.85","500","1.90"
"001120","LG상사 ","50900","900","1.80","7447","6.83",,,"24887","2.05","350","0.69"
"068870","LG생명과학 ","34650","1450","4.37","1003","34.55",,,"14690","2.36","0","0.00"
"068875","LG생명과학우 ","18900","350","1.89",,,,,,,"0","0.00"
"051900","LG생활건강 ","526000","-6000","-1.13","13743","38.27",,,"51653","10.18","2650","0.50"
"051905","LG생활건강우 ","134000","-1500","-1.11",,,,,,,"2700","2.01"
"003555","LG우 ","23250","350","1.53",,,,,,,"1050","4.52"
"032640","LG유플러스 ","6790","140","2.11","1318","5.15",,,"9535","0.71","350","5.15"
"011070","LG이노텍 ","71000","3300","4.87","6637","10.70",,,"73057","0.97","350","0.49"
"066570","LG전자 ","76000","2700","3.68","2387","31.84",,,"77033","0.99","200","0.26"
"066575","LG전자우 ","24000","100","0.42",,,,,,,"250","1.04"
"093050","LG패션 ","48450","1800","3.86","3155","15.36",,,"21861","2.22","400","0.83"
"108670","LG하우시스 ","86900","1800","2.12","4245","20.47",,,"69166","1.26","1000","1.15"
"108675","LG하우시스우 ","22150","400","1.84",,,,,,,"1050","4.74"
"051910","LG화학 ","346500","24000","7.44","29345","11.81",,,"105022","3.30","4000","1.15"
"051915","LG화학우 ","120500","4000","3.43",,,,,,,"4050","3.36"
"002550","LIG손해보험 ","23500","-700","-2.89","1388","16.93",,,"17451","1.35","500","2.13"
"079950","LIG에이디피 ","2480","25","1.02","587","4.22",,,"2327","1.07","100","4.03"
"006260","LS ","80800","4100","5.35","9173","8.81",,,"70377","1.15","1000","1.24"
"000680","LS네트웍스 ","4310","-40","-0.92","239","18.03",,,"10439","0.41","50","1.16"
"000685","LS네트웍스우 ","71800","2700","3.91",,,,,,,"100","0.14"
"000687","LS네트웍스전환상환2우B ","4605","0","0.00",,,,,,,"10","0.22"
"010120","LS산전 ","62800","1500","2.45","3983","15.77",,,"25743","2.44","1150","1.83"
"086960","MDS테크 ","6560","60","0.92","907","7.23",,,"6160","1.06","260","3.96"
"023150","MH에탄올 ","2395","55","2.35",,,,,"6081","0.39","0","0.00"
"078150","NCB네트웍스 ","1275","10","0.79","12","106.25",,,"751","1.70","0","0.00"
"035420","NHN ","227000","-21000","-8.47","11024","20.59",,,"44633","5.09","0","0.00"
"016420","NH투자증권 ","5050","320","6.77","1017","4.97",,,"10611","0.48","50","0.99"
"034310","NICE ","53900","1100","2.08","1621","33.25",,,"95360","0.57","1500","2.78"
"030190","NICE평가정보 ","24550","-150","-0.61",,,,,,,"0","0.00"
"008260","NI스틸 ","1825","40","2.24","282","6.47",,,"1852","0.99","50","2.74"
"004250","NPC ","2610","45","1.75","415","6.29",,,"2378","1.10","60","2.30"
"004255","NPC우 ","1280","30","2.40",,,,,,,"65","5.08"
"010060","OCI ","231000","5000","2.21","27400","8.43",,,"94672","2.44","3250","1.41"
"036490","OCI머티리얼즈 ","91700","-1300","-1.40","5680","16.14",,,"26115","3.51","750","0.82"
"024940","PN풍년 ","1055","20","1.93","122","8.65",,,"2812","0.38","25","2.37"
"005490","POSCO ","394500","22000","5.91","54558","7.23",,,"486616","0.81","10000","2.53"
"091340","S&K폴리텍 ","2705","35","1.31","527","5.13",,,"5238","0.52","150","5.55"
"100840","S&TC ","18150","50","0.28","420","43.21",,,"27888","0.65","400","2.20"
"064960","S&T대우 ","32150","-300","-0.92","3414","9.42",,,"30138","1.07","400","1.24"
"000040","S&T모터스 ","483","12","2.55","42","11.50",,,"568","0.85","0","0.00"
