종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"009440","KC그린홀딩스 ","7060","80","1.15","1057","6.68",,,"5875","1.20","70","0.99"
"119650","KC코트렐 ","9050","-130","-1.42","1638","5.53",,,"7313","1.24","470","5.19"
"092220","KEC ","730","-10","-1.35",,,,,"4794","0.15","0","0.00"
"151860","KG ETS ","4740","30","0.64","305","15.54",,,"2176","2.18","0","0.00"
"109070","KGP ","1865","115","6.57",,,,,"3238","0.58","0","0.00"
"046440","KG모빌리언스 ","10400","-450","-4.15","871","11.94",,,"5303","1.96","100","0.96"
"035600","KG이니시스 ","16850","-700","-3.99","918","18.36",,,"5595","3.01","125","0.74"
"001390","KG케미칼 ","16400","350","2.18","746","21.98",,,"16723","0.98","150","0.91"
"060720","KH바텍 ","23700","-850","-3.46",,,,,"11772","2.01","0","0.00"
"001940","KISCO홀딩스 ","39250","-50","-0.13","9923","3.96",,,"175031","0.22","900","2.29"
"083470","KJ프리텍 ","1970","-20","-1.01","225","8.76",,,"1730","1.14","0","0.00"
"122450","KMH ","7810","-480","-5.79","839","9.31",,,"5653","1.38","0","0.00"
"058400","KNN ","7590","-10","-0.13","1973","3.85",,,"12159","0.62","300","3.95"
"083420","KPX그린케미칼 ","4395","-65","-1.46","585","7.51",,,"4928","0.89","150","3.41"
"114450","KPX생명과학 ","3340","-40","-1.18","162","20.62",,,"4058","0.82","600","17.96"
"025000","KPX케미칼 ","68700","-1100","-1.58","7603","9.04",,,"68667","1.00","3000","4.37"
"092230","KPX홀딩스 ","47100","-150","-0.32","4410","10.68",,,"123023","0.38","2550","5.41"
"025850","KPX화인케미칼 ","15850","50","0.32",,,,,"33703","0.47","0","0.00"
"044450","KSS해운 ","12350","200","1.65","1154","10.70",,,"11811","1.05","90","0.73"
"030200","KT ","31450","-2300","-6.81","4341","7.24",,,"47141","0.67","2000","6.36"
"033780","KT&G ","77500","-1000","-1.27","5869","13.20",,,"37081","2.09","3200","4.13"
"030210","KTB투자증권 ","2260","-20","-0.88","54","41.85",,,"6717","0.34","0","0.00"
"036030","KTH ","7740","-10","-0.13",,,,,"4828","1.60","0","0.00"
"058850","KTcs ","3340","40","1.21","423","7.90",,,"2685","1.24","100","2.99"
"043610","KT뮤직 ","2900","-85","-2.85",,,,,"1105","2.62","0","0.00"
"060370","KT서브마린 ","4270","-90","-2.06","387","11.03",,,"3870","1.10","100","2.34"
"003550","LG ","62200","-300","-0.48","5294","11.75",,,"64357","0.97","1000","1.61"
"034220","LG디스플레이 ","24400","0","0.00","652","37.42",,,"28534","0.86","0","0.00"
"001120","LG상사 ","29400","150","0.51","5735","5.13",,,"37894","0.78","500","1.70"
"068870","LG생명과학 ","43950","-800","-1.79","507","86.69",,,"15028","2.92","0","0.00"
"068875","LG생명과학우 ","23000","-200","-0.86",,,,,,,"0","0.00"
"051900","LG생활건강 ","552000","8000","1.47","18126","30.45",,,"67816","8.14","3750","0.68"
"051905","LG생활건강우 ","227000","2000","0.89",,,,,,,"3800","1.67"
"003555","LG우 ","32700","-150","-0.46",,,,,,,"1050","3.21"
"032640","LG유플러스 ","10400","-100","-0.95",,,,,"8582","1.21","0","0.00"
"011070","LG이노텍 ","80500","-200","-0.25",,,,,"62876","1.28","0","0.00"
"066570","LG전자 ","68000","-400","-0.58","366","185.79",,,"68872","0.99","200","0.29"
"066575","LG전자우 ","25300","-100","-0.39",,,,,,,"250","0.99"
"093050","LG패션 ","34100","-250","-0.73","2076","16.43",,,"29701","1.15","400","1.17"
"108670","LG하우시스 ","136000","-6500","-4.56","2898","46.93",,,"72100","1.89","1000","0.74"
"108675","LG하우시스우 ","46050","-200","-0.43",,,,,,,"1050","2.28"
"051910","LG화학 ","288500","-2000","-0.69","20318","14.20",,,"143834","2.01","4000","1.39"
