종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"037730","3R ","395","20","5.33",,,,,,,"0","0.00"
"060310","3S ","410","20","5.13","14","29.29",,,,,"0","0.00"
"036360","3SOFT ","1285","-30","-2.28",,,,,,,"0","0.00"
"005760","ACTS ","380","5","1.33",,,,,"485","0.78","0","0.00"
"039790","AMIC ","1115","-60","-5.11",,,,,,,"0","0.00"
"015670","AP우주통신 ","155","0","0.00",,,,,"115","1.35","0","0.00"
"015675","AP우주통신(1우B) ","95","0","0.00",,,,,,,"0","0.00"
"036820","BET ","740","5","0.68",,,,,,,"0","0.00"
"036825","BET우 ","705","-20","-2.76",,,,,,,"0","0.00"
"004560","BNG스틸 ","6900","50","0.73","1965","3.51",,,"6192","1.11","0","0.00"
"004565","BNG스틸(1우) ","3730","-120","-3.12",,,,,,,"0","0.00"
"001460","BYC ","40000","-200","-0.50","12348","3.24",,,"230322","0.17","550","1.38"
"001465","BYC(1우) ","20000","0","0.00",,,,,,,"650","3.25"
"045260","CHK한강 ","595","0","0.00",,,,,,,"0","0.00"
"001040","CJ ","57500","0","0.00","3902","14.74",,,"45764","1.26","1250","2.17"
"001045","CJ(1우) ","24950","400","1.63",,,,,,,"1300","5.21"
"001047","CJ(2우B) ","39500","0","0.00",,,,,,,"1250","3.16"
"001049","CJ(3우B) ","38400","400","1.05",,,,,,,"1250","3.26"
"049370","CJ엔터테인 ","19400","800","4.30","443","43.79",,,,,"0","0.00"
"051500","CJ푸드시스템 ","5900","120","2.08","1236","4.77",,,,,"0","0.00"
"035760","CJ홈쇼핑 ","48500","1500","3.19","5571","8.71",,,,,"0","0.00"
"004530","CKF ","3120","115","3.83","16083","0.19",,,"8680","0.36","0","0.00"
"050470","CMS ","425","0","0.00",,,,,,,"0","0.00"
"023460","CNH캐피탈 ","1640","0","0.00","82","20.00",,,,,"0","0.00"
"065340","DM테크놀로지 ","3040","90","3.05","1145","2.66",,,,,"0","0.00"
"069730","DSR제강 ","520","0","0.00","272","1.91",,,"1928","0.27","0","0.00"
"014820","EASTEL ","1800","35","1.98",,,,,"797","2.26","0","0.00"
"014825","EASTEL(1우) ","850","70","8.97",,,,,,,"0","0.00"
"014827","EASTEL(2우B) ","2245","-5","-0.22",,,,,,,"0","0.00"
"037370","EG ","3170","5","0.16","107","29.63",,,,,"0","0.00"
"007700","F&F ","2410","20","0.84","795","3.03",,,"4635","0.52","100","4.15"
"001370","FnC코오롱 ","9020","50","0.56","2879","3.13",,,"11951","0.75","750","8.31"
"001375","FnC코오롱(1우) ","5570","-20","-0.36",,,,,,,"800","14.36"
"053870","GT&T ","750","30","4.17",,,,,,,"0","0.00"
"060910","I.S하이텍 ","1715","10","0.59","334","5.13",,,,,"0","0.00"
"038710","ICM ","1180","-10","-0.84","72","16.39",,,,,"0","0.00"
"004020","INI스틸 ","9600","150","1.59","1642","5.85",,,"18307","0.52","150","1.56"
"004025","INI스틸(1우B) ","5140","100","1.98",,,,,,,"150","2.92"
"036670","KCI ","1735","35","2.06","325","5.34",,,,,"0","0.00"
"009070","KCTC ","35700","-300","-0.83","3132","11.40",,,"232002","0.15","750","2.10"
"054020","KDN스마텍 ","1530","50","3.38",,,,,,,"0","0.00"
"017300","KDS ","685","-25","-3.52",,,,,,,"0","0.00"
"006200","KEC ","37000","100","0.27","4363","8.48",,,"36657","1.01","1000","2.70"
"046810","KEPS ","740","20","2.78",,,,,,,"0","0.00"
"001390","KG케미칼 ","495","0","0.00",,,,,,,"0","0.00"
"060720","KH바텍 ","51200","900","1.79","1916","26.72",,,,,"0","0.00"
"018590","KNC ","255","0","0.00",,,,,"641","0.40","0","0.00"
"030200","KT ","45900","-500","-1.08","7569","6.06",,,"45031","1.02","860","1.87"
"033780","KT&G ","22000","-150","-0.68","2364","9.31",,,"25767","0.85","1400","6.36"
"030210","KTB네트워크 ","3700","100","2.78",,,,,"10417","0.36","0","0.00"
"055810","KTC텔레콤 ","3290","-30","-0.90","419","7.85",,,,,"0","0.00"
"032390","KTF ","20700","400","1.97","2904","7.13",,,,,"0","0.00"
"036030","KTH ","8750","750","9.38",,,,,,,"0","0.00"
"060370","KT서브마린 ","6600","-20","-0.30","1178","5.60",,,,,"0","0.00"
"003550","LG ","9200","290","3.25","1466","6.28",,,"16192","0.57","200","2.17"
"003555","LG(1우) ","5630","120","2.18",,,,,,,"250","4.44"
"017940","LG가스 ","21300","0","0.00","5999","3.55",,,"48178","0.44","1250","5.87"
"006360","LG건설 ","18150","0","0.00","3225","5.63",,,"18279","0.99","1000","5.51"
"016990","LG마이크론 ","58000","400","0.69","5449","10.64",,,,,"0","0.00"
"010120","LG산전 ","12800","0","0.00","165","77.58",,,"16607","0.77","0","0.00"
"001120","LG상사 ","8000","180","2.30","1552","5.15",,,"9396","0.85","400","5.00"
"068870","LG생명과학 ","34600","1100","3.28",,,,,"11688","2.96","0","0.00"
"068875","LG생명과학(1우) ","26200","500","1.95",,,,,,,"0","0.00"
"051900","LG생활건강 ","31700","700","2.26","2616","12.12",,,"15108","2.10","1500","4.73"
"051905","LG생활건강(1우) ","17350","0","0.00",,,,,,,"1550","8.93"
"012990","LG석유화학 ","26800","1000","3.88","1623","16.51",,,"10097","2.65","1250","4.66"
"035000","LG애드 ","22000","-700","-3.08","859","25.61",,,"7781","2.83","1000","4.55"
"006260","LG전선 ","15050","100","0.67","2456","6.13",,,"35222","0.43","1000","6.64"
"066570","LG전자 ","61200","1700","2.86","1768","34.62",,,"18764","3.26","1000","1.63"
"066575","LG전자(1우) ","26950","600","2.28",,,,,,,"1050","3.90"
"032710","LG카드 ","7240","940","14.92","4805","1.51",,,"24240","0.30","1750","24.17"
"032640","LG텔레콤 ","3925","210","5.65","262","14.98",,,,,"0","0.00"
"005940","LG투자증권 ","9180","780","9.29","432","21.25",,,"10821","0.85","250","2.72"
"005945","LG투자증권(1우) ","4650","425","10.06",,,,,,,"300","6.45"
