종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2105","-5","-0.24",,,,,"745","2.83","0","0.00"
"095570","AJ네트웍스 ","4460","-70","-1.55","982","4.54",,,"6802","0.66","300","6.73"
"006840","AK홀딩스 ","21900","950","4.53","2168","10.10",,,"62448","0.35","750","3.42"
"054620","APS홀딩스 ","7800","-130","-1.64",,,,,"10530","0.74","0","0.00"
"265520","AP시스템 ","23450","-200","-0.85","671","34.95",,,"7468","3.14","50","0.21"
"211270","AP위성 ","7050","-30","-0.42","51","138.24",,,"5479","1.29","70","0.99"
"027410","BGF ","4635","-45","-0.96","281","16.49",,,"15699","0.30","110","2.37"
"282330","BGF리테일 ","126000","500","0.40","8763","14.38",,,"36022","3.50","2700","2.14"
"138930","BNK금융지주 ","5720","90","1.60","1647","3.47",,,"25415","0.23","360","6.29"
"001460","BYC ","294500","1000","0.34","33265","8.85",,,"517079","0.57","1100","0.37"
"001465","BYC우 ","140000","-500","-0.36",,,,,,,"1150","0.82"
"001040","CJ ","79600","500","0.63","8240","9.66",,,"126448","0.63","1850","2.32"
"079160","CJ CGV ","22950","50","0.22",,,,,"11590","1.98","0","0.00"
"035760","CJ ENM ","133300","100","0.08","5310","25.10",,,"134364","0.99","1400","1.05"
"00104K","CJ4우(전환) ","61200","400","0.66",,,,,,,"1900","3.10"
"000120","CJ대한통운 ","164500","-1500","-0.90","1349","121.94",,,"131146","1.25","0","0.00"
"011150","CJ씨푸드 ","5250","-20","-0.38","51","102.94",,,"1781","2.95","0","0.00"
"011155","CJ씨푸드1우 ","45600","-50","-0.11",,,,,,,"0","0.00"
"001045","CJ우 ","50500","0","0.00",,,,,,,"1900","3.76"
"097950","CJ제일제당 ","362500","1000","0.28","9516","38.09",,,"297949","1.22","3500","0.97"
"097955","CJ제일제당 우 ","161500","0","0.00",,,,,,,"3550","2.20"
"051500","CJ프레시웨이 ","19150","0","0.00","434","44.12",,,"16967","1.13","250","1.31"
"058820","CMG제약 ","4755","-5","-0.11","25","190.20",,,"1297","3.67","0","0.00"
