종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","4110","-110","-2.61","16","256.88",,,"792","5.19","0","0.00"
"095570","AJ네트웍스 ","5540","-50","-0.89",,,,,"6089","0.91","210","3.79"
"006840","AK홀딩스 ","26350","-150","-0.57",,,,,"50471","0.52","400","1.52"
"054620","APS홀딩스 ","17600","-300","-1.68",,,,,"8135","2.16","0","0.00"
"265520","AP시스템 ","23750","50","0.21","1736","13.68",,,"9041","2.63","120","0.51"
"211270","AP위성 ","13150","200","1.54",,,,,"5321","2.47","70","0.53"
"027410","BGF ","5610","70","1.26","285","19.68",,,"15781","0.36","110","1.96"
"282330","BGF리테일 ","167000","5500","3.41","7103","23.51",,,"40317","4.14","2400","1.44"
"138930","BNK금융지주 ","8740","-60","-0.68","1498","5.83",,,"26781","0.33","320","3.66"
"001460","BYC ","433500","-2500","-0.57","21904","19.79",,,"538911","0.80","1100","0.25"
"001465","BYC우 ","178000","0","0.00",,,,,,,"1150","0.65"
"013720","CBI ","3340","100","3.09",,,,,"485","6.89","0","0.00"
"001040","CJ ","96200","400","0.42","2581","37.27",,,"130202","0.74","2000","2.08"
"079160","CJ CGV ","31900","-50","-0.16",,,,,"3812","8.37","0","0.00"
"035760","CJ ENM ","176500","100","0.06","2870","61.50",,,"156746","1.13","1600","0.91"
"00104K","CJ4우(전환) ","81700","300","0.37",,,,,,,"2000","2.45"
"000120","CJ대한통운 ","146000","4000","2.82","5683","25.69",,,"146331","1.00","0","0.00"
"011150","CJ씨푸드 ","3865","-20","-0.51","58","66.64",,,"1823","2.12","0","0.00"
"011155","CJ씨푸드1우 ","40000","400","1.01",,,,,,,"0","0.00"
"001045","CJ우 ","61400","300","0.49",,,,,,,"2050","3.34"
"097950","CJ제일제당 ","387500","7500","1.97","42783","9.06",,,"321970","1.20","4000","1.03"
"097955","CJ제일제당 우 ","196500","2500","1.29",,,,,,,"4050","2.06"
"051500","CJ프레시웨이 ","32200","-700","-2.13",,,,,"15839","2.03","0","0.00"
"058820","CMG제약 ","3845","0","0.00","2","1922.50",,,"1304","2.95","0","0.00"
"023460","CNH ","3260","5","0.15","824","3.96",,,"3446","0.95","50","1.53"
"056730","CNT85 ","1550","0","0.00",,,,,"319","4.86","0","0.00"
"056000","COWON ","2860","0","0.00","20","143.00",,,"1435","1.99","0","0.00"
"065770","CS ","3780","145","3.99","9","420.00",,,"1170","3.23","0","0.00"
"083660","CSA 코스믹 ","1370","-80","-5.52",,,,,"313","4.38","0","0.00"
"000590","CS홀딩스 ","64600","-300","-0.46","6657","9.70",,,"210057","0.31","500","0.77"
"012030","DB ","1040","20","1.96","33","31.52",,,"1559","0.67","0","0.00"
"367340","DB금융스팩8호 ","2135","0","0.00",,,,,,,"0","0.00"
"367360","DB금융스팩9호 ","2125","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","7030","-30","-0.42","2327","3.02",,,"18855","0.37","300","4.27"
"005830","DB손해보험 ","59900","700","1.18","9171","6.53",,,"90596","0.66","2200","3.67"
"000990","DB하이텍 ","57300","-200","-0.35","3822","14.99",,,"17851","3.21","350","0.61"
"000995","DB하이텍1우 ","102000","-2000","-1.92",,,,,,,"400","0.39"
"139130","DGB금융지주 ","10500","150","1.45","1908","5.50",,,"29493","0.36","390","3.71"
"001530","DI동일 ","281000","-6000","-2.09","10653","26.38",,,"198359","1.42","1500","0.53"
"000210","DL ","67200","1500","2.28","13077","5.14",,,"67178","1.00","1300","1.93"
"001880","DL건설 ","29400","-50","-0.17","7953","3.70",,,"34403","0.85","550","1.87"
"000215","DL우 ","40700","300","0.74",,,,,,,"1350","3.32"
"375500","DL이앤씨 ","136500","1500","1.11",,,,,,,"0","0.00"
"37550K","DL이앤씨우 ","77900","500","0.65",,,,,,,"0","0.00"
"068790","DMS ","6430","10","0.16","1718","3.74",,,"9256","0.69","100","1.56"
"004840","DRB동일 ","5610","40","0.72","121","46.36",,,"17702","0.32","50","0.89"
"241520","DSC인베스트먼트 ","5860","-120","-2.01","890","6.58",,,"2144","2.73","0","0.00"
"155660","DSR ","6750","-200","-2.88","558","12.10",,,"10087","0.67","50","0.74"
"069730","DSR제강 ","6500","-60","-0.91","367","17.71",,,"10157","0.64","40","0.62"
"017940","E1 ","53100","700","1.34","10427","5.09",,,"172701","0.31","2200","4.14"
"245620","EDGC ","3405","170","5.26",,,,,"839","4.06","0","0.00"
"037370","EG ","16650","-1300","-7.24",,,,,"6155","2.71","0","0.00"
"079190","EMW ","1815","-40","-2.16",,,,,"890","2.04","0","0.00"
"050120","ES큐브 ","4930","305","6.59",,,,,"5120","0.96","0","0.00"
"383220","F&F ","882000","14000","1.61",,,,,,,"0","0.00"
"007700","F&F홀딩스 ","38150","-850","-2.18","5599","6.81",,,"35801","1.07","1000","2.62"
"214270","FSN ","987","0","0.00",,,,,"569","1.73","0","0.00"
"130500","GH신소재 ","5370","150","2.87","5","1074.00",,,"3780","1.42","0","0.00"
"114090","GKL ","16150","-200","-1.22",,,,,"7863","2.05","0","0.00"
"078930","GS ","42500","250","0.59",,,,,"88213","0.48","1900","4.47"
"083450","GST ","27850","-1000","-3.47","1788","15.58",,,"11872","2.35","150","0.54"
"006360","GS건설 ","41850","500","1.21","3919","10.68",,,"51311","0.82","1200","2.87"
"001250","GS글로벌 ","2515","-60","-2.33",,,,,"3465","0.73","0","0.00"
"007070","GS리테일 ","32800","600","1.86","2187","15.00",,,"29928","1.10","900","2.74"
"078935","GS우 ","36900","0","0.00",,,,,,,"1950","5.28"
"045890","GV ","240","0","0.00",,,,,"671","0.36","0","0.00"
"297890","HB솔루션 ","21350","-50","-0.23",,,,,"5127","4.16","0","0.00"
"078150","HB테크놀러지 ","2535","0","0.00","47","53.94",,,"2086","1.22","20","0.79"
"012630","HDC ","10600","50","0.47","1869","5.67",,,"37479","0.28","250","2.36"
"039570","HDC아이콘트롤스 ","11800","-50","-0.42","1012","11.66",,,"9958","1.18","400","3.39"
"089470","HDC현대EP ","5700","-170","-2.90","477","11.95",,,"9177","0.62","140","2.46"
"294870","HDC현대산업개발 ","25500","-50","-0.20","3622","7.04",,,"41620","0.61","600","2.35"
"195940","HK이노엔 ","59000","-3800","-6.05","1257","46.94",,,"33496","1.76","0","0.00"
"011200","HMM ","26750","100","0.38","103","259.71",,,"5164","5.18","0","0.00"
"036640","HRS ","8590","-680","-7.34","571","15.04",,,"4964","1.73","150","1.75"
"082740","HSD엔진 ","9140","-90","-0.98","184","49.67",,,"5892","1.55","0","0.00"
"335870","IBKS제12호스팩 ","2305","0","0.00",,,,,,,"0","0.00"
"351340","IBKS제13호스팩 ","2165","-5","-0.23",,,,,,,"0","0.00"
"351320","IBKS제14호스팩 ","4360","-10","-0.23",,,,,,,"0","0.00"
"373200","IBKS제15호스팩 ","2385","-5","-0.21",,,,,,,"0","0.00"
"388790","IBKS제16호스팩 ","2205","20","0.92",,,,,,,"0","0.00"
"003560","IHQ ","1900","50","2.70",,,,,"808","2.35","0","0.00"
