종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2955","15","0.51","2940","2955","2895","118595","347055960","120836651940","40892268"
"068400","AJ렌터카","KOSPI",,"17650","700","4.13","16900","17800","16900","195516","3413483200","390882195000","22146300"
"006840","AK홀딩스","KOSPI",,"75100","3900","5.48","71400","76700","71400","97903","7294377200","994891831100","13247561"
"054620","AP시스템","KOSDAQ","우량기업부","6620","-50","-0.75","6690","6760","6580","202296","1345360290","154973941820","23409961"
"090470","AST젯텍","KOSDAQ","벤처기업부","3540","-70","-1.94","3640","3640","3470","17491","62373675","51676240320","14597808"
"027410","BGF리테일","KOSPI",,"68800","800","1.18","69000","69000","67400","57124","3901356300","1695237504000","24640080"
"138930","BS금융지주","KOSPI",,"16600","-50","-0.30","16500","16850","16500","177005","2943671700","3890706323400","234379899"
"001460","BYC","KOSPI",,"276000","-7500","-2.65","285500","285500","276000","174","48891500","172393740000","624615"
"001465","BYC우","KOSPI",,"197000","0","0.00","196500","197500","195000","106","20841500","42430845000","215385"
"032040","C&S자산관리","KOSDAQ","벤처기업부","2460","0","0.00","2460","2515","2390","124113","304514355","46344503340","18839229"
"001040","CJ","KOSPI",,"177500","3500","2.01","170500","177500","170500","44963","7893706500","5160386145000","29072598"
"079160","CJ CGV","KOSPI",,"51000","-1400","-2.67","51700","51900","50600","56671","2891447900","1079226963000","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","33550","0","0.00","33800","34500","33300","301478","10202085750","1299461585950","38732089"
"000120","CJ대한통운","KOSPI",,"185500","-7500","-3.89","191500","196000","183500","165583","31201302500","4231689812000","22812344"
"011150","CJ씨푸드","KOSPI",,"2560","0","0.00","2570","2570","2540","95474","243673900","91982778880","35930773"
"011155","CJ씨푸드1우","KOSPI",,"6540","-140","-2.10","6680","6750","6540","81","537570","1308000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","232100","-30500","-11.61","261000","261000","225800","118615","28877342400","1440572981100","6206691"
"001045","CJ우","KOSPI",,"91700","-2200","-2.34","92100","94500","90000","12456","1141790900","207262449100","2260223"
"097950","CJ제일제당","KOSPI",,"382500","-8500","-2.17","387000","396500","381000","66357","25571571000","5017683960000","13118128"
"097955","CJ제일제당 우","KOSPI",,"199500","3500","1.79","196500","202500","187000","15872","3130828000","264822883500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","48100","1600","3.44","47100","48350","45750","35509","1693144200","521961960000","10851600"
"037560","CJ헬로비전","KOSPI",,"10000","-100","-0.99","10100","10300","9990","482285","4894223600","774468650000","77446865"
