종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2060","10","0.49",,,,,"745","2.77","0","0.00"
"095570","AJ네트웍스 ","3615","45","1.26","982","3.68",,,"6802","0.53","300","8.30"
"006840","AK홀딩스 ","17400","300","1.75","2168","8.03",,,"62448","0.28","750","4.31"
"054620","APS홀딩스 ","6700","-100","-1.47",,,,,"10530","0.64","0","0.00"
"265520","AP시스템 ","20900","-50","-0.24","671","31.15",,,"7468","2.80","50","0.24"
"211270","AP위성 ","7000","110","1.60","51","137.25",,,"5479","1.28","70","1.00"
"027410","BGF ","4050","35","0.87","281","14.41",,,"15699","0.26","110","2.72"
"282330","BGF리테일 ","120000","2000","1.69","8763","13.69",,,"36022","3.33","2700","2.25"
"138930","BNK금융지주 ","5700","190","3.45","1647","3.46",,,"25415","0.22","360","6.32"
"001460","BYC ","240500","-2000","-0.82","33265","7.23",,,"517079","0.47","1100","0.46"
"001465","BYC우 ","124500","2000","1.63",,,,,,,"1150","0.92"
"001040","CJ ","76500","500","0.66","8240","9.28",,,"126448","0.60","1850","2.42"
"079160","CJ CGV ","19950","-150","-0.75",,,,,"11590","1.72","0","0.00"
"035760","CJ ENM ","131200","-300","-0.23","5310","24.71",,,"134364","0.98","1400","1.07"
"00104K","CJ4우(전환) ","57600","300","0.52",,,,,,,"1900","3.30"
"000120","CJ대한통운 ","161000","1500","0.94","1349","119.35",,,"131146","1.23","0","0.00"
"011150","CJ씨푸드 ","4615","160","3.59","51","90.49",,,"1781","2.59","0","0.00"
"011155","CJ씨푸드1우 ","43800","1900","4.53",,,,,,,"0","0.00"
"001045","CJ우 ","46900","200","0.43",,,,,,,"1900","4.05"
"097950","CJ제일제당 ","358500","-2500","-0.69","9516","37.67",,,"297949","1.20","3500","0.98"
"097955","CJ제일제당 우 ","157500","500","0.32",,,,,,,"3550","2.25"
"051500","CJ프레시웨이 ","16350","150","0.93","434","37.67",,,"16967","0.96","250","1.53"
"058820","CMG제약 ","4445","-70","-1.55","25","177.80",,,"1297","3.43","0","0.00"
"023460","CNH ","1625","0","0.00","424","3.83",,,"2811","0.58","30","1.85"
"065770","CS ","2165","10","0.46",,,,,"1155","1.87","0","0.00"
"083660","CSA 코스믹 ","2915","-30","-1.02",,,,,"836","3.49","0","0.00"
"000590","CS홀딩스 ","54600","-400","-0.73","8435","6.47",,,"195584","0.28","500","0.92"
"012030","DB ","679","-2","-0.29","23","29.52",,,"1049","0.65","0","0.00"
"322780","DB금융스팩7호 ","2000","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","3915","70","1.82","1172","3.34",,,"16484","0.24","250","6.39"
"005830","DB손해보험 ","45100","850","1.92","5966","7.56",,,"84026","0.54","1500","3.33"
"000990","DB하이텍 ","32100","150","0.47","2410","13.32",,,"14483","2.22","350","1.09"
"000995","DB하이텍1우 ","119000","6500","5.78",,,,,,,"400","0.34"
"139130","DGB금융지주 ","6660","480","7.77","1900","3.51",,,"27296","0.24","410","6.16"
"001530","DI동일 ","83300","-300","-0.36","6888","12.09",,,"199541","0.42","1500","1.80"
"068790","DMS ","9340","430","4.83","768","12.16",,,"7205","1.30","75","0.80"
"004840","DRB동일 ","6440","210","3.37","461","13.97",,,"17771","0.36","100","1.55"
"241520","DSC인베스트먼트 ","4305","-20","-0.46","348","12.37",,,"2004","2.15","0","0.00"
"155660","DSR ","5530","130","2.41","546","10.13",,,"9613","0.58","50","0.90"
"069730","DSR제강 ","4525","95","2.14","469","9.65",,,"9851","0.46","40","0.88"
"017940","E1 ","45750","500","1.10",,,,,"166288","0.28","2200","4.81"
"245620","EDGC ","13100","-100","-0.76",,,,,"1090","12.02","0","0.00"
"037370","EG ","8310","-130","-1.54",,,,,"4426","1.88","0","0.00"
"079190","EMW ","2780","0","0.00","120","23.17",,,"971","2.86","0","0.00"
"007700","F&F ","92700","1800","1.98","7158","12.95",,,"31366","2.96","1000","1.08"
"130500","GH신소재 ","5740","330","6.10","204","28.14",,,"3899","1.47","0","0.00"
"114090","GKL ","12050","50","0.42","1170","10.30",,,"9460","1.27","659","5.47"
"078930","GS ","33150","150","0.45","5745","5.77",,,"93746","0.35","1900","5.73"
"083450","GST ","15000","0","0.00","2010","7.46",,,"10657","1.41","200","1.33"
"006360","GS건설 ","27800","1100","4.12","5590","4.97",,,"49623","0.56","1000","3.60"
"001250","GS글로벌 ","1730","65","3.90",,,,,"4351","0.40","0","0.00"
"007070","GS리테일 ","32650","550","1.71","1729","18.88",,,"28232","1.16","750","2.30"
"078935","GS우 ","29050","50","0.17",,,,,,,"1950","6.71"
"028150","GS홈쇼핑 ","142500","3800","2.74","18339","7.77",,,"174659","0.82","6500","4.56"
"045890","GV ","507","2","0.40",,,,,"811","0.63","0","0.00"
"078150","HB테크놀러지 ","1805","0","0.00","41","44.02",,,"2025","0.89","20","1.11"
"012630","HDC ","10000","20","0.20","4460","2.24",,,"36131","0.28","200","2.00"
"039570","HDC아이콘트롤스 ","9390","-60","-0.63",,,,,"10245","0.92","350","3.73"
"089470","HDC현대EP ","5860","80","1.38","445","13.17",,,"8886","0.66","120","2.05"
"294870","HDC현대산업개발 ","19850","50","0.25","8731","2.27",,,"47095","0.42","500","2.52"
"011200","HMM ","9270","300","3.34",,,,,"3420","2.71","0","0.00"
"036640","HRS ","3840","250","6.96","60","64.00",,,"4475","0.86","0","0.00"
"082740","HSD엔진 ","4575","10","0.22",,,,,"5722","0.80","0","0.00"
"299170","IBKS제10호스팩 ","2845","-5","-0.18",,,,,,,"0","0.00"
"335890","IBKS제11호스팩 ","2405","25","1.05",,,,,,,"0","0.00"
"335870","IBKS제12호스팩 ","2135","0","0.00",,,,,,,"0","0.00"
"351340","IBKS제13호스팩 ","2050","-25","-1.20",,,,,,,"0","0.00"
"351320","IBKS제14호스팩 ","2075","0","0.00",,,,,,,"0","0.00"
"003560","IHQ ","1355","10","0.74",,,,,"933","1.45","0","0.00"
"095340","ISC ","18150","300","1.68","311","58.36",,,"12011","1.51","50","0.28"
"099520","ITX-AI ","2645","100","3.93",,,,,"598","4.42","0","0.00"
"175330","JB금융지주 ","5320","220","4.31","1641","3.24",,,"17615","0.30","300","5.64"
"234080","JW생명과학 ","18000","50","0.28","1385","13.00",,,"7744","2.32","500","2.78"
"067290","JW신약 ","5120","20","0.39","35","146.29",,,"1587","3.23","60","1.17"
"001060","JW중외제약 ","30600","-200","-0.65",,,,,"10345","2.96","325","1.06"
"001067","JW중외제약2우B ","61000","0","0.00",,,,,,,"350","0.57"
"001065","JW중외제약우 ","45850","-1450","-3.07",,,,,,,"350","0.76"
"096760","JW홀딩스 ","5280","10","0.19",,,,,"2253","2.34","90","1.70"
"035900","JYP Ent. ","31700","1150","3.76","947","33.47",,,"4477","7.08","155","0.49"
"024840","KBI메탈 ","1530","20","1.32","196","7.81",,,"2735","0.56","0","0.00"
"105560","KB금융 ","42000","1900","4.74","8451","4.97",,,"92672","0.45","2210","5.26"
"024120","KB오토시스 ","6320","20","0.32","930","6.80",,,"8912","0.71","230","3.64"
"002380","KCC ","158500","5500","3.59",,,,,"421723","0.38","5500","3.47"
"021320","KCC건설 ","7060","10","0.14","1319","5.35",,,"17642","0.40","150","2.12"
"036670","KCI ","10350","250","2.48","1061","9.75",,,"5775","1.79","200","1.93"
"009070","KCTC ","2385","55","2.36","239","9.98",,,"6409","0.37","45","1.89"
"009440","KC그린홀딩스 ","4310","185","4.48","369","11.68",,,"7996","0.54","60","1.39"
"119650","KC코트렐 ","8480","580","7.34","149","56.91",,,"5805","1.46","30","0.35"
"044180","KD ","1215","25","2.10",,,,,"2170","0.56","0","0.00"
"092220","KEC ","2055","45","2.24",,,,,"1782","1.15","0","0.00"
"151860","KG ETS ","4100","25","0.61","2789","1.47",,,"6733","0.61","110","2.68"
"016380","KG동부제철 ","7790","30","0.39",,,,,"8886","0.88","0","0.00"
"016385","KG동부제철우 ","129000","1000","0.78",,,,,,,"0","0.00"
"046440","KG모빌리언스 ","8990","620","7.41","619","14.52",,,"7541","1.19","200","2.22"
"035600","KG이니시스 ","19600","850","4.53","1847","10.61",,,"8937","2.19","330","1.68"
"001390","KG케미칼 ","18800","600","3.30","7691","2.44",,,"26210","0.72","350","1.86"
"060720","KH바텍 ","17050","150","0.89",,,,,"7998","2.13","0","0.00"
"001940","KISCO홀딩스 ","11950","350","3.02","2909","4.11",,,"44246","0.27","280","2.34"
"122450","KMH ","25950","1700","7.01","668","38.85",,,"9669","2.68","70","0.27"
"052900","KMH하이텍 ","1900","60","3.26","48","39.58",,,"1358","1.40","0","0.00"
"058400","KNN ","1830","-80","-4.19","61","30.00",,,"1479","1.24","20","1.09"
"114450","KPX생명과학 ","9700","390","4.19","80","121.25",,,"4024","2.41","0","0.00"
"025000","KPX케미칼 ","48900","900","1.88","8571","5.71",,,"96367","0.51","2500","5.11"
"092230","KPX홀딩스 ","46450","250","0.54","8406","5.53",,,"149477","0.31","2600","5.60"
"000040","KR모터스 ","968","23","2.43",,,,,"318","3.04","0","0.00"
"044450","KSS해운 ","9360","60","0.65","1034","9.05",,,"12026","0.78","270","2.88"
"030200","KT ","22350","250","1.13","2526","8.85",,,"52341","0.43","1100","4.92"
"033780","KT&G ","82700","1700","2.10","8208","10.08",,,"63008","1.31","4400","5.32"
"030210","KTB투자증권 ","2565","30","1.18","681","3.77",,,"8098","0.32","150","5.85"
"036030","KTH ","5080","95","1.91","40","127.00",,,"5741","0.88","0","0.00"
"058850","KTcs ","2045","20","0.99","178","11.49",,,"3715","0.55","80","3.91"
"058860","KTis ","2515","120","5.01","272","9.25",,,"4835","0.52","90","3.58"
"060370","KT서브마린 ","5880","390","7.10","24","245.00",,,"4680","1.26","30","0.51"
"093050","LF ","15150","500","3.41","2313","6.55",,,"41768","0.36","500","3.30"
"003550","LG ","68500","700","1.03","6143","11.15",,,"107050","0.64","2200","3.21"
"034220","LG디스플레이 ","14350","300","2.14",,,,,"31694","0.45","0","0.00"
"001120","LG상사 ","16150","700","4.53","739","21.85",,,"30224","0.53","300","1.86"
"051900","LG생활건강 ","1531000","31000","2.07","46431","32.97",,,"234042","6.54","11000","0.72"
"051905","LG생활건강우 ","695000","4000","0.58",,,,,,,"11050","1.59"
"003555","LG우 ","52900","1000","1.93",,,,,,,"2250","4.25"
"032640","LG유플러스 ","11200","150","1.36","1005","11.14",,,"16218","0.69","400","3.57"
"011070","LG이노텍 ","151000","-1000","-0.66","4323","34.93",,,"93151","1.62","300","0.20"
"066570","LG전자 ","85500","1500","1.79","169","505.92",,,"79245","1.08","750","0.88"
"066575","LG전자우 ","32300","150","0.47",,,,,,,"800","2.48"
"108670","LG하우시스 ","63600","-2500","-3.78","1154","55.11",,,"91420","0.70","250","0.39"
"108675","LG하우시스우 ","27150","-150","-0.55",,,,,,,"300","1.10"
"037560","LG헬로비전 ","3840","55","1.45",,,,,"12283","0.31","75","1.95"
"051910","LG화학 ","623000","12000","1.96","4085","152.51",,,"217230","2.87","2000","0.32"
"051915","LG화학우 ","309000","-1000","-0.32",,,,,,,"2050","0.66"
"079550","LIG넥스원 ","28050","0","0.00","145","193.45",,,"28817","0.97","600","2.14"
"006260","LS ","53700","1900","3.67","912","58.88",,,"98330","0.55","1450","2.70"
"010120","LS ELECTRIC ","50100","500","1.01","3542","14.14",,,"45353","1.10","1200","2.40"
"000680","LS네트웍스 ","2120","20","0.95",,,,,"6590","0.32","0","0.00"
"229640","LS전선아시아 ","7330","40","0.55","523","14.02",,,"4591","1.60","180","2.46"
"023150","MH에탄올 ","7780","90","1.17",,,,,"7785","1.00","350","4.50"
"065150","MP그룹 ","1315","0","0.00","11","119.55",,,"252","5.22","0","0.00"
"219550","MP한강 ","1090","-40","-3.54",,,,,"536","2.03","0","0.00"
"035420","NAVER ","285500","-4500","-1.55","4006","71.27",,,"35223","8.11","376","0.13"
"160550","NEW ","3800","15","0.40",,,,,"3979","0.96","0","0.00"
"053290","NE능률 ","2670","-20","-0.74","59","45.25",,,"3886","0.69","0","0.00"
"181710","NHN ","71200","1800","2.59","656","108.54",,,"80696","0.88","0","0.00"
"104200","NHN벅스 ","6070","300","5.20","341","17.80",,,"4560","1.33","0","0.00"
"060250","NHN한국사이버결제 ","68500","1300","1.93","1109","61.77",,,"5535","12.38","230","0.34"
"005940","NH투자증권 ","9820","280","2.94","1585","6.20",,,"17934","0.55","500","5.09"
"005945","NH투자증권우 ","8250","50","0.61",,,,,,,"550","6.67"
"034310","NICE ","18100","100","0.56","771","23.48",,,"18100","1.00","230","1.27"
"030190","NICE평가정보 ","19550","150","0.77","682","28.67",,,"3692","5.30","230","1.18"
"008260","NI스틸 ","2200","40","1.85","224","9.82",,,"3877","0.57","50","2.27"
"004250","NPC ","2995","25","0.84","343","8.73",,,"6745","0.44","100","3.34"
"004255","NPC우 ","2245","10","0.45",,,,,,,"105","4.68"
"010060","OCI ","64800","3000","4.85",,,,,"110515","0.59","0","0.00"
"078590","OQP ","4320","-10","-0.23",,,,,"442","9.77","0","0.00"
"178920","PI첨단소재 ","28700","100","0.35","603","47.60",,,"8557","3.35","315","1.10"
"024940","PN풍년 ","3790","15","0.40","577","6.57",,,"3828","0.99","25","0.66"
"005490","POSCO ","216000","8000","3.85","22823","9.46",,,"510076","0.42","10000","4.63"
"218410","RFHIC ","34850","200","0.58","857","40.67",,,"8351","4.17","200","0.57"
"091340","S&K폴리텍 ","4610","35","0.77","1368","3.37",,,"7586","0.61","0","0.00"
"100840","S&TC ","14900","-100","-0.67","2148","6.94",,,"32631","0.46","800","5.37"
"064960","S&T모티브 ","51500","1000","1.98","181","284.53",,,"50329","1.02","1400","2.72"
"003570","S&T중공업 ","5300","100","1.92","622","8.52",,,"18558","0.29","300","5.66"
"036530","S&T홀딩스 ","13850","0","0.00","4072","3.40",,,"46992","0.29","500","3.61"
"010950","S-Oil ","55000","700","1.29","561","98.04",,,"55715","0.99","200","0.36"
"010955","S-Oil우 ","31500","50","0.16",,,,,,,"225","0.71"
"019550","SBI인베스트먼트 ","836","6","0.72","71","11.77",,,"583","1.43","0","0.00"
"034120","SBS ","15900","150","0.95","1114","14.27",,,"31799","0.50","150","0.94"
"101060","SBS미디어홀딩스 ","1640","-5","-0.30",,,,,"4162","0.39","0","0.00"
"046140","SBS콘텐츠허브 ","5590","10","0.18","26","215.00",,,"7234","0.77","0","0.00"
"036120","SCI평가정보 ","4840","-270","-5.28","141","34.33",,,"610","7.93","69","1.43"
"099220","SDN ","4375","180","4.29","93","47.04",,,"1642","2.66","0","0.00"
"036540","SFA반도체 ","4965","50","1.02","146","34.01",,,"2066","2.40","0","0.00"
"255220","SG ","1970","70","3.68","287","6.86",,,"1924","1.02","0","0.00"
"040610","SG&G ","1375","10","0.73","49","28.06",,,"7017","0.20","0","0.00"
"049470","SGA ","603","9","1.52",,,,,"577","1.05","0","0.00"
"184230","SGA솔루션즈 ","894","11","1.25",,,,,"496","1.80","0","0.00"
"004060","SG세계물산 ","581","7","1.22","48","12.10",,,"1012","0.57","0","0.00"
"001380","SG충방 ","1830","10","0.55","17","107.65",,,"2893","0.63","0","0.00"
"002360","SH에너지화학 ","782","2","0.26",,,,,"876","0.89","0","0.00"
"009160","SIMPAC ","2305","40","1.77","157","14.68",,,"6743","0.34","60","2.60"
"123700","SJM ","3000","-100","-3.23","438","6.85",,,"10621","0.28","125","4.17"
"025530","SJM홀딩스 ","2860","-15","-0.52","363","7.88",,,"10066","0.28","175","6.12"
"034730","SK ","183000","500","0.27","12917","14.17",,,"235255","0.78","5000","2.73"
"307070","SK4호스팩 ","2015","0","0.00",,,,,,,"0","0.00"
"337450","SK5호스팩 ","2005","5","0.25",,,,,,,"0","0.00"
"340350","SK6호스팩 ","2000","0","0.00",,,,,,,"0","0.00"
