종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","3390","80","2.42","32","105.94",,,"768","4.41","0","0.00"
"095570","AJ네트웍스 ","4195","45","1.08","1124","3.73",,,"7231","0.58","100","2.38"
"068400","AJ렌터카 ","11100","50","0.45","172","64.53",,,"11150","1.00","0","0.00"
"006840","AK홀딩스 ","31350","50","0.16","8224","3.81",,,"63797","0.49","750","2.39"
"054620","APS홀딩스 ","9600","420","4.58","64","150.00",,,"11083","0.87","0","0.00"
"265520","AP시스템 ","26650","-350","-1.30","1812","14.71",,,"6964","3.83","150","0.56"
"211270","AP위성 ","6650","-40","-0.60",,,,,"5428","1.23","0","0.00"
"027410","BGF ","5600","-150","-2.61","575","9.74",,,"15719","0.36","35","0.63"
"282330","BGF리테일 ","179500","1500","0.84","8925","20.11",,,"30182","5.95","2680","1.49"
"138930","BNK금융지주 ","6820","-130","-1.87","1475","4.62",,,"23400","0.29","300","4.40"
"001460","BYC ","236000","-500","-0.21","10891","21.67",,,"485043","0.49","1000","0.42"
"001465","BYC우 ","126500","500","0.40",,,,,,,"1050","0.83"
"001040","CJ ","85000","2600","3.16","9180","9.26",,,"121743","0.70","1450","1.71"
"079160","CJ CGV ","34150","400","1.19",,,,,"5284","6.46","200","0.59"
"035760","CJ ENM ","169000","4000","2.42","12661","13.35",,,"126022","1.34","1200","0.71"
"00104K","CJ4우(전환) ","62100","1200","1.97",,,,,,,"0","0.00"
"000120","CJ대한통운 ","157500","0","0.00","1996","78.91",,,"116702","1.35","0","0.00"
"011150","CJ씨푸드 ","2980","60","2.05","60","49.67",,,"1710","1.74","0","0.00"
"011155","CJ씨푸드1우 ","31700","-150","-0.47",,,,,,,"0","0.00"
"001045","CJ우 ","41650","650","1.59",,,,,,,"1500","3.60"
"097950","CJ제일제당 ","230500","2000","0.88","55416","4.16",,,"291963","0.79","3500","1.52"
"097955","CJ제일제당 우 ","97600","-300","-0.31",,,,,,,"3550","3.64"
"051500","CJ프레시웨이 ","25400","0","0.00","1154","22.01",,,"16496","1.54","200","0.79"
"037560","CJ헬로 ","6050","-60","-0.98","512","11.82",,,"13677","0.44","75","1.24"
"058820","CMG제약 ","3085","55","1.82","53","58.21",,,"911","3.39","0","0.00"
"023460","CNH ","1520","20","1.33","20","76.00",,,"2609","0.58","20","1.32"
"065770","CS ","3030","25","0.83","218","13.90",,,"1197","2.53","0","0.00"
"083660","CSA 코스믹 ","4170","0","0.00",,,,,"1196","3.49","0","0.00"
"000590","CS홀딩스 ","57400","100","0.17","5469","10.50",,,"189462","0.30","500","0.87"
"012030","DB ","773","-13","-1.65",,,,,"684","1.13","0","0.00"
"306620","DB금융스팩6호 ","2150","0","0.00",,,,,,,"0","0.00"
"322780","DB금융스팩7호 ","2070","-15","-0.72",,,,,,,"0","0.00"
"016610","DB금융투자 ","4235","5","0.12","1312","3.23",,,"15495","0.27","250","5.90"
"005830","DB손해보험 ","49900","-600","-1.19","8413","5.93",,,"72003","0.69","2000","4.01"
"000990","DB하이텍 ","17150","150","0.88","2002","8.57",,,"12545","1.37","250","1.46"
"000995","DB하이텍1우 ","36950","-350","-0.94",,,,,,,"300","0.81"
"139130","DGB금융지주 ","6820","-210","-2.99","2233","3.05",,,"25684","0.27","360","5.28"
"001530","DI동일 ","72200","100","0.14","14","5157.14",,,"198666","0.36","1500","2.08"
"068790","DMS ","5410","-160","-2.87","662","8.17",,,"6576","0.82","100","1.85"
"004840","DRB동일 ","5510","50","0.92","307","17.95",,,"17183","0.32","110","2.00"
"241520","DSC인베스트먼트 ","3050","30","0.99","302","10.10",,,"1717","1.78","0","0.00"
"155660","DSR ","3955","20","0.51","494","8.01",,,"9127","0.43","50","1.26"
"069730","DSR제강 ","4060","-55","-1.34","513","7.91",,,"9454","0.43","40","0.99"
"017940","E1 ","48600","-200","-0.41","13507","3.60",,,"180483","0.27","2000","4.12"
