종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069110","3H","KOSDAQ","중견기업부","2160","-35","-1.59","2220","2240","2100","61450","132288635","29085557760","13465536"
"060310","3S","KOSDAQ","중견기업부","8980","-270","-2.92","9110","9280","8940","220674","2006703160","349706442780","38942811"
"900010","3노드디지탈","KOSDAQ","외국기업(소속부없음)","1135","5","0.44","1125","1170","1115","1568757","1797082725","68257217930","60138518"
"038120","AD모터스","KOSDAQ","중견기업부","555","-6","-1.07","554","600","548","4082293","2341662468","49717765800","89581560"
"013340","AJS","KOSDAQ","벤처기업부","1225","20","1.66","1175","1245","1175","2440828","2948794250","45956061200","37515152"
"054620","AP시스템","KOSDAQ","벤처기업부","12600","950","8.15","11350","12650","11350","3108741","38457683400","271390467600","21538926"
"090470","AST젯텍","KOSDAQ","벤처기업부","3505","-20","-0.57","3590","3590","3450","4603","15926125","26474512780","7553356"
"138930","BS금융지주","KOSPI",,"12250","-200","-1.61","12250","12550","12200","852443","10510271550","2368903762750","193379899"
"048550","BT&I","KOSDAQ","중견기업부","710","0","0.00","712","716","696","37756","26620480","23441747660","33016546"
"001460","BYC","KOSPI",,"155500","-500","-0.32","156000","156000","152000","98","15084500","97127632500","624615"
"001465","BYC우","KOSPI",,"68400","-500","-0.73","68900","68900","67500","4","272400","14732334000","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","2505","5","0.20","2455","2520","2455","30177","74788195","39701772555","15849011"
"001040","CJ","KOSPI",,"80700","500","0.62","80100","81000","77900","296211","23417120400","2338894932300","28982589"
"079160","CJ CGV","KOSPI",,"25550","-250","-0.97","25300","25800","25000","86982","2210363100","526776051900","20617458"
"130960","CJ E&M","KOSDAQ","우량기업부","38750","1900","5.16","36450","38750","36150","1078423","40876740700","1469770605000","37929564"
"011150","CJ씨푸드","KOSPI",,"2820","-150","-5.05","2915","2915","2770","1558419","4426274570","101324779860","35930773"
"011155","CJ씨푸드1우","KOSPI",,"9550","-250","-2.55","9590","9700","9300","1831","17424750","1910000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","289000","-9500","-3.18","298500","298500","289000","20092","5875014200","1792689542000","6203078"
"001045","CJ우","KOSPI",,"19750","-300","-1.50","19800","20100","19550","1420","28130000","44639404250","2260223"
"097950","CJ제일제당","KOSPI",,"321500","13500","4.38","305500","321500","305000","61341","19202844000","4199101212000","13060968"
"097955","CJ제일제당 우","KOSPI",,"70300","-300","-0.42","69400","70600","69300","1162","81509400","93318539900","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","24100","200","0.84","23900","24200","23900","9102","218904250","259711240000","10776400"
"023460","CNH","KOSDAQ","우량기업부","1180","0","0.00","1180","1195","1155","45401","53097305","43896000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","9010","10","0.11","8800","9260","8730","366337","3309748170","108120000000","12000000"
"000590","CS홀딩스","KOSPI",,"46950","6100","14.93","40850","46950","39300","26761","1225968950","54202929900","1154482"
"050470","CT&T","KOSDAQ","관리종목(소속부없음)","515","-22","-4.10","530","530","501","144659","74125592","12938832705","25123947"
"056340","CU전자","KOSDAQ","중견기업부","439","3","0.69","430","442","418","256525","110954341","22624368094","51536146"
"139130","DGB금융지주","KOSPI",,"14000","50","0.36","13850","14000","13750","256230","3538187450","1876744156000","134053154"
"068790","DMS","KOSDAQ","우량기업부","5350","-140","-2.55","5400","5470","5310","229630","1233035380","106397713050","19887423"
"069730","DSR제강","KOSPI",,"3475","-15","-0.43","3440","3490","3420","18224","62812500","50040000000","14400000"
"009730","DS제강","KOSDAQ","중견기업부","380","-3","-0.78","383","383","376","59667","22615636","7591841400","19978530"
"017940","E1","KOSPI",,"51000","-300","-0.58","50800","51300","50500","10181","516674700","349860000000","6860000"
"037370","EG","KOSDAQ","중견기업부","27450","-950","-3.35","27700","28000","26850","204110","5574514450","205875000000","7500000"
"080220","EMLSI","KOSDAQ","벤처기업부","3200","10","0.31","3190","3245","3135","60649","192328365","66649065600","20827833"
"079190","EMW","KOSDAQ","벤처기업부","2995","35","1.18","2950","3020","2920","10577","31347585","37622111800","12561640"
"007700","F&F","KOSPI",,"7350","-150","-2.00","7500","7550","7280","740","5536000","113190000000","15400000"
"114090","GKL","KOSPI",,"20400","400","2.00","19950","20650","19800","368946","7504358000","1261855668000","61855670"
"078930","GS","KOSPI",,"63900","-1400","-2.14","64000","65500","63700","506204","32533155500","5937292654200","92915378"
"083450","GST","KOSDAQ","벤처기업부","2200","10","0.46","2195","2220","2180","14970","32877345","16544000000","7520000"
"006360","GS건설","KOSPI",,"96500","-1900","-1.93","96000","99400","96000","321181","31207391600","4921500000000","51000000"
"001250","GS글로벌","KOSPI",,"12050","-150","-1.23","11900","12300","11900","131266","1591993100","271531856200","22533764"
"078935","GS우","KOSPI",,"22050","50","0.23","21900","22100","21900","6000","131875500","39355413300","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","107500","0","0.00","106500","108700","105500","25736","2762696200","705468750000","6562500"
"053870","GT&T","KOSDAQ","벤처기업부","836","6","0.72","855","855","826","2184","1829448","6688000000","8000000"
"035000","GⅡR","KOSPI",,"9000","-20","-0.22","9020","9100","8900","15618","140146900","149106681000","16567409"
"032800","G러닝","KOSDAQ","중견기업부","720","-3","-0.41","723","723","692","37416","26295155","16992162000","23600225"
"041590","H&H","KOSDAQ","중견기업부","1340","65","5.10","1270","1345","1260","213009","279975145","21666228180","16168827"
"001500","HMC투자증권","KOSPI",,"14850","-250","-1.66","14800","15100","14700","69219","1031651650","435656098350","29337111"
