종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069110","3H","KOSDAQ","중견기업부","4745","0","0.00","4865","4895","4675","101310","482035785","63893968320","13465536"
"060310","3S","KOSDAQ","중견기업부","8750","-270","-2.99","9040","9090","8750","250797","2217643580","356875400000","40785760"
"900010","3노드디지탈","KOSDAQ","외국기업(소속부없음)","815","-9","-1.09","823","828","812","114755","93690476","49054995070","60190178"
"038120","AD모터스","KOSDAQ","관리종목(소속부없음)","70","0","0.00","68","71","68","1022102","70558818","6505608200","92937260"
"013340","AJS","KOSDAQ","벤처기업부","919","-8","-0.86","925","929","915","142984","131456599","35149409307","38247453"
"068400","AJ렌터카","KOSPI",,"8000","10","0.13","8130","8130","7800","91016","718783440","177170400000","22146300"
"006840","AK홀딩스","KOSPI",,"22950","600","2.68","22450","23400","21950","40844","932074950","130723200000","5696000"
"054620","AP시스템","KOSDAQ","벤처기업부","6370","-340","-5.07","6710","6760","6080","1499790","9481421600","137719915970","21620081"
"090470","AST젯텍","KOSDAQ","벤처기업부","4490","-5","-0.11","4495","4590","4420","10357","46301295","37249489000","8296100"
"138930","BS금융지주","KOSPI",,"11900","-450","-3.64","12250","12400","11850","636553","7678599700","2301220798100","193379899"
"001460","BYC","KOSPI",,"183500","-1500","-0.81","185000","185000","181500","165","30320000","114616852500","624615"
"001465","BYC우","KOSPI",,"67200","-200","-0.30","67400","67400","66000","36","2384900","14473872000","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","5320","-20","-0.37","5740","6130","5280","2210917","12543321380","87508738520","16449011"
"001040","CJ","KOSPI",,"109000","2500","2.35","107500","109500","105500","124580","13430898500","3161478292000","29004388"
"079160","CJ CGV","KOSPI",,"33000","-800","-2.37","34000","34300","32500","158720","5234436400","680376114000","20617458"
"130960","CJ E&M","KOSDAQ","우량기업부","29400","50","0.17","29300","29700","28650","226193","6595162550","1115129181600","37929564"
"000120","CJ대한통운","KOSPI",,"118000","4500","3.96","112000","118000","111500","48455","5668956000","2691856592000","22812344"
"011150","CJ씨푸드","KOSPI",,"3175","80","2.58","3050","3175","3020","840382","2617319800","114080204275","35930773"
"011155","CJ씨푸드1우","KOSPI",,"5860","60","1.03","5850","5880","5760","1320","7701200","1172000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","250000","6800","2.80","243200","254000","243200","40559","10151079100","1550909500000","6203638"
"001045","CJ우","KOSPI",,"23500","0","0.00","23500","24000","23250","7291","172433500","53115240500","2260223"
"097950","CJ제일제당","KOSPI",,"343000","500","0.15","339000","346500","336500","50102","17171740500","4486061671000","13078897"
"097955","CJ제일제당 우","KOSPI",,"66700","0","0.00","66500","66900","65500","5268","347603400","88539781100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","44550","1650","3.85","42700","44650","42600","58320","2530246400","481732515000","10813300"
"023460","CNH","KOSDAQ","우량기업부","1370","10","0.74","1370","1410","1340","132299","179556570","50964000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","6600","110","1.69","6500","6720","6290","225308","1480303990","79200000000","12000000"
"000590","CS홀딩스","KOSPI",,"35750","200","0.56","35700","35750","35700","130","4641500","41272731500","1154482"
