종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2445","55","2.30","2380","2470","2360","184220","443485320","99981595260","40892268"
"095570","AJ네트웍스","KOSPI",,"46150","-1250","-2.64","47400","47400","46050","19930","924968550","432169782850","9364459"
"068400","AJ렌터카","KOSPI",,"10500","-100","-0.94","10600","10600","10200","320073","3319688300","232536150000","22146300"
"006840","AK홀딩스","KOSPI",,"86400","400","0.47","86800","87500","86200","33909","2945236000","1144589270400","13247561"
"054620","AP시스템","KOSDAQ","우량기업부","7720","-260","-3.26","7930","7960","7660","264639","2054716510","180724898920","23409961"
"090470","AST젯텍","KOSDAQ","중견기업부","3565","-85","-2.33","3625","3625","3500","40983","144882005","52041185520","14597808"
"027410","BGF리테일","KOSPI",,"171000","1000","0.59","169500","171000","162500","64964","10795458000","4236347844000","24773964"
"138930","BNK금융지주","KOSPI",,"13900","-100","-0.71","14050","14150","13800","495469","6890782350","3557499919400","255935246"
"001460","BYC","KOSPI",,"398000","-1000","-0.25","403000","403000","395000","348","138255000","248596770000","624615"
"001465","BYC우","KOSPI",,"189500","0","0.00","189500","189500","188500","40","7542000","40815457500","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","6040","140","2.37","5930","6250","5920","596062","3608332010","172471239640","28554841"
"001040","CJ","KOSPI",,"248000","8000","3.33","242500","252500","240500","161742","40100177000","7223805504000","29128248"
"079160","CJ CGV","KOSPI",,"102500","-1500","-1.44","104000","105500","101000","145790","14991153500","2169034582500","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","85400","1800","2.15","84900","87900","84200","293490","25265219200","3307720400600","38732089"
"000120","CJ대한통운","KOSPI",,"187000","-8000","-4.10","193000","195500","187000","32907","6245775000","4265908328000","22812344"
"011150","CJ씨푸드","KOSPI",,"3720","65","1.78","3660","3745","3645","186110","687464545","133662475560","35930773"
"011155","CJ씨푸드1우","KOSPI",,"20050","-50","-0.25","20900","20900","20050","1370","27826400","4010000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","192000","15500","8.78","200500","203000","189700","348630","67983895500","1191795456000","6207268"
"001045","CJ우","KOSPI",,"128000","5500","4.49","122500","130000","122500","15295","1955121000","289308544000","2260223"
"097950","CJ제일제당","KOSPI",,"354500","4500","1.29","349000","358000","348500","29260","10388778000","4664581191000","13158198"
"097955","CJ제일제당 우","KOSPI",,"227000","5000","2.25","220500","227000","220500","2304","518770500","301327291000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","70500","-3200","-4.34","72800","73500","70000","54175","3851249500","830487814500","11779969"
"037560","CJ헬로비전","KOSPI",,"10900","0","0.00","0","0","0","0","0","844170828500","77446865"
"058820","CMG제약","KOSDAQ","중견기업부","2260","-110","-4.64","2360","2410","2250","1545847","3561437675","199551771440","88297244"
"023460","CNH","KOSDAQ","중견기업부","1770","0","0.00","1750","1785","1750","65088","115010460","65844000000","37200000"
"065770","CS","KOSDAQ","중견기업부","3185","285","9.83","2800","3580","2710","3695103","11759103540","38220000000","12000000"
"000590","CS홀딩스","KOSPI",,"84700","4800","6.01","79700","84800","77000","1934","155748100","97784625400","1154482"
"139130","DGB금융지주","KOSPI",,"10650","50","0.47","10600","10650","10550","114985","1222794600","1800416090100","169053154"
"068790","DMS","KOSDAQ","중견기업부","5500","40","0.73","5440","5670","5370","196118","1086603910","109380826500","19887423"
"004840","DRB동일","KOSPI",,"15150","500","3.41","14650","15150","14600","73902","1100660950","272851500000","18010000"
"155660","DSR","KOSPI",,"3710","0","0.00","3660","3715","3660","7092","26145285","59360000000","16000000"
"069730","DSR제강","KOSPI",,"3895","-190","-4.65","4030","4040","3895","53836","213096080","56088000000","14400000"
"017940","E1","KOSPI",,"68200","-800","-1.16","68500","68900","68000","2415","165054600","467852000000","6860000"
"037370","EG","KOSDAQ","중견기업부","11900","-400","-3.25","12200","12400","11800","17290","207295850","89250000000","7500000"
"079190","EMW","KOSDAQ","벤처기업부","2230","30","1.36","2195","2300","2155","981129","2193988150","59648849490","26748363"
"007700","F&F","KOSPI",,"20550","650","3.27","19900","20800","19400","50131","1024503150","316470000000","15400000"
"114090","GKL","KOSPI",,"31850","50","0.16","31800","32100","31500","115816","3688431200","1970103089500","61855670"
"078930","GS","KOSPI",,"49050","-1150","-2.29","49550","49700","48450","225264","11029084500","4557499290900","92915378"
"083450","GST","KOSDAQ","벤처기업부","6050","-100","-1.63","6070","6140","6030","21718","132102020","56372357250","9317745"
"006360","GS건설","KOSPI",,"22800","-500","-2.15","23300","23650","22700","441827","10187010150","1618800000000","71000000"
"001250","GS글로벌","KOSPI",,"6270","70","1.13","6160","6280","6160","19230","119994310","141286700280","22533764"
"007070","GS리테일","KOSPI",,"57000","-600","-1.04","58400","58400","56500","133821","7646660900","4389000000000","77000000"
"078935","GS우","KOSPI",,"32350","-100","-0.31","32550","32550","32050","3566","114889100","57739121100","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","173000","2800","1.65","171400","173200","171000","22669","3902517400","1135312500000","6562500"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1385","-15","-1.07","1405","1405","1365","469321","645421225","106625985335","76986271"
"001500","HMC투자증권","KOSPI",,"10050","-250","-2.43","10400","10400","10000","104128","1049006000","294837965550","29337111"
"036640","HRS","KOSDAQ","중견기업부","3940","-100","-2.48","4055","4055","3920","47801","189963955","64437912000","16354800"
"204840","IBKS제2호스팩","KOSDAQ","SPAC(소속부없음)","2210","0","0.00","0","0","0","0","0","9945000000","4500000"
"225430","IBKS제3호스팩","KOSDAQ","SPAC(소속부없음)","2105","0","0.00","2110","2110","2100","15048","31601800","9472500000","4500000"
"011420","IB월드와이드","KOSPI",,"3500","-70","-1.96","3545","3595","3470","61383","214177685","96423754000","27549644"
"003560","IHQ","KOSPI",,"2420","-50","-2.02","2465","2495","2420","306025","752245605","346809597420","143309751"
"095340","ISC","KOSDAQ","우량기업부","26950","1350","5.27","25600","27100","25600","67439","1796597050","347457618200","12892676"
"099520","ITX시큐리티","KOSDAQ","벤처기업부","2040","-35","-1.69","2095","2100","2040","57315","118011300","26955301320","13213383"
"175330","JB금융지주","KOSPI",,"5870","-70","-1.18","5900","5940","5820","400259","2349889750","742578168890","126503947"
"067290","JW중외신약","KOSDAQ","중견기업부","6500","-210","-3.13","6710","6710","6500","354260","2328432000","253792227000","39044958"
"001060","JW중외제약","KOSPI",,"33950","-950","-2.72","35000","35000","33900","97184","3338960250","606039141400","17850932"
"001067","JW중외제약2우B","KOSPI",,"31150","-850","-2.66","33550","33550","31100","629","19699650","2458015350","78909"
"001065","JW중외제약우","KOSPI",,"24550","-650","-2.58","25900","25900","24100","279","6860450","3688981200","150264"
"096760","JW홀딩스","KOSPI",,"8400","-180","-2.10","8600","8700","8350","136551","1165187290","475607924400","56619991"
"035900","JYP Ent.","KOSDAQ","중견기업부","4625","-5","-0.11","4650","4720","4455","170210","786390940","157448930500","34043012"
"105560","KB금융","KOSPI",,"36000","-150","-0.41","36000","36300","35500","771236","27748428950","13908660948000","386351693"
"002550","KB손해보험","KOSPI",,"27200","650","2.45","26650","27500","26200","330032","8908328000","1632000000000","60000000"
"024120","KB오토시스","KOSDAQ","중견기업부","5770","60","1.05","5740","5800","5650","19686","112770660","66355000000","11500000"
"002380","KCC","KOSPI",,"463000","54500","13.34","429000","465000","423000","108899","49346347500","4870760000000","10520000"
"021320","KCC건설","KOSDAQ","중견기업부","8000","-120","-1.48","8010","8130","7500","28824","228198480","171200000000","21400000"
"036670","KCI","KOSDAQ","벤처기업부","10700","-500","-4.46","11350","11400","10700","123045","1345197050","119091000000","11130000"
"009070","KCTC","KOSPI",,"3085","25","0.82","3040","3085","3000","3146","9566430","92550000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"9630","-60","-0.62","9700","9780","9370","124673","1192144310","216048857400","22434980"
"119650","KC코트렐","KOSPI",,"7640","-260","-3.29","7900","7900","7580","26944","207974100","76400000000","10000000"
"044180","KD건설","KOSDAQ","중견기업부","324","-1","-0.31","328","337","320","10785260","3540242871","47877225336","147769214"
"092220","KEC","KOSPI",,"1140","0","0.00","1125","1175","1115","362976","416928355","67314017760","59047384"
"151860","KG ETS","KOSDAQ","우량기업부","3825","-110","-2.80","3940","3980","3820","203642","786680510","137700000000","36000000"
"109070","KGP","KOSPI",,"2835","-520","-15.50","3425","3535","2640","3205557","9463283940","105906689595","37356857"
"046440","KG모빌리언스","KOSDAQ","우량기업부","15250","0","0.00","15200","15550","15050","47014","713912900","315849170250","20711421"
"035600","KG이니시스","KOSDAQ","우량기업부","17000","0","0.00","16900","17350","16800","157425","2678734450","451861377000","26580081"
"001390","KG케미칼","KOSPI",,"15850","-250","-1.55","16100","16100","15700","60686","958018800","181940089500","11478870"
"060720","KH바텍","KOSDAQ","우량기업부","20200","100","0.50","19950","20600","19650","136482","2753811900","404000000000","20000000"
"001940","KISCO홀딩스","KOSPI",,"59800","300","0.50","59500","60800","58000","2359","138979800","220977504800","3695276"
"083470","KJ프리텍","KOSDAQ","벤처기업부","2905","-245","-7.78","3090","3120","2860","659130","1947052960","56287300335","19376007"
"122450","KMH","KOSDAQ","중견기업부","10700","-100","-0.93","10900","10900","10550","24072","257275900","143687036500","13428695"
"058400","KNN","KOSDAQ","우량기업부","7590","-10","-0.13","7600","7600","7530","3010","22792790","100514157480","13242972"
"083420","KPX그린케미칼","KOSPI",,"4300","-130","-2.93","4430","4505","4150","23753","101846295","86000000000","20000000"
"114450","KPX생명과학","KOSDAQ","중견기업부","3850","50","1.32","3815","3855","3770","20138","76800475","57750000000","15000000"
"025000","KPX케미칼","KOSPI",,"56200","-700","-1.23","56900","57400","55500","4466","249313900","272008000000","4840000"
"092230","KPX홀딩스","KOSPI",,"69000","-500","-0.72","69500","69600","68100","2329","159900100","291500574000","4224646"
"000040","KR모터스","KOSPI",,"1065","15","1.43","1075","1080","1050","486341","517966925","186702768660","175307764"
"044450","KSS해운","KOSPI",,"17450","-250","-1.41","17700","17800","17300","8261","144813700","202296803000","11592940"
"030200","KT","KOSPI",,"29050","-500","-1.69","29700","29750","29050","1339689","39160557800","7585298022400","261111808"
"033780","KT&G","KOSPI",,"115000","1000","0.88","113000","116000","113000","173479","19853709500","15788637155000","137292497"
"030210","KTB투자증권","KOSPI",,"2560","10","0.39","2550","2580","2520","369289","939812445","154404075520","60314092"
"036030","KTH","KOSDAQ","우량기업부","8600","-300","-3.37","8830","8970","8570","70111","611884640","307149189200","35715022"
"058850","KTcs","KOSPI",,"3600","0","0.00","3590","3600","3550","52518","187608300","153666000000","42685000"
"043610","KT뮤직","KOSDAQ","중견기업부","4810","-80","-1.64","4890","4950","4810","163360","797328305","201124536730","41813833"
"060370","KT서브마린","KOSDAQ","우량기업부","5320","0","0.00","5310","5490","5210","401586","2146621650","116508000000","21900000"
"093050","LF","KOSPI",,"31450","-200","-0.63","31600","31800","31100","54094","1698793950","919598000000","29240000"
"003550","LG","KOSPI",,"67600","1600","2.42","65700","67800","65600","300615","20218393500","11664862055600","172557131"
"034220","LG디스플레이","KOSPI",,"21800","200","0.93","21550","21800","21300","728949","15807424000","7800382260000","357815700"
"001120","LG상사","KOSPI",,"35150","200","0.57","35000","35500","34500","170619","5994936600","1362414000000","38760000"
"068870","LG생명과학","KOSPI",,"62600","1000","1.62","61800","63800","61300","166039","10457157900","1037719574000","16576990"
"068875","LG생명과학우","KOSPI",,"41600","50","0.12","41050","42800","41050","938","39231850","9826585600","236216"
"051900","LG생활건강","KOSPI",,"915000","-32000","-3.38","947000","948000","907000","83466","76447590000","14290650255000","15618197"
"051905","LG생활건강우","KOSPI",,"500000","25000","5.26","479000","514000","476000","32757","16087392000","1049848500000","2099697"
"003555","LG우","KOSPI",,"43800","1800","4.29","42800","43800","42100","15342","658766200","145182852600","3314677"
"032640","LG유플러스","KOSPI",,"10700","-250","-2.28","10950","10950","10650","2738357","29507657686","4671741562700","436611361"
"011070","LG이노텍","KOSPI",,"93600","900","0.97","92700","94000","92300","92771","8621268000","2215241215200","23667107"
"066570","LG전자","KOSPI",,"50800","1700","3.46","48600","50900","48000","1233806","61387505550","8313308951200","163647814"
"066575","LG전자우","KOSPI",,"25300","750","3.05","24250","25650","23850","101154","2543732050","434805597600","17185992"
"108670","LG하우시스","KOSPI",,"168500","-1500","-0.88","169500","173000","166500","31934","5422002000","1511052395000","8967670"
"108675","LG하우시스우","KOSPI",,"91900","1400","1.55","91400","91900","91400","2647","242284000","94871127000","1032330"
"051910","LG화학","KOSPI",,"314500","10000","3.28","303500","315000","303500","232306","72415698000","20842260950000","66271100"
"051915","LG화학우","KOSPI",,"226500","11000","5.10","218000","228500","217500","48151","10753534500","1727950606500","7628921"
"079550","LIG넥스원","KOSPI",,"94700","1100","1.18","94000","95100","91700","188402","17510593200","2083400000000","22000000"
"079950","LIG인베니아","KOSDAQ","중견기업부","3000","-10","-0.33","3030","3030","2910","42741","126270455","69600000000","23200000"
"006260","LS","KOSPI",,"36050","-2650","-6.85","38200","38200","34800","684701","24494226450","1160810000000","32200000"
"000680","LS네트웍스","KOSPI",,"3970","10","0.25","3980","4000","3925","18214","72094675","309524682550","77965915"
"000687","LS네트웍스전환상환2우B","KOSPI",,"4050","45","1.12","4040","4050","3940","12503","49444285","3372981750","832835"
"010120","LS산전","KOSPI",,"49700","0","0.00","49300","50600","48700","85944","4269644150","1491000000000","30000000"
"159910","MBK","KOSDAQ","벤처기업부","2310","-120","-4.94","2450","2460","2245","1410338","3258814960","128088409680","55449528"
"086960","MDS테크","KOSDAQ","우량기업부","23500","-150","-0.63","23650","23900","23300","38145","899870200","207166788000","8815608"
"023150","MH에탄올","KOSPI",,"10150","-50","-0.49","10250","10250","10000","33572","339751200","74892038900","7378526"
"065150","MPK","KOSDAQ","우량기업부","3980","-35","-0.87","4005","4050","3895","1166191","4642426185","321617459860","80808407"
"035420","NAVER","KOSPI",,"603000","3000","0.50","600000","607000","597000","103645","62328451000","19876495437000","32962679"
"160550","NEW","KOSDAQ","중견기업부","12000","150","1.27","11650","12050","11650","87179","1036143700","328873272000","27406106"
"181710","NHN엔터테인먼트","KOSPI",,"54700","-900","-1.62","55200","56000","54200","110324","6034466800","1070206867500","19565025"
"005940","NH투자증권","KOSPI",,"9870","-230","-2.28","10100","10150","9850","1496731","14869638540","2777505714690","281408887"
"005945","NH투자증권우","KOSPI",,"7120","-70","-0.97","7210","7210","7120","11991","85654700","134361292160","18870968"
"034310","NICE","KOSPI",,"25500","50","0.20","25450","25600","24900","93598","2373353400","965998650000","37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부","11950","0","0.00","11850","12000","11550","299504","3527164450","725542099000","60714820"
"008260","NI스틸","KOSPI",,"2690","-5","-0.19","2695","2720","2650","104197","280110855","76468226500","28426850"
"004250","NPC","KOSPI",,"7200","-100","-1.37","7280","7380","7000","37281","265646240","264384000000","36720000"
"004255","NPC우","KOSPI",,"3510","60","1.74","3435","3515","3380","31377","108081075","18532800000","5280000"
"010060","OCI","KOSPI",,"83900","1700","2.07","82200","84200","81200","186052","15510546000","2000962226900","23849371"
"036490","OCI머티리얼즈","KOSDAQ","우량기업부","92000","-900","-0.97","93100","93700","90800","51299","4725787900","970385916000","10547673"
"024940","PN풍년","KOSDAQ","벤처기업부","3755","-45","-1.18","3795","3875","3705","29774","112889655","37550000000","10000000"
"005490","POSCO","KOSPI",,"179500","-2500","-1.37","182500","183000","178500","276013","49560065000","15650036882500","87186835"
"091340","S&K폴리텍","KOSDAQ","벤처기업부","3375","-165","-4.66","3645","3645","3310","64560","218461815","28203001875","8356445"
"100840","S&TC","KOSPI",,"24450","-100","-0.41","24850","24950","24350","18329","450251900","173218763400","7084612"
"064960","S&T모티브","KOSPI",,"73900","1400","1.93","72900","74600","71600","97374","7121401700","1064410225400","14403386"
"003570","S&T중공업","KOSPI",,"13550","-300","-2.17","13850","13950","13500","97701","1331684900","440015098450","32473439"
"036530","S&T홀딩스","KOSPI",,"26600","0","0.00","26700","27950","26450","15995","428095150","408844021600","15370076"
"010950","S-Oil","KOSPI",,"68400","100","0.15","67900","68400","66800","206366","13939773300","7700662972800","112582792"
"010955","S-Oil우","KOSPI",,"43300","600","1.41","43050","43300","42750","12910","556270100","174149439100","4021927"
"950110","SBI액시즈","KOSDAQ","외국기업(소속부없음)","3540","-45","-1.26","3585","3585","3500","36180","127830345","75633516000","21365400"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","628","-14","-2.18","642","650","610","966220","609903974","101777809100","162066575"
"034120","SBS","KOSPI",,"38700","200","0.52","38500","38700","38100","22201","855247550","706374923400","18252582"
"101060","SBS미디어홀딩스","KOSPI",,"3910","10","0.26","3880","3940","3845","133649","522134920","546994102900","139896190"
"046140","SBS콘텐츠허브","KOSDAQ","우량기업부","15850","100","0.63","15800","16000","15600","44323","701055350","340197346750","21463555"
"099220","SDN","KOSDAQ","중견기업부","1375","60","4.56","1330","1415","1310","1258331","1723941650","41260170875","30007397"
"040610","SG&G","KOSDAQ","우량기업부","3965","55","1.41","3870","3965","3705","769834","2956312875","135155732140","34087196"
"049470","SGA","KOSDAQ","벤처기업부","1490","5","0.34","1485","1530","1440","3784716","5605512005","99037378110","66468039"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","4360","130","3.07","4200","4460","4075","1253586","5331166345","97996711600","22476310"
"004060","SG세계물산","KOSPI",,"1250","-30","-2.34","1265","1305","1235","5644634","7162379795","253031200000","202424960"
"001380","SG충남방적","KOSPI",,"3395","-730","-17.70","4125","4240","3350","3211941","11693772675","141732660650","41747470"
"052300","SH 홀딩스","KOSDAQ","중견기업부","1270","25","2.01","1220","1270","1190","2228031","2716667720","99523737960","78365148"
"002360","SH에너지화학","KOSPI",,"1525","-70","-4.39","1595","1605","1525","1334537","2066043300","169478938250","111133730"
"009160","SIMPAC","KOSPI",,"6590","150","2.33","6490","6590","6490","14327","93698600","191669655750","29084925"
"090730","SIMPAC METALLOY","KOSDAQ","우량기업부","5450","-90","-1.62","5670","5670","5420","4483","24830350","70850000000","13000000"
"123700","SJM","KOSPI",,"6580","-60","-0.90","6640","6680","6530","8397","55190090","102680228840","15604898"
"025530","SJM홀딩스","KOSPI",,"5320","-40","-0.75","5360","5400","5320","4549","24396780","79448922560","14934008"
