종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2400","75","3.23","33","72.73",,,"829","2.90","0","0.00"
"095570","AJ네트웍스 ","7310","450","6.56","1707","4.28","859","8.51","8075","0.91","270","3.69"
"006840","AK홀딩스 ","13250","650","5.16",,,,,"45961","0.29","200","1.51"
"054620","APS홀딩스 ","9530","280","3.03","1179","8.08",,,"10088","0.94","100","1.05"
"265520","AP시스템 ","17350","350","2.06","3932","4.41","3801","4.56","12713","1.36","240","1.38"
"211270","AP위성 ","8900","40","0.45","99","89.90",,,"5714","1.56","70","0.79"
"027410","BGF ","3225","30","0.94","684","4.71",,,"16393","0.20","110","3.41"
"282330","BGF리테일 ","176000","3000","1.73","8547","20.59","12379","14.22","46849","3.76","3000","1.70"
"032790","BNGT ","4075","0","0.00","266","15.32",,,"1508","2.70","0","0.00"
"138930","BNK금융지주 ","6470","100","1.57","2341","2.76","2690","2.41","28745","0.23","560","8.66"
"001460","BYC ","368500","3500","0.96","35764","10.30",,,"577324","0.64","1500","0.41"
"001465","BYC우 ","139000","-2000","-1.42",,,,,,,"1550","1.12"
"013720","CBI ","347","11","3.27",,,,,"137","2.53","0","0.00"
"001040","CJ ","72100","1100","1.55","8197","8.80","12727","5.67","151085","0.48","2300","3.19"
"079160","CJ CGV ","13900","150","1.09",,,,,"5520","2.52","0","0.00"
"035760","CJ ENM ","79700","2100","2.71","9332","8.54","7458","10.69","182220","0.44","2100","2.63"
"311690","CJ 바이오사이언스 ","26550","150","0.57",,,,,"14957","1.78","0","0.00"
"00104K","CJ4우(전환) ","67000","600","0.90",,,,,,,"2350","3.51"
"000120","CJ대한통운 ","84100","5700","7.27","1841","45.68","10061","8.36","178766","0.47","0","0.00"
"011150","CJ씨푸드 ","2655","35","1.34","61","43.52",,,"1857","1.43","0","0.00"
"011155","CJ씨푸드1우 ","26450","-50","-0.19",,,,,,,"0","0.00"
"001045","CJ우 ","47150","150","0.32",,,,,,,"2350","4.98"
"097950","CJ제일제당 ","402000","1000","0.25","38246","10.51","49564","8.11","381542","1.05","5000","1.24"
"097955","CJ제일제당 우 ","168500","500","0.30",,,,,,,"5050","3.00"
"051500","CJ프레시웨이 ","30550","1350","4.62","2245","13.61","5785","5.28","20715","1.47","300","0.98"
"058820","CMG제약 ","2175","80","3.82","23","94.57",,,"1330","1.64","0","0.00"
"023460","CNH ","2305","-135","-5.53","46","50.11",,,"3826","0.60","20","0.87"
"056730","CNT85 ","3100","0","0.00",,,,,"295","10.51","0","0.00"
"065770","CS ","1480","20","1.37",,,,,"1099","1.35","0","0.00"
"083660","CSA 코스믹 ","1125","-15","-1.32",,,,,"390","2.88","0","0.00"
"000590","CS홀딩스 ","53900","800","1.51","12789","4.21",,,"226165","0.24","500","0.93"
"012030","DB ","751","12","1.62","114","6.59",,,"2292","0.33","0","0.00"
"404950","DB금융스팩10호 ","2070","-10","-0.48",,,,,,,"0","0.00"
"367340","DB금융스팩8호 ","2050","-5","-0.24",,,,,,,"0","0.00"
"367360","DB금융스팩9호 ","2070","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","4450","75","1.71","2831","1.57",,,"22133","0.20","500","11.24"
"005830","DB손해보험 ","58100","900","1.57","14482","4.01","11900","4.88","110605","0.53","3500","6.02"
"000990","DB하이텍 ","41600","100","0.24","7292","5.70","10819","3.85","25449","1.63","450","1.08"
"000995","DB하이텍1우 ","80500","-500","-0.62",,,,,,,"500","0.62"
"139130","DGB금융지주 ","7290","80","1.11","2886","2.53","3107","2.35","32507","0.22","630","8.64"
"001530","DI동일 ","14550","50","0.34","2234","6.51",,,"29290","0.50","200","1.37"
"000210","DL ","60600","1900","3.24","41881","1.45","18598","3.26","173922","0.35","1900","3.14"
"001880","DL건설 ","14800","250","1.72","7911","1.87","5037","2.94","41105","0.36","750","5.07"
"000215","DL우 ","33450","450","1.36",,,,,,,"1950","5.83"
"375500","DL이앤씨 ","37650","2050","5.76","26903","1.40","12457","3.02","194338","0.19","2700","7.17"
"37550L","DL이앤씨2우(전환) ","28350","1500","5.59",,,,,,,"0","0.00"
"37550K","DL이앤씨우 ","23900","650","2.80",,,,,,,"2750","11.51"
"068790","DMS ","4675","70","1.52","1354","3.45",,,"10824","0.43","100","2.14"
"007340","DN오토모티브 ","65000","1400","2.20","9379","6.93",,,"82507","0.79","2000","3.08"
"004840","DRB동일 ","4135","50","1.22",,,,,"18916","0.22","30","0.73"
"241520","DSC인베스트먼트 ","3715","165","4.65","582","6.38",,,"2762","1.35","0","0.00"
"155660","DSR ","4635","115","2.54","768","6.04",,,"10991","0.42","50","1.08"
"069730","DSR제강 ","4265","125","3.02","529","8.06",,,"10683","0.40","40","0.94"
"017940","E1 ","42750","400","0.94","22789","1.88",,,"226210","0.19","2200","5.15"
"245620","EDGC ","2205","80","3.76",,,,,"712","3.10","0","0.00"
"037370","EG ","7440","10","0.13","622","11.96",,,"7528","0.99","0","0.00"
"050120","ES큐브 ","3830","105","2.82","670","5.72",,,"6347","0.60","0","0.00"
"084180","EV수성 ","1585","-90","-5.37",,,,,"579","2.74","0","0.00"
"383220","F&F ","139000","0","0.00","6061","22.93","13200","10.53","14307","9.72","1100","0.79"
"007700","F&F홀딩스 ","14400","650","4.73","88031","0.16",,,"49495","0.29","170","1.18"
"214270","FSN ","3410","110","3.33","4","852.50",,,"3885","0.88","0","0.00"
"130500","GH신소재 ","3380","55","1.65","201","16.82",,,"4636","0.73","0","0.00"
"114090","GKL ","15550","450","2.98",,,"1061","14.66","6201","2.51","0","0.00"
"078930","GS ","47300","650","1.39","15304","3.09","19446","2.43","108672","0.44","2000","4.23"
"083450","GST ","20250","150","0.75","4292","4.72","5143","3.94","16558","1.22","300","1.48"
"006360","GS건설 ","23800","1150","5.08","4834","4.92","6479","3.67","54487","0.44","1300","5.46"
"001250","GS글로벌 ","2710","10","0.37","283","9.58",,,"4013","0.68","0","0.00"
"007070","GS리테일 ","24550","150","0.61","9096","2.70","2068","11.87","39822","0.62","1200","4.89"
"078935","GS우 ","35650","0","0.00",,,,,,,"2050","5.75"
"297890","HB솔루션 ","14000","400","2.94","509","27.50",,,"6224","2.25","0","0.00"
"078150","HB테크놀러지 ","1825","20","1.11","151","12.09",,,"2364","0.77","20","1.10"
"012630","HDC ","5930","250","4.40","2069","2.87",,,"43552","0.14","250","4.22"
"039570","HDC랩스 ","8030","60","0.75","593","13.54",,,"11102","0.72","450","5.60"
"089470","HDC현대EP ","3880","50","1.31","356","10.90",,,"10379","0.37","140","3.61"
"294870","HDC현대산업개발 ","10750","350","3.37","2679","4.01",,,"43665","0.25","600","5.58"
"267250","HD현대 ","58200","400","0.69",,,"14629","3.98","89404","0.65","5550","9.54"
"097230","HJ중공업 ","3990","-40","-0.99",,,,,"5189","0.77","0","0.00"
"195940","HK이노엔 ","35150","1200","3.53","984","35.72","1915","18.35","39819","0.88","320","0.91"
"014790","HL D&I ","3040","55","1.84","1122","2.71","1329","2.29","8822","0.34","100","3.29"
"028300","HLB ","41200","2250","5.78",,,,,"4009","10.28","0","0.00"
"003580","HLB글로벌 ","7900","230","3.00",,,,,"2559","3.09","0","0.00"
"067630","HLB생명과학 ","12450","450","3.75",,,,,"2578","4.83","0","0.00"
"047920","HLB제약 ","14450","300","2.12",,,,,"3004","4.81","0","0.00"
"115450","HLB테라퓨틱스 ","14000","800","6.06",,,,,"3825","3.66","0","0.00"
"204320","HL만도 ","44500","2200","5.20","3567","12.48","4962","8.97","41672","1.07","800","1.80"
"060980","HL홀딩스 ","31150","900","2.98","10531","2.96","9938","3.13","102145","0.30","2000","6.42"
"011200","HMM ","19250","200","1.05","13506","1.43","12258","1.57","21179","0.91","600","3.12"
"403870","HPSP ","55000","2700","5.16","2130","25.82","4794","11.47","3157","17.42","0","0.00"
"036640","HRS ","5280","80","1.54","1303","4.05",,,"6224","0.85","200","3.79"
"082740","HSD엔진 ","6840","20","0.29",,,"514","13.30","3511","1.95","0","0.00"
"335870","IBKS제12호스팩 ","5180","580","12.61",,,,,,,"0","0.00"
"351340","IBKS제13호스팩 ","1900","10","0.53",,,,,,,"0","0.00"
"388790","IBKS제16호스팩 ","2225","0","0.00",,,,,,,"0","0.00"
"405350","IBKS제17호스팩 ","2335","5","0.21",,,,,,,"0","0.00"
"424760","IBKS제18호스팩 ","2115","15","0.71",,,,,,,"0","0.00"
"426550","IBKS제19호스팩 ","2120","5","0.24",,,,,,,"0","0.00"
"003560","IHQ ","537","14","2.68",,,,,"800","0.67","0","0.00"
"095340","ISC ","30400","-2200","-6.75","2202","13.81","3725","8.16","14083","2.16","200","0.66"
"099520","ITX-AI ","1285","0","0.00",,,,,"311","4.13","0","0.00"
"175330","JB금융지주 ","7330","50","0.69","2510","2.92","3025","2.42","21392","0.34","599","8.17"
"234080","JW생명과학 ","11900","300","2.59","829","14.35",,,"8492","1.40","500","4.20"
"067290","JW신약 ","3305","65","2.01","19","173.95",,,"1206","2.74","0","0.00"
"001060","JW중외제약 ","18600","500","2.76",,,"1798","10.35","8650","2.15","325","1.75"
"001067","JW중외제약2우B ","65000","1100","1.72",,,,,,,"325","0.50"
"001065","JW중외제약우 ","34900","250","0.72",,,,,,,"350","1.00"
"096760","JW홀딩스 ","2900","75","2.65",,,,,"1356","2.14","90","3.10"
"035900","JYP Ent. ","56800","-600","-1.05","2038","27.87","2382","23.84","7451","7.62","369","0.65"
"318000","KBG ","6250","110","1.79","494","12.65",,,"3904","1.60","100","1.60"
"024840","KBI메탈 ","1340","-5","-0.37",,,,,"2939","0.46","0","0.00"
"105560","KB금융 ","47350","1450","3.16","11134","4.25","11968","3.96","121808","0.39","2940","6.21"
"024120","KB오토시스 ","3755","55","1.49",,,,,"8880","0.42","120","3.20"
"002380","KCC ","245000","3000","1.24",,,"44457","5.51","657509","0.37","7000","2.86"
"021320","KCC건설 ","5840","50","0.86","2363","2.47",,,"22186","0.26","180","3.08"
"344820","KCC글라스 ","41700","1500","3.73","7353","5.67",,,"87084","0.48","2400","5.76"
"036670","KCI ","8650","90","1.05","944","9.16",,,"7674","1.13","200","2.31"
"009070","KCTC ","4070","130","3.30","681","5.98",,,"7431","0.55","60","1.47"
"009440","KC그린홀딩스 ","2870","70","2.50","122","23.52",,,"7257","0.40","70","2.44"
"119650","KC코트렐 ","2255","70","3.20","761","2.96",,,"2787","0.81","0","0.00"
"044180","KD ","775","3","0.39",,,,,"1578","0.49","0","0.00"
"092220","KEC ","2665","35","1.33","80","33.31",,,"1884","1.41","0","0.00"
"151860","KG ETS ","8530","170","2.03","1389","6.14",,,"8862","0.96","120","1.41"
"046440","KG모빌리언스 ","5730","150","2.69","785","7.30","973","5.89","7727","0.74","220","3.84"
"016380","KG스틸 ","8250","170","2.10","1908","4.32",,,"11498","0.72","100","1.21"
"035600","KG이니시스 ","12750","350","2.82","1808","7.05","2382","5.35","13469","0.95","400","3.14"
"001390","KG케미칼 ","23700","1150","5.10","5749","4.12",,,"34343","0.69","500","2.11"
"226360","KH 건설 ","467","4","0.86",,,,,"1363","0.34","0","0.00"
"111870","KH 전자 ","303","1","0.33",,,,,"972","0.31","0","0.00"
"033180","KH 필룩스 ","1005","5","0.50",,,,,"3088","0.33","0","0.00"
"060720","KH바텍 ","12450","450","3.75","1473","8.45","1853","6.72","9612","1.30","300","2.41"
"001940","KISCO홀딩스 ","12450","150","1.22","8106","1.54",,,"68463","0.18","400","3.21"
"058400","KNN ","905","9","1.00","69","13.12",,,"1552","0.58","20","2.21"
"114450","KPX생명과학 ","4130","130","3.25",,,,,"3753","1.10","0","0.00"
"025000","KPX케미칼 ","47750","100","0.21","10123","4.72","10076","4.74","119120","0.40","2750","5.76"
"092230","KPX홀딩스 ","53300","700","1.33","11573","4.61",,,"208904","0.26","3000","5.63"
"000040","KR모터스 ","607","10","1.68",,,,,"385","1.58","0","0.00"
"044450","KSS해운 ","9110","220","2.47","2497","3.65",,,"15261","0.60","350","3.84"
"030200","KT ","35500","500","1.43","5759","6.16","5195","6.83","63512","0.56","1910","5.38"
"033780","KT&G ","87300","-500","-0.57","7898","11.05","7884","11.07","76336","1.14","4800","5.50"
"058850","KTcs ","2210","20","0.91","454","4.87",,,"4374","0.51","100","4.52"
"058860","KTis ","2490","25","1.01","767","3.25",,,"5909","0.42","100","4.02"
"060370","KT서브마린 ","5750","130","2.31",,,,,"4848","1.19","30","0.52"
"122450","KX ","6020","50","0.84","896","6.72",,,"5636","1.07","0","0.00"
"052900","KX하이텍 ","1270","40","3.25","102","12.45",,,"1998","0.64","0","0.00"
"093050","LF ","15500","-300","-1.90","4169","3.72",,,"46904","0.33","600","3.87"
"003550","LG ","78800","-100","-0.13","15504","5.08","14457","5.45","132574","0.59","2800","3.55"
"034220","LG디스플레이 ","14850","400","2.77","3315","4.48",,,"36664","0.41","650","4.38"
"051900","LG생활건강 ","578000","3000","0.52","50395","11.47","36603","15.79","321556","1.80","12000","2.08"
"051905","LG생활건강우 ","298000","1000","0.34",,,,,,,"12050","4.04"
"373220","LG에너지솔루션 ","489000","-2500","-0.51","3963","123.39","6794","71.98","39831","12.28","0","0.00"
"003555","LG우 ","61200","800","1.32",,,,,,,"2850","4.66"
"032640","LG유플러스 ","10900","350","3.32","1642","6.64","1689","6.45","17852","0.61","550","5.05"
"011070","LG이노텍 ","290500","-500","-0.17","37537","7.74","52561","5.53","140050","2.07","3000","1.03"
"066570","LG전자 ","82800","1100","1.35","5725","14.46","11240","7.37","95691","0.87","850","1.03"
"066575","LG전자우 ","40650","350","0.87",,,,,,,"900","2.21"
"037560","LG헬로비전 ","4345","45","1.05","348","12.49","527","8.25","8424","0.52","110","2.53"
"051910","LG화학 ","611000","36000","6.26","47108","12.97","37356","16.36","278455","2.19","12000","1.96"
"051915","LG화학우 ","278500","11000","4.11",,,,,,,"12050","4.33"
"079550","LIG넥스원 ","85900","2000","2.38","4829","17.79","7846","10.95","35023","2.45","1200","1.40"
"006260","LS ","63700","3400","5.64","10004","6.37","11342","5.62","127727","0.50","1450","2.28"
"010120","LS ELECTRIC ","50100","1750","3.62","2890","17.34","5069","9.88","50525","0.99","1000","2.00"
"000680","LS네트웍스 ","2545","35","1.39","818","3.11",,,"7533","0.34","0","0.00"
"229640","LS전선아시아 ","7340","80","1.10","486","15.10","582","12.60","5107","1.44","240","3.27"
"108320","LX세미콘 ","84900","1200","1.43","18225","4.66","18779","4.52","49208","1.73","5400","6.36"
"001120","LX인터내셔널 ","43000","-50","-0.12","9733","4.42","11771","3.65","49349","0.87","2300","5.35"
"108670","LX하우시스 ","32300","1000","3.19","1306","24.73","1216","26.57","86527","0.37","300","0.93"
"108675","LX하우시스우 ","15450","150","0.98",,,,,,,"350","2.27"
"383800","LX홀딩스 ","8300","20","0.24","1839","4.51",,,"18209","0.46","0","0.00"
"38380K","LX홀딩스1우 ","10150","50","0.50",,,,,,,"0","0.00"
"086960","MDS테크 ","14450","0","0.00",,,,,"13588","1.06","0","0.00"
"023150","MH에탄올 ","8000","40","0.50","908","8.81",,,"9654","0.83","350","4.38"
"035420","NAVER ","172500","5500","3.29","110854","1.56","8414","20.50","157641","1.09","511","0.30"
"160550","NEW ","5490","150","2.81",,,,,"4617","1.19","0","0.00"
"053290","NE능률 ","4035","95","2.41","262","15.40",,,"4925","0.82","60","1.49"
"181710","NHN ","23800","1100","4.85","3341","7.12","1483","16.05","53297","0.45","0","0.00"
"104200","NHN벅스 ","6100","110","1.84",,,,,"5288","1.15","0","0.00"
"060250","NHN한국사이버결제 ","12400","700","5.98","784","15.82","1039","11.93","4229","2.93","0","0.00"
"005940","NH투자증권 ","9130","180","2.01","3071","2.97","1700","5.37","21630","0.42","1050","11.50"
"005945","NH투자증권우 ","9120","70","0.77",,,,,,,"1100","12.06"
"034310","NICE ","12800","550","4.49","1548","8.27",,,"20040","0.64","375","2.93"
"030190","NICE평가정보 ","12850","500","4.05","915","14.04","1005","12.79","5044","2.55","330","2.57"
"008260","NI스틸 ","3810","90","2.42","771","4.94",,,"4960","0.77","75","1.97"
"004250","NPC ","7110","110","1.57","624","11.39",,,"7686","0.93","100","1.41"
"004255","NPC우 ","3430","50","1.48",,,,,,,"105","3.06"
"010060","OCI ","102500","7700","8.12","27387","3.74","28041","3.66","128783","0.80","2000","1.95"
"178920","PI첨단소재 ","34100","-800","-2.29","2179","15.65","2358","14.46","11097","3.07","1090","3.20"
"024940","PN풍년 ","5080","120","2.42","228","22.28",,,"4757","1.07","25","0.49"
"005490","POSCO홀딩스 ","250000","2500","1.01","87330","2.86","53832","4.64","666803","0.37","17000","6.80"
"218410","RFHIC ","20300","450","2.27","239","84.94","770","26.36","10675","1.90","150","0.74"
"327260","RF머트리얼즈 ","11100","500","4.72",,,"727","15.28","4337","2.56","0","0.00"
"091340","S&K폴리텍 ","3680","185","5.29","339","10.86",,,"8546","0.43","250","6.79"
"010950","S-Oil ","82500","-300","-0.36","11840","6.97","18524","4.45","60024","1.37","3800","4.61"
"010955","S-Oil우 ","56900","200","0.35",,,,,,,"3825","6.72"
"019550","SBI인베스트먼트 ","1050","45","4.48","138","7.61",,,"819","1.28","0","0.00"
"034120","SBS ","30650","50","0.16","7693","3.98","8023","3.82","37150","0.83","1000","3.26"
"046140","SBS콘텐츠허브 ","5340","180","3.49","767","6.96",,,"8636","0.62","75","1.40"
"151910","SBW생명과학 ","1545","35","2.32",,,,,"217","7.12","0","0.00"
"036120","SCI평가정보 ","4320","125","2.98","168","25.71",,,"838","5.16","40","0.93"
"099220","SDN ","2110","65","3.18",,,,,"1831","1.15","0","0.00"
"036540","SFA반도체 ","4505","90","2.04","322","13.99","502","8.98","2436","1.85","0","0.00"
"255220","SG ","1250","30","2.46",,,,,"1839","0.68","0","0.00"
"040610","SG&G ","1605","60","3.88","441","3.64",,,"8743","0.18","0","0.00"
"049470","SGA ","700","8","1.16","88","7.95",,,"901","0.78","0","0.00"
"184230","SGA솔루션즈 ","760","5","0.66","37","20.54",,,"793","0.96","0","0.00"
"005090","SGC에너지 ","31900","1300","4.25","4270","7.47","8384","3.80","41630","0.77","1500","4.70"
"016250","SGC이테크건설 ","38250","300","0.79","28436","1.35","20056","1.91","84840","0.45","1500","3.92"
"001380","SG글로벌 ","1065","30","2.90",,,,,"2735","0.39","0","0.00"
"004060","SG세계물산 ","558","5","0.90","232","2.41",,,"1207","0.46","0","0.00"
"001770","SHD ","42950","1650","4.00","4768","9.01",,,"33420","1.29","100","0.23"
"002360","SH에너지화학 ","920","14","1.55","6","153.33",,,"835","1.10","10","1.09"
"009160","SIMPAC ","4725","135","2.94","1621","2.91",,,"9786","0.48","200","4.23"
"123700","SJM ","3515","75","2.18","456","7.71",,,"11373","0.31","150","4.27"
"025530","SJM홀딩스 ","4265","510","13.58","314","13.58",,,"11249","0.38","175","4.10"
"034730","SK ","205000","6500","3.27","37408","5.48","34166","6.00","375047","0.55","8000","3.90"
"011790","SKC ","99000","-1500","-1.49","6174","16.03","5206","19.02","55782","1.77","1100","1.11"
"018670","SK가스 ","116500","5000","4.48","27773","4.19","19933","5.84","235917","0.49","5100","4.38"
"001740","SK네트웍스 ","3940","90","2.34","451","8.74","360","10.93","10056","0.39","120","3.05"
"001745","SK네트웍스우 ","60300","2100","3.61",,,,,,,"145","0.24"
"006120","SK디스커버리 ","31000","850","2.82","10478","2.96",,,"121961","0.25","1500","4.84"
"006125","SK디스커버리우 ","27850","550","2.01",,,,,,,"1550","5.57"
"210980","SK디앤디 ","22150","450","2.07","5910","3.75","4664","4.75","26427","0.84","800","3.61"
"068400","SK렌터카 ","6690","140","2.14","453","14.77","803","8.33","10651","0.63","0","0.00"
"302440","SK바이오사이언스 ","77800","3900","5.28","4844","16.06","2383","32.65","20932","3.72","0","0.00"
"326030","SK바이오팜 ","56100","1100","2.00","828","67.75",,,"5672","9.89","0","0.00"
"402340","SK스퀘어 ","39400","0","0.00","2653","14.85","9438","4.17","117868","0.33","0","0.00"
"361610","SK아이이테크놀로지 ","51900","2700","5.49","1394","37.23","1510","34.36","31084","1.67","0","0.00"
"03473K","SK우 ","172500","4000","2.37",,,,,,,"8050","4.67"
"096770","SK이노베이션 ","156500","0","0.00","3640","42.99","23484","6.66","206117","0.76","2508","1.60"
"096775","SK이노베이션우 ","96700","600","0.62",,,,,,,"2558","2.65"
"001510","SK증권 ","671","18","2.76","92","7.29",,,"1446","0.46","15","2.24"
"001515","SK증권우 ","2815","-20","-0.71",,,,,,,"20","0.71"
"285130","SK케미칼 ","90000","7100","8.56","8586","10.48","8536","10.54","105002","0.86","3000","3.33"
"28513K","SK케미칼우 ","40950","1700","4.33",,,,,,,"3050","7.45"
"017670","SK텔레콤 ","50200","1200","2.45","7191","6.98","5155","9.74","53218","0.94","3295","6.56"
"000660","SK하이닉스 ","95800","600","0.63","13989","6.85","6063","15.80","90394","1.06","1540","1.61"
"048550","SM C&C ","3220","-5","-0.16",,,,,"1049","3.07","0","0.00"
"063440","SM Life Design ","2300","75","3.37","40","57.50",,,"1068","2.15","0","0.00"
"064960","SNT모티브 ","42800","800","1.90","5787","7.40","6575","6.51","61655","0.69","1600","3.74"
"100840","SNT에너지 ","18100","100","0.56","1957","9.25",,,"37171","0.49","800","4.42"
"003570","SNT중공업 ","8910","180","2.06","2666","3.34",,,"29158","0.31","400","4.49"
"036530","SNT홀딩스 ","13900","50","0.36","5329","2.61",,,"65710","0.21","700","5.04"
"005610","SPC삼립 ","76800","0","0.00","4990","15.39","7577","10.14","41335","1.86","1500","1.95"
"011810","STX ","4225","-165","-3.76",,,,,"2337","1.81","0","0.00"
"077970","STX엔진 ","13100","450","3.56","2","6550.00",,,"10271","1.28","0","0.00"
"071970","STX중공업 ","3835","-10","-0.26",,,,,"5428","0.71","0","0.00"
"002820","SUN&L ","3700","90","2.49",,,,,"14375","0.26","80","2.16"
"289080","SV인베스트먼트 ","2065","55","2.74","201","10.27",,,"1297","1.59","60","2.91"
