종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2920","30","1.04",,,,,"745","3.92","0","0.00"
"095570","AJ네트웍스 ","5780","-140","-2.36",,,,,"6089","0.95","210","3.63"
"006840","AK홀딩스 ","34400","-1000","-2.82",,,,,"50471","0.68","400","1.16"
"054620","APS홀딩스 ","14950","350","2.40",,,,,"8135","1.84","0","0.00"
"265520","AP시스템 ","29050","-50","-0.17","1736","16.73",,,"9041","3.21","120","0.41"
"211270","AP위성 ","16100","800","5.23",,,,,"5321","3.03","70","0.43"
"027410","BGF ","7050","30","0.43","285","24.74",,,"15781","0.45","110","1.56"
"282330","BGF리테일 ","184000","2500","1.38","7103","25.90",,,"40317","4.56","2400","1.30"
"138930","BNK금융지주 ","7990","40","0.50","1498","5.33",,,"26781","0.30","320","4.01"
"001460","BYC ","448000","14500","3.34","21904","20.45",,,"538911","0.83","1100","0.25"
"001465","BYC우 ","193500","6000","3.20",,,,,,,"1150","0.59"
"001040","CJ ","114500","0","0.00","2581","44.36",,,"130202","0.88","2000","1.75"
"079160","CJ CGV ","33100","-350","-1.05",,,,,"3812","8.68","0","0.00"
"035760","CJ ENM ","165400","100","0.06","2870","57.63",,,"156746","1.06","1600","0.97"
"00104K","CJ4우(전환) ","92000","800","0.88",,,,,,,"2000","2.17"
"000120","CJ대한통운 ","169500","-500","-0.29","5683","29.83",,,"146331","1.16","0","0.00"
"011150","CJ씨푸드 ","4820","105","2.23","58","83.10",,,"1823","2.64","0","0.00"
"011155","CJ씨푸드1우 ","44350","-50","-0.11",,,,,,,"0","0.00"
"001045","CJ우 ","66700","300","0.45",,,,,,,"2050","3.07"
"097950","CJ제일제당 ","485500","-3000","-0.61","42783","11.35",,,"321970","1.51","4000","0.82"
"097955","CJ제일제당 우 ","223000","-1000","-0.45",,,,,,,"4050","1.82"
"051500","CJ프레시웨이 ","32000","-600","-1.84",,,,,"15839","2.02","0","0.00"
"058820","CMG제약 ","4605","-35","-0.75","2","2302.50",,,"1304","3.53","0","0.00"
"023460","CNH ","3470","-40","-1.14","824","4.21",,,"3446","1.01","50","1.44"
"056000","COWON ","2860","0","0.00","20","143.00",,,"1435","1.99","0","0.00"
"065770","CS ","6040","490","8.83","9","671.11",,,"1170","5.16","0","0.00"
"083660","CSA 코스믹 ","1850","10","0.54",,,,,"313","5.91","0","0.00"
"000590","CS홀딩스 ","75600","1000","1.34","6657","11.36",,,"210057","0.36","500","0.66"
"012030","DB ","1055","45","4.46","33","31.97",,,"1559","0.68","0","0.00"
"367340","DB금융스팩8호 ","2225","-220","-9.00",,,,,,,"0","0.00"
"367360","DB금융스팩9호 ","2260","-590","-20.70",,,,,,,"0","0.00"
"016610","DB금융투자 ","7220","50","0.70","2327","3.10",,,"18855","0.38","300","4.16"
"005830","DB손해보험 ","51300","600","1.18","9171","5.59",,,"90596","0.57","2200","4.29"
"000990","DB하이텍 ","52100","500","0.97","3822","13.63",,,"17851","2.92","350","0.67"
"000995","DB하이텍1우 ","123000","4000","3.36",,,,,,,"400","0.33"
"139130","DGB금융지주 ","9390","-70","-0.74","1908","4.92",,,"29493","0.32","390","4.15"
"001530","DI동일 ","182000","3000","1.68","10653","17.08",,,"198359","0.92","1500","0.82"
"000210","DL ","82800","700","0.85","13077","6.33",,,"67178","1.23","1300","1.57"
"001880","DL건설 ","36650","350","0.96","7953","4.61",,,"34403","1.07","550","1.50"
"000215","DL우 ","48500","0","0.00",,,,,,,"1350","2.78"
"375500","DL이앤씨 ","135000","500","0.37",,,,,,,"0","0.00"
"37550K","DL이앤씨우 ","77800","0","0.00",,,,,,,"0","0.00"
"068790","DMS ","7930","30","0.38","1718","4.62",,,"9256","0.86","100","1.26"
"004840","DRB동일 ","7880","700","9.75","121","65.12",,,"17702","0.45","50","0.63"
"241520","DSC인베스트먼트 ","6020","-10","-0.17","890","6.76",,,"2144","2.81","0","0.00"
"155660","DSR ","6950","-30","-0.43","558","12.46",,,"10087","0.69","50","0.72"
