종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","505","50","10.99",,,"162","3.12","0","0.00"
"036360","3SOFT ","13400","500","3.88",,,"568","23.59","0","0.00"
"005760","ACTS ","7250","-230","-3.07",,,"4477","1.62","0","0.00"
"013340","AJS ","2100","-80","-3.67","129","16.28","504","4.17","0","0.00"
"039790","AMIC ","1060","30","2.91",,,"853","1.24","0","0.00"
"015670","AP우주통신 ","920","80","9.52",,,"1400","0.66","0","0.00"
"015675","AP우주통신(1우B) ","4410","-485","-9.91",,,,,"0","0.00"
"067130","BH라이프 ","1160","10","0.87",,,"126","9.21","0","0.00"
"004560","BNG스틸 ","6050","0","0.00","3167","1.91","14680","0.41","250","4.13"
"004565","BNG스틸(1우) ","5970","230","4.01",,,,,"300","5.03"
"001460","BYC ","119000","500","0.42","11386","10.45","246274","0.48","700","0.59"
"001465","BYC(1우) ","51800","-1200","-2.26",,,,,"750","1.45"
"045260","C&S디펜스 ","2985","-65","-2.13","40","74.63","3630","0.82","0","0.00"
"065770","C&S마이크로 ","11800","1500","14.56","505","23.37","2285","5.16","0","0.00"
"001040","CJ ","116500","12000","11.48","5478","21.27","56528","2.06","1650","1.42"
"001045","CJ(1우) ","65500","2200","3.48",,,,,"1700","2.60"
"001047","CJ(2우B) ","89000","5000","5.95",,,,,"1650","1.85"
"001049","CJ(3우B) ","86000","3300","3.99",,,,,"1650","1.92"
"079160","CJCGV ","29550","-200","-0.67","1963","15.05","2821","10.48","883","2.99"
"049370","CJ엔터테인 ","21000","1000","5.00","1201","17.49","10062","2.09","0","0.00"
"037150","CJ인터넷 ","20000","2600","14.94",,,"6038","3.31","0","0.00"
"051500","CJ푸드시스템 ","9050","50","0.56","259","34.94","10705","0.85","0","0.00"
"035760","CJ홈쇼핑 ","130900","6500","5.23","5701","22.96","27063","4.84","0","0.00"
"004530","CKF ","15400","0","0.00",,,"7183","2.14","0","0.00"
"050470","CMS ","2100","270","14.75",,,"887","2.37","0","0.00"
"023460","CNH캐피탈 ","1890","35","1.89",,,"2613","0.72","0","0.00"
"052350","CURON ","4930","320","6.94",,,"1326","3.72","0","0.00"
"065340","DM테크놀로지 ","2410","-30","-1.23","129","18.68","3667","0.66","0","0.00"
"069730","DSR제강 ","1580","10","0.64","202","7.82","1957","0.81","25","1.58"
"017940","E1 ","41400","-300","-0.72","7745","5.35","61213","0.68","1500","3.62"
"047940","EBT네트웍스 ","920","-160","-14.81",,,"1718","0.54","0","0.00"
"037370","EG ","6170","150","2.49","101","61.09","4326","1.43","0","0.00"
"080220","EMLSI ","18500","450","2.49","2219","8.34","4731","3.91","0","0.00"
"079190","EMW안테나 ","26800","2850","11.90","740","36.22","1819","14.73","0","0.00"
"007700","F&F ","5250","-170","-3.14","116","45.26","4250","1.24","50","0.95"
"001370","FnC코오롱 ","9680","-1270","-11.60",,,"5648","1.71","0","0.00"
"001375","FnC코오롱(1우) ","4900","-660","-11.87",,,,,"0","0.00"
"078930","GS ","23550","0","0.00","2589","9.10","20459","1.15","500","2.12"
"078935","GS(1우) ","19000","-100","-0.52",,,,,"550","2.89"
"006360","GS건설 ","52000","-1000","-1.89","3211","16.19","26040","2.00","1250","2.40"
"028150","GS홈쇼핑 ","132300","3300","2.56","8196","16.14","38809","3.41","0","0.00"
"053870","GT&T ","3285","425","14.86","201","16.34","1153","2.85","0","0.00"
"035000","GⅡR ","18250","150","0.83","877","20.81","8119","2.25","1000","5.48"
"007640","HK저축은행 ","3600","35","0.98",,,"3300","1.09","0","0.00"
"025340","HS창투 ","400","5","1.27",,,"351","1.14","0","0.00"
"007720","HS홀딩스 ","5400","220","4.25",,,"1337","4.04","0","0.00"
"060910","I.S하이텍 ","1800","-10","-0.55","113","15.93","1392","1.29","0","0.00"
"038710","ICM ","5000","-80","-1.57",,,"3228","1.55","0","0.00"
"080570","IC코퍼레이션 ","360","10","2.86","2","180.00","280","1.29","0","0.00"
"003560","IHQ ","9720","500","5.42",,,"514","18.91","0","0.00"
"004020","INI스틸 ","21350","400","1.91","5785","3.69","31891","0.67","400","1.87"
"004025","INI스틸(1우B) ","17500","400","2.34",,,,,"400","2.29"
"002380","KCC ","205500","-4500","-2.14","14315","14.36","181167","1.13","5000","2.43"
"021320","KCC건설 ","27300","-850","-3.02","4620","5.91","26229","1.04","0","0.00"
"036670","KCI ","5720","-40","-0.69","294","19.46","2018","2.83","0","0.00"
"009070","KCTC ","127500","2500","2.00","8664","14.72","245720","0.52","900","0.71"
"068060","KCW ","2610","80","3.16","681","3.83","3841","0.68","0","0.00"
"054020","KDN스마텍 ","1260","40","3.28",,,"512","2.46","0","0.00"
"017300","KDS ","1600","45","2.89",,,"2380","0.67","0","0.00"
"006200","KEC ","2225","5","0.23","183","12.16","4976","0.45","50","2.25"
"001390","KG케미칼 ","6480","60","0.93","598","10.84","7252","0.89","200","3.09"
"060720","KH바텍 ","37650","4750","14.44","1799","20.93","10550","3.57","0","0.00"
"050120","KJ온라인 ","6140","-350","-5.39","8","767.50","1792","3.43","0","0.00"
"030200","KT ","40600","-250","-0.61","5957","6.82","35332","1.15","3000","7.39"
"033780","KT&G ","45800","750","1.66","3183","14.39","21676","2.11","1600","3.49"
"030210","KTB네트워크 ","6450","510","8.59",,,"5021","1.28","0","0.00"
"032390","KTF ","24300","-350","-1.42","1545","15.73","17555","1.38","550","2.26"
"036030","KTH ","13300","1700","14.66",,,"4930","2.70","0","0.00"
"060370","KT서브마린 ","7260","-140","-1.89",,,"14267","0.51","0","0.00"
"003550","LG ","30450","-1150","-3.64","2991","10.18","19678","1.55","250","0.82"
"003555","LG(1우) ","21000","-200","-0.94",,,,,"300","1.43"
"016990","LG마이크론 ","66900","1000","1.52","8551","7.82","44714","1.50","0","0.00"
"001120","LG상사 ","22700","-650","-2.78","1196","18.98","9941","2.28","500","2.20"
"068870","LG생명과학 ","52700","3300","6.68","648","81.33","14602","3.61","0","0.00"
"068875","LG생명과학(1우) ","34000","1600","4.94",,,,,"0","0.00"
"051900","LG생활건강 ","55100","100","0.18","2242","24.58","16581","3.32","750","1.36"
"051905","LG생활건강(1우) ","32400","0","0.00",,,,,"800","2.47"
"012990","LG석유화학 ","24650","-550","-2.18","4607","5.35","15534","1.59","1750","7.10"
"066570","LG전자 ","89500","200","0.22","9890","9.05","32175","2.78","1500","1.68"
"066575","LG전자(1우) ","60000","500","0.84",,,,,"1550","2.58"
"032710","LG카드 ","50500","0","0.00",,,,,"0","0.00"
"032640","LG텔레콤 ","6970","330","4.97","82","85.00","3553","1.96","0","0.00"
"034220","LG필립스LCD ","43700","750","1.75","5420","8.06","17745","2.46","0","0.00"
"002550","LG화재 ","20100","-50","-0.25","833","24.13","7087","2.84","250","1.24"
"051910","LG화학 ","57500","500","0.88","7341","7.83","30060","1.91","1500","2.61"
"051915","LG화학(1우) ","40700","700","1.75",,,,,"1550","3.81"
"010120","LS산전 ","27900","100","0.36","2816","9.91","7234","3.86","500","1.79"
"006260","LS전선 ","33400","-1300","-3.75","4114","8.12","38180","0.87","1000","2.99"
"068150","MCS로직 ","3600","115","3.30",,,"3519","1.02","0","0.00"
"076170","MK픽처스 ","1725","45","2.68","19","90.79","583","2.96","0","0.00"
"035420","NHN ","274400","4400","1.63","3535","77.62","15731","17.44","0","0.00"
"008260","NI테크 ","1055","5","0.48","244","4.32","1086","0.97","40","3.79"
"005490","POSCO ","201500","-500","-0.25","47301","4.26","200113","1.01","8000","3.97"
"036530","S&TC ","28200","250","0.89","2193","12.86","14869","1.90","250","0.89"
"003570","S&T중공업 ","1510","10","0.67","162","9.32","1409","1.07","25","1.66"
