종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2400","75","3.23","2340","2425","2335","184638","440403720","111051631200","46271513"
"095570","AJ네트웍스","KOSPI",,"7310","450","6.56","6960","7340","6950","201410","1461855580","342270976450","46822295"
"006840","AK홀딩스","KOSPI",,"13250","650","5.16","12700","13550","12700","24197","318336550","175530183250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","9530","280","3.03","9320","9530","9310","29575","277556760","194356926130","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","17350","350","2.06","17200","17450","16900","45895","788845800","265132654350","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","8900","40","0.45","9060","9100","8790","87902","785744770","134232505600","15082304"
"027410","BGF","KOSPI",,"3225","30","0.94","3205","3265","3185","88930","286105100","308686650975","95716791"
"282330","BGF리테일","KOSPI",,"176000","3000","1.73","174500","176000","172500","28881","5049297500","3041967456000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"6470","100","1.57","6450","6480","6380","1162843","7479175790","2108801041620","325935246"
"001460","BYC","KOSPI",,"368500","3500","0.96","384500","384500","362000","199","73360000","230170627500","624615"
"001465","BYC우","KOSPI",,"139000","-2000","-1.42","141500","141500","138500","206","28650500","29938515000","215385"
"013720","CBI","KOSDAQ","벤처기업부","347","11","3.27","348","365","340","8580717","3006413950","93808218042","270340686"
"001040","CJ","KOSPI",,"72100","1100","1.55","71600","72600","71200","27217","1961183500","2103661555800","29176998"
"079160","CJ CGV","KOSPI",,"13900","150","1.09","13950","14100","13700","147076","2045177100","663181968700","47710933"
"035760","CJ ENM","KOSDAQ","우량기업부","79700","2100","2.71","78700","79700","77800","69991","5529558300","1747753573800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","26550","150","0.57","26400","26900","26150","2615","69261550","156078741600","5878672"
