종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2795","-25","-0.89","32","87.34","768","3.64","0","0.00"
"095570","AJ네트웍스 ","5050","80","1.61","1124","4.49","7231","0.70","100","1.98"
"068400","AJ렌터카 ","11800","0","0.00","172","68.60","11150","1.06","0","0.00"
"006840","AK홀딩스 ","34850","250","0.72","8224","4.24","63797","0.55","750","2.15"
"054620","APS홀딩스 ","10400","200","1.96","64","162.50","11083","0.94","0","0.00"
"265520","AP시스템 ","34450","850","2.53","1812","19.01","6964","4.95","150","0.44"
"211270","AP위성 ","6970","-60","-0.85",,,"5428","1.28","0","0.00"
"027410","BGF ","5500","-100","-1.79","575","9.57","15719","0.35","35","0.64"
"282330","BGF리테일 ","168500","-1000","-0.59","8925","18.88","30182","5.58","2680","1.59"
"138930","BNK금융지주 ","7470","-190","-2.48","1475","5.06","23400","0.32","300","4.02"
"001460","BYC ","236500","0","0.00","10891","21.72","485043","0.49","1000","0.42"
"001465","BYC우 ","124000","0","0.00",,,,,"1050","0.85"
"001040","CJ ","93800","-2800","-2.90","9180","10.22","121743","0.77","1450","1.55"
"079160","CJ CGV ","34400","-150","-0.43",,,"5284","6.51","200","0.58"
"035760","CJ ENM ","155600","-4000","-2.51","12661","12.29","126022","1.23","1200","0.77"
"00104K","CJ4우(전환) ","70600","-1800","-2.49",,,,,"0","0.00"
"000120","CJ대한통운 ","152500","-2500","-1.61","1996","76.40","116702","1.31","0","0.00"
"011150","CJ씨푸드 ","2735","40","1.48","60","45.58","1710","1.60","0","0.00"
"011155","CJ씨푸드1우 ","31150","-50","-0.16",,,,,"0","0.00"
"001045","CJ우 ","45550","-700","-1.51",,,,,"1500","3.29"
"097950","CJ제일제당 ","245000","-7500","-2.97","55416","4.42","291963","0.84","3500","1.43"
"097955","CJ제일제당 우 ","107500","-1500","-1.38",,,,,"3550","3.30"
"051500","CJ프레시웨이 ","27800","-850","-2.97","1154","24.09","16496","1.69","200","0.72"
