종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","1880","35","1.90","1860","1880","1830","157321","291846100","78911379440","41974138"
"095570","AJ네트웍스","KOSPI",,"6970","0","0.00","6980","6990","6850","60294","417947300","326351396150","46822295"
"068400","AJ렌터카","KOSPI",,"10200","290","2.93","10000","10200","9860","320313","3220237770","225892260000","22146300"
"006840","AK홀딩스","KOSPI",,"73600","5100","7.45","69000","73700","68500","98291","7047020500","975020489600","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","7620","110","1.46","7510","7650","7390","67072","505916960","90913671360","11930928"
"265520","AP시스템","KOSDAQ","중견기업부","35350","250","0.71","34950","35450","34450","86602","3033400450","483553816550","13679033"
"211270","AP위성","KOSDAQ","중견기업부","8390","-140","-1.64","8530","8610","8390","59333","504884370","125974205560","15014804"
"027410","BGF","KOSPI",,"15500","250","1.64","15450","15700","15150","763156","11783046100","500087644500","32263719"
"282330","BGF리테일","KOSPI",,"210500","500","0.24","212500","212500","208500","43076","9043093762","3638262213000","17283906"
"138930","BNK금융지주","KOSPI",,"9430","10","0.11","9420","9450","9320","410104","3848696250","3073569369780","325935246"
"001460","BYC","KOSPI",,"304000","-2000","-0.65","306000","306000","303000","213","64854000","189882960000","624615"
"001465","BYC우","KOSPI",,"152000","-500","-0.33","151500","152500","151500","22","3348000","32738520000","215385"
"032040","C&S자산관리","KOSDAQ","관리종목(소속부없음)","4375","0","0.00","0","0","0","0","0","31816706250","7272390"
"001040","CJ","KOSPI",,"176500","-5000","-2.75","181500","182000","176000","114085","20238176000","5149740147000","29176998"
"079160","CJ CGV","KOSPI",,"75600","1400","1.89","75700","76800","75300","159999","12137989200","1599795262800","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","96100","-1600","-1.64","98200","99300","95800","289638","28110019500","3722153752900","38732089"
"000120","CJ대한통운","KOSPI",,"144000","4000","2.86","140500","145000","140500","48837","7031094000","3284977536000","22812344"
"011150","CJ씨푸드","KOSPI",,"2890","15","0.52","2960","2965","2875","138318","403603770","103839933970","35930773"
"011155","CJ씨푸드1우","KOSPI",,"26450","300","1.15","26300","26800","26200","2037","53748350","5290000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","224800","-6200","-2.68","230900","230900","224500","42462","9582822000","1397248446400","6215518"
"001045","CJ우","KOSPI",,"75800","-1300","-1.69","77600","77600","75500","2522","191448600","171324903400","2260223"
"097950","CJ제일제당","KOSPI",,"371500","5500","1.50","367500","372500","364500","37993","13988683000","4895161882000","13176748"
"097955","CJ제일제당 우","KOSPI",,"153500","3000","1.99","151500","153500","150500","5572","846336500","203760965500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","38500","-1300","-3.27","39800","40000","38500","43490","1693941550","457056061000","11871586"
"037560","CJ헬로","KOSPI",,"7110","10","0.14","7090","7130","7030","115836","821502760","550647210150","77446865"
"058820","CMG제약","KOSDAQ","벤처기업부","7580","1340","21.47","6470","7780","6360","37527979","270124910280","825365309520","108887244"
"023460","CNH","KOSDAQ","중견기업부","1315","0","0.00","1310","1355","1295","46881","61321690","48918000000","37200000"
"065770","CS","KOSDAQ","투자주의환기종목(소속부없음)","1900","95","5.26","1800","1930","1770","175433","328260165","35786785000","18835150"
"083660","CSA 코스믹","KOSDAQ","중견기업부","3800","15","0.40","3820","3825","3720","74527","280690785","75041035800","19747641"
"000590","CS홀딩스","KOSPI",,"80100","-100","-0.12","79900","80200","78900","139","11106100","92474008200","1154482"
"012030","DB","KOSPI",,"697","39","5.93","660","723","657","837682","577725414","129597282571","185935843"
"016610","DB금융투자","KOSPI",,"4030","25","0.62","4010","4030","3950","71321","284932525","171058947670","42446389"
"045890","DB라이텍","KOSDAQ","중견기업부","1955","20","1.03","1945","1980","1930","182539","357067995","51524056280","26355016"
"005830","DB손해보험","KOSPI",,"70300","-900","-1.26","71300","72200","69600","67540","4755446000","4977240000000","70800000"
"000990","DB하이텍","KOSPI",,"11850","-150","-1.25","12200","12200","11850","209041","2502331700","525758809200","44367832"
"000995","DB하이텍1우","KOSPI",,"34700","550","1.61","34500","34800","33300","65","2208600","3897365200","112316"
"139130","DGB금융지주","KOSPI",,"10500","-50","-0.47","10550","10650","10400","208286","2180141900","1776031246500","169145833"
"068790","DMS","KOSDAQ","우량기업부","6730","10","0.15","6780","6790","6620","139732","936321980","154369287510","22937487"
"004840","DRB동일","KOSPI",,"7850","-10","-0.13","7870","7870","7710","6301","48973330","149150000000","19000000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","5610","230","4.28","5470","5690","5380","883765","4922807660","98175000000","17500000"
"155660","DSR","KOSPI",,"5240","70","1.35","5220","5260","5140","43276","225938330","83840000000","16000000"
"069730","DSR제강","KOSPI",,"5390","150","2.86","5330","5400","5220","196888","1048881030","77616000000","14400000"
"017940","E1","KOSPI",,"56200","-700","-1.23","56800","56900","55800","3597","202445900","385532000000","6860000"
"037370","EG","KOSDAQ","중견기업부","11250","200","1.81","11050","11250","10800","113899","1260568250","84375000000","7500000"
"079190","EMW","KOSDAQ","중견기업부","3250","195","6.38","3130","3280","3090","1903646","6058661300","98388371250","30273345"
"007700","F&F","KOSPI",,"42200","250","0.60","42300","43250","41450","66147","2796830000","649880000000","15400000"
