종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"037730","3R ","480","0","0.00",,,,,"0","0.00"
"060310","3S ","365","5","1.39","14","26.07",,,"0","0.00"
"036360","3SOFT ","1335","140","11.72",,,,,"0","0.00"
"005760","ACTS ","345","0","0.00",,,"485","0.71","0","0.00"
"039790","AMIC ","875","-10","-1.13",,,,,"0","0.00"
"015670","AP우주통신 ","740","-125","-14.45",,,"164","4.51","0","0.00"
"015675","AP우주통신(1우B) ","815","-40","-4.68",,,,,"0","0.00"
"036820","BET ","730","-5","-0.68",,,,,"0","0.00"
"036825","BET우 ","635","-50","-7.30",,,,,"0","0.00"
"004560","BNG스틸 ","8950","-50","-0.56","1965","4.55","6192","1.45","0","0.00"
"004565","BNG스틸(1우) ","4180","0","0.00",,,,,"0","0.00"
"001460","BYC ","39600","-300","-0.75","12348","3.21","230322","0.17","550","1.39"
"001465","BYC(1우) ","20950","0","0.00",,,,,"650","3.10"
"045260","CHK한강 ","650","0","0.00",,,,,"0","0.00"
"001040","CJ ","62600","500","0.81","3902","16.04","45764","1.37","1250","2.00"
"001045","CJ(1우) ","24300","0","0.00",,,,,"1300","5.35"
"001047","CJ(2우B) ","43500","-250","-0.57",,,,,"1250","2.87"
"001049","CJ(3우B) ","41650","-150","-0.36",,,,,"1250","3.00"
"049370","CJ엔터테인 ","19400","-400","-2.02","443","43.79",,,"0","0.00"
"051500","CJ푸드시스템 ","5890","40","0.68","1236","4.77",,,"0","0.00"
"035760","CJ홈쇼핑 ","52300","-500","-0.95","5571","9.39",,,"0","0.00"
"004530","CKF ","3095","25","0.81","16083","0.19","8680","0.36","0","0.00"
"050470","CMS ","425","10","2.41",,,,,"0","0.00"
"023460","CNH캐피탈 ","1860","70","3.91","82","22.68",,,"0","0.00"
"065340","DM테크놀로지 ","2550","5","0.20","1145","2.23",,,"0","0.00"
"069730","DSR제강 ","570","15","2.70","272","2.10","1928","0.30","0","0.00"
"014820","EASTEL ","1700","20","1.19",,,"797","2.13","0","0.00"
"014825","EASTEL(1우) ","985","25","2.60",,,,,"0","0.00"
"014827","EASTEL(2우B) ","2145","0","0.00",,,,,"0","0.00"
"037370","EG ","3315","75","2.31","107","30.98",,,"0","0.00"
"007700","F&F ","2870","25","0.88","795","3.61","4635","0.62","100","3.48"
"001370","FnC코오롱 ","10400","250","2.46","2754","3.78","11432","0.91","750","7.21"
"001375","FnC코오롱(1우) ","5700","-90","-1.55",,,,,"800","14.04"
"053870","GT&T ","875","20","2.34",,,,,"0","0.00"
"060910","I.S하이텍 ","1510","45","3.07","334","4.52",,,"0","0.00"
