종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"037730","3R ","16700","0","0.00","988","16.90",,,"0","0.00"
"036360","3SOFT ","2610","40","1.56","164","15.91",,,"0","0.00"
"005760","ACTS ","1160","150","14.85",,,,,"0","0.00"
"001460","BYC ","64000","6700","11.69","25683","2.49",,,"500","0.78"
"001465","BYC(1우) ","32200","-1200","-3.59",,,,,"550","1.71"
"019430","CBF기술투자 ","570","10","1.79","28","20.36",,,"0","0.00"
"035760","CJ39쇼핑 ","38650","2700","7.51","1304","29.64",,,"0","0.00"
"051500","CJ푸드시스템 ","9380","230","2.51","1914","4.90",,,"0","0.00"
"014820","EASTEL ","3150","120","3.96","689","4.57",,,"125","3.97"
"014825","EASTEL(1우) ","1710","50","3.01",,,,,"130","7.60"
"014827","EASTEL(2우B) ","7000","100","1.45",,,,,"75","1.07"
"037370","EG ","3890","10","0.26","612","6.36",,,"0","0.00"
"001370","FNC코오롱 ","7320","520","7.65",,,,,"0","0.00"
"001375","FNC코오롱(1우) ","4545","590","14.92",,,,,"0","0.00"
"014040","GPS ","2820","-5","-0.18",,,,,"0","0.00"
"014045","GPS(1우B) ","6000","400","7.14",,,,,"0","0.00"
"053870","GT&T ","4140","80","1.97","506","8.18",,,"0","0.00"
"004020","INI스틸 ","4010","60","1.52","706","5.68",,,"100","2.49"
"004025","INI스틸(1우B) ","3370","-80","-2.32",,,,,"0","0.00"
"017300","KDS ","560","40","7.69","209","2.68",,,"30","5.36"
"006200","KEC ","25200","700","2.86","4601","5.48",,,"750","2.98"
"046810","KEPS ","2290","-10","-0.43","359","6.38",,,"0","0.00"
"008480","KEP전자 ","3045","395","14.91","235","12.96",,,"0","0.00"
"008485","KEP전자(1우B) ","2880","375","14.97",,,,,"0","0.00"
"018590","KNC ","1330","170","14.66","22","60.45",,,"10","0.75"
"030210","KTB네트워크 ","4385","185","4.40","3113","1.41",,,"600","13.68"
"032390","KTF ","43700","900","2.10","813","53.75",,,"0","0.00"
"003550","LGCI ","8130","-70","-0.85","18806","0.43",,,"750","9.23"
"003555","LGCI(1우) ","5600","-10","-0.18",,,,,"800","14.29"
"017940","LG가스 ","13600","-150","-1.09","2463","5.52",,,"1250","9.19"
"006360","LG건설 ","14400","300","2.13","2457","5.86",,,"600","4.17"
"016990","LG마이크론 ","15000","-300","-1.96","3677","4.08",,,"0","0.00"
"010120","LG산전 ","1990","30","1.53",,,,,"0","0.00"
"001120","LG상사 ","3850","-80","-2.04","546","7.05",,,"400","10.39"
"051900","LG생활건강 ","29500","600","2.08",,,,,"0","0.00"
"051905","LG생활건강(1우) ","13200","-300","-2.22",,,,,"0","0.00"
"012990","LG석유화학 ","8830","-100","-1.12","1639","5.39",,,"750","8.49"
"035000","LG애드 ","15550","550","3.67","1760","8.84",,,"200","1.29"
"006260","LG전선 ","14550","150","1.04","2739","5.31",,,"750","5.15"
"002610","LG전자 ","25900","1100","4.44","4431","5.85",,,"1000","3.86"
"002615","LG전자(1우) ","12500","-100","-0.79",,,,,"1050","8.40"
"032640","LG텔레콤 ","8400","160","1.94",,,,,"0","0.00"
"005940","LG투자증권 ","15700","800","5.37",,,,,"0","0.00"
"005945","LG투자증권(1우) ","8460","280","3.42",,,,,"0","0.00"
"028150","LG홈쇼핑 ","83600","5000","6.36","4027","20.76",,,"0","0.00"
"002550","LG화재 ","4340","140","3.33",,,,,"0","0.00"
"051910","LG화학 ","22000","250","1.15",,,,,"0","0.00"
"051915","LG화학(1우) ","10100","-900","-8.18",,,,,"0","0.00"
"026260","M플러스텍 ","980","50","5.38",,,,,"0","0.00"
"008260","NI테크 ","5140","20","0.39",,,,,"0","0.00"
"007700","NSF ","3190","-20","-0.62","1452","2.20",,,"100","3.13"
"010950","S-Oil ","22050","150","0.68","58","380.17",,,"2500","11.34"
"010955","S-Oil(1우) ","18000","0","0.00",,,,,"2550","14.17"
"034120","SBS ","42200","700","1.69","2724","15.49",,,"0","0.00"
"009160","SIMPAC ","5210","-50","-0.95","642","8.12",,,"0","0.00"
"025530","SJM ","4075","-125","-2.98","502","8.12",,,"125","3.07"
"003600","SK ","14900","-50","-0.33","1228","12.13",,,"600","4.03"
