종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ",,"505","50","10.99","460","520","460","11617657","5850957785","15958000000","31600000"
"036360","3SOFT","KOSDAQ",,"13400","500","3.88","12850","13500","12800","401959","5313190250","222258765000","16586475"
"005760","ACTS","KOSPI",,"7250","-230","-3.07","7480","7820","6370","149431","1101968050","41508396000","5725296"
"013340","AJS","KOSDAQ",,"2100","-80","-3.67","2180","2215","2090","310239","664650270","42170242800","20081068"
"039790","AMIC","KOSDAQ",,"1060","30","2.91","1080","1100","1045","2115053","2269659770","33708000000","31800000"
"015670","AP우주통신","KOSPI",,"920","80","9.52","850","940","850","1037590","945127595","31218923040","33933612"
"015675","AP우주통신(1우B)","KOSPI",,"4410","-485","-9.91","4410","4410","4410","10","44100","158191110","35871"
"067130","BH라이프","KOSDAQ",,"1160","10","0.87","1185","1195","1140","732448","855293770","24170570840","20836699"
"004560","BNG스틸","KOSPI",,"6050","0","0.00","5990","6100","5990","27930","168301300","75720656550","12515811"
"004565","BNG스틸(1우)","KOSPI",,"5970","230","4.01","5710","5970","5710","330","1907600","655816440","109852"
"001460","BYC","KOSPI",,"119000","500","0.42","114500","119000","113000","191","22413000","74329185000","624615"
"001465","BYC(1우)","KOSPI",,"51800","-1200","-2.26","51000","53000","48100","550","27895000","11156943000","215385"
"045260","C&S디펜스","KOSDAQ",,"2985","-65","-2.13","3085","3090","2910","452849","1350871140","30412944135","10188591"
"065770","C&S마이크로","KOSDAQ",,"11800","1500","14.56","10850","11800","10750","2246734","26098073800","141600000000","12000000"
"001040","CJ","KOSPI",,"116500","12000","11.48","105500","117000","103500","309204","34459206000","2802317445500","24054227"
"001045","CJ(1우)","KOSPI",,"65500","2200","3.48","63300","67000","62500","36710","2348770000","234991468000","3587656"
"001047","CJ(2우B)","KOSPI",,"89000","5000","5.95","88500","89500","84000","8600","745652000","134615081000","1512529"
"001049","CJ(3우B)","KOSPI",,"86000","3300","3.99","84300","88500","82700","3290","279833000","72782316000","846306"
"079160","CJCGV","KOSPI",,"29550","-200","-0.67","29800","29800","29200","100344","2962840100","609180578400","20615248"
"049370","CJ엔터테인","KOSDAQ",,"21000","1000","5.00","20200","21350","20150","204364","4253440650","374314773000","17824513"
"037150","CJ인터넷","KOSDAQ",,"20000","2600","14.94","17600","20000","17100","2208890","42423583650","444877940000","22243897"
"051500","CJ푸드시스템","KOSDAQ",,"9050","50","0.56","9080","9100","8810","16172","146084310","84879045000","9378900"
"035760","CJ홈쇼핑","KOSDAQ",,"130900","6500","5.23","127000","130900","124900","49713","6377440100","1149494946600","8781474"
"004530","CKF","KOSPI",,"15400","0","0.00","15250","15700","15100","23190","357522000","36906300200","2396513"
"050470","CMS","KOSDAQ",,"2100","270","14.75","1900","2100","1880","5037680","10159699335","48803313300","23239673"
"023460","CNH캐피탈","KOSDAQ",,"1890","35","1.89","1850","1920","1850","90012","170042970","70308000000","37200000"
"052350","CURON","KOSDAQ",,"4930","320","6.94","4745","4980","4620","659080","3191004290","76890197770","15596389"
"065340","DM테크놀로지","KOSDAQ",,"2410","-30","-1.23","2405","2480","2350","78935","190237245","13496000000","5600000"
"069730","DSR제강","KOSPI",,"1580","10","0.64","1545","1615","1545","379458","600241630","22752000000","14400000"
"017940","E1","KOSPI",,"41400","-300","-0.72","41700","41700","40700","3360","138174500","284004000000","6860000"
"047940","EBT네트웍스","KOSDAQ",,"920","-160","-14.81","1030","1055","920","13005490","12499842700","62666628920","68115901"
"037370","EG","KOSDAQ",,"6170","150","2.49","6020","6200","6020","31636","193571700","27765000000","4500000"
"080220","EMLSI","KOSDAQ",,"18500","450","2.49","18200","18600","18000","193711","3549825200","150102266000","8113636"
"079190","EMW안테나","KOSDAQ",,"26800","2850","11.90","24600","26800","24500","524463","13539999450","157423200000","5874000"
"007700","F&F","KOSPI",,"5250","-170","-3.14","5420","5440","5250","71598","381927600","80850000000","15400000"
"001370","FnC코오롱","KOSPI",,"9680","-1270","-11.60","10950","11000","9600","254942","2531891220","116194848000","12003600"
"001375","FnC코오롱(1우)","KOSPI",,"4900","-660","-11.87","5300","5300","4900","14940","75193650","3550623300","724617"
"078930","GS","KOSPI",,"23550","0","0.00","23650","23700","23400","373049","8772671500","2188157151900","92915378"
"078935","GS(1우)","KOSPI",,"19000","-100","-0.52","19000","19100","18900","6280","119344000","33911694000","1784826"
"006360","GS건설","KOSPI",,"52000","-1000","-1.89","52000","52200","51200","78812","4084950000","2652000000000","51000000"
"028150","GS홈쇼핑","KOSDAQ",,"132300","3300","2.56","133800","133800","129900","7927","1047827100","868218750000","6562500"
"053870","GT&T","KOSDAQ",,"3285","425","14.86","3010","3285","3000","525021","1712848905","26280000000","8000000"
"035000","GⅡR","KOSPI",,"18250","150","0.83","18100","18250","17850","10030","181563000","214855425000","11772900"
"007640","HK저축은행","KOSDAQ",,"3600","35","0.98","3500","3650","3500","28279","101594440","75024255600","20840071"
"025340","HS창투","KOSDAQ",,"400","5","1.27","395","405","380","2051773","804593245","15228363600","38070909"
"007720","HS홀딩스","KOSDAQ",,"5400","220","4.25","5300","5650","5200","1508645","8200671500","181306371600","33575254"
"060910","I.S하이텍","KOSDAQ",,"1800","-10","-0.55","1785","1870","1770","149092","267028515","19958400000","11088000"
"038710","ICM","KOSDAQ",,"5000","-80","-1.57","5260","5400","4820","66322","337510635","16076545000","3215309"
"080570","IC코퍼레이션","KOSDAQ",,"360","10","2.86","350","365","350","4748537","1689233475","48848706000","135690850"
"003560","IHQ","KOSPI",,"9720","500","5.42","9150","10100","9150","626374","6069042280","360356490360","37073713"
"004020","INI스틸","KOSPI",,"21350","400","1.91","21400","21650","20650","949352","20175295200","1951345570650","91397919"
"004025","INI스틸(1우B)","KOSPI",,"17500","400","2.34","17000","17500","17000","3600","62938000","7289730000","416556"
"002380","KCC","KOSPI",,"205500","-4500","-2.14","211000","211000","202500","29473","6053949500","2161860000000","10520000"
"021320","KCC건설","KOSDAQ",,"27300","-850","-3.02","28750","28750","27300","11876","326898800","158340000000","5800000"
"036670","KCI","KOSDAQ",,"5720","-40","-0.69","5920","6180","5720","222291","1321956530","36036000000","6300000"
"009070","KCTC","KOSPI",,"127500","2500","2.00","135000","135000","122000","206","25523000","51000000000","400000"
"068060","KCW","KOSDAQ",,"2610","80","3.16","2585","2630","2520","16078","41398975","14198400000","5440000"
"054020","KDN스마텍","KOSDAQ",,"1260","40","3.28","1250","1285","1235","1549716","1953269795","31800488580","25238483"
"017300","KDS","KOSPI",,"1600","45","2.89","1590","1610","1530","281696","447075630","16778832000","10486770"
"006200","KEC","KOSPI",,"2225","5","0.23","2220","2320","2210","692080","1565462500","179219233250","80547970"
"001390","KG케미칼","KOSPI",,"6480","60","0.93","6390","6490","6230","125950","805201400","69336000000","10700000"
"060720","KH바텍","KOSDAQ",,"37650","4750","14.44","33550","37800","32900","184161","6690769700","301200000000","8000000"
"050120","KJ온라인","KOSDAQ",,"6140","-350","-5.39","5520","6820","5520","868708","5214947580","62095717260","10113309"
"030200","KT","KOSPI",,"40600","-250","-0.61","40700","40800","40350","739691","29957193100","11564885640000","284849400"
"033780","KT&G","KOSPI",,"45800","750","1.66","45600","46400","45200","253808","11626280900","7439866362600","162442497"
"030210","KTB네트워크","KOSPI",,"6450","510","8.59","6060","6450","5920","1853419","11555145050","389025893400","60314092"
"032390","KTF","KOSPI",,"24300","-350","-1.42","24450","24550","24150","1010654","24695800350","4472835851700","184067319"
"036030","KTH","KOSDAQ",,"13300","1700","14.66","12000","13300","11800","619728","8002855100","458850000000","34500000"
"060370","KT서브마린","KOSDAQ",,"7260","-140","-1.89","7400","7700","7250","12188","89610040","31798800000","4380000"
"003550","LG","KOSPI",,"30450","-1150","-3.64","31500","31600","26900","1152230","35175258000","5254364638950","172557131"
"003555","LG(1우)","KOSPI",,"21000","-200","-0.94","21500","21500","20500","11150","231259000","69608217000","3314677"
"016990","LG마이크론","KOSDAQ",,"66900","1000","1.52","65800","66900","64300","54510","3597781800","501750000000","7500000"
"001120","LG상사","KOSPI",,"22700","-650","-2.78","23100","23550","22200","597570","13715242500","1543600000000","68000000"
"068870","LG생명과학","KOSPI",,"52700","3300","6.68","50600","53000","49700","196264","10132229300","873607373000","16576990"
"068875","LG생명과학(1우)","KOSPI",,"34000","1600","4.94","32400","34000","32400","2040","68536000","8031344000","236216"
"051900","LG생활건강","KOSPI",,"55100","100","0.18","54700","56000","54500","32691","1808242100","860562654700","15618197"
"051905","LG생활건강(1우)","KOSPI",,"32400","0","0.00","31200","32800","31200","200","6471500","68030182800","2099697"
"012990","LG석유화학","KOSPI",,"24650","-550","-2.18","25100","25200","24600","468320","11595636000","1114180000000","45200000"
"066570","LG전자","KOSPI",,"89500","200","0.22","90100","90300","87600","817378","72680199080","12782832577500","142824945"
"066575","LG전자(1우)","KOSPI",,"60000","500","0.84","59800","60000","58700","36104","2143331000","1031159520000","17185992"
"032710","LG카드","KOSPI",,"50500","0","0.00","51100","52100","50200","232347","11890538500","6331154851500","125369403"
"032640","LG텔레콤","KOSDAQ",,"6970","330","4.97","6920","7090","6800","4366745","30274868770","1932630657100","277278430"
"034220","LG필립스LCD","KOSPI",,"43700","750","1.75","42900","44050","42350","1240406","53965321950","15636546090000","357815700"
"002550","LG화재","KOSPI",,"20100","-50","-0.25","20350","20550","19600","793968","15861575800","1206000000000","60000000"
"051910","LG화학","KOSPI",,"57500","500","0.88","56300","57500","56000","132523","7522232500","3704441180000","64425064"
"051915","LG화학(1우)","KOSPI",,"40700","700","1.75","39350","40700","39350","12230","490308000","352512915700","8661251"
"010120","LS산전","KOSPI",,"27900","100","0.36","28150","28550","27800","214680","6052197000","837000000000","30000000"
"006260","LS전선","KOSPI",,"33400","-1300","-3.75","34100","34100","33300","99233","3326861700","1075480000000","32200000"
"068150","MCS로직","KOSDAQ",,"3600","115","3.30","3545","3670","3470","27949","100241805","15120000000","4200000"
"076170","MK픽처스","KOSPI",,"1725","45","2.68","1690","1750","1675","1847232","3176979695","76878057750","44566990"
"035420","NHN","KOSDAQ",,"274400","4400","1.63","271800","276600","269000","102615","28080042100","4253418422400","15500796"
"008260","NI테크","KOSPI",,"1055","5","0.48","1050","1070","1045","217070","228390700","29990326750","28426850"
"005490","POSCO","KOSPI",,"201500","-500","-0.25","201000","201500","199000","373507","75186535000","17568147252500","87186835"
"036530","S&TC","KOSPI",,"28200","250","0.89","28100","28350","27200","33497","934598900","211500000000","7500000"
"003570","S&T중공업","KOSPI",,"1510","10","0.67","1500","1520","1495","896060","1349702500","243604633720","161327572"
"010950","S-Oil","KOSPI",,"70000","-600","-0.85","69600","70400","69500","211320","14796963900","7880795440000","112582792"
"010955","S-Oil(1우)","KOSPI",,"58000","-700","-1.19","57200","58700","57100","5510","317216000","233271766000","4021927"
"034120","SBS","KOSPI",,"65000","-1800","-2.69","66200","66700","64600","52086","3403151000","1694882605000","26075117"
"046140","SBSi","KOSDAQ",,"22350","1350","6.43","20500","22350","20450","589524","12679573700","251849477550","11268433"
"002360","SH케미칼","KOSPI",,"2845","20","0.71","2825","2845","2775","16150","44983700","25875448545","9095061"
"002365","SH케미칼(1우)","KOSPI",,"77200","0","0.00","0","0","0","0","0","48018400","622"
"009160","SIMPAC","KOSPI",,"1645","130","8.58","1515","1670","1515","342685","549496775","42770000000","26000000"
"025530","SJM","KOSPI",,"5700","160","2.89","5550","5710","5480","216970","1210077100","101569103700","17819141"
"003600","SK","KOSPI",,"52400","300","0.58","52100","52900","52000","608605","31948438300","6742576392800","128675122"
"003605","SK(1우)","KOSPI",,"44200","-200","-0.45","44400","44400","44200","2500","110573500","77718893200","1758346"
"011790","SKC","KOSPI",,"12250","300","2.51","12000","12250","11750","332689","3991242750","402957355500","32894478"
"018670","SK가스","KOSPI",,"38200","750","2.00","37800","38200","37300","7501","282960200","329615003000","8628665"
"001740","SK네트웍스","KOSPI",,"15500","0","0.00","15600","15600","15300","39006","602659500","3675405337500","237122925"
"001745","SK네트웍스(1우)","KOSPI",,"14250","400","2.89","13650","14250","13650","410","5602500","1619484000","113648"
"001510","SK증권","KOSPI",,"1575","20","1.29","1580","1590","1535","16113347","25281712215","504184544325","320117171"
"001515","SK증권(1우)","KOSPI",,"2070","20","0.98","2070","2075","2020","175689","358465630","8098903980","3912514"
"006120","SK케미칼","KOSPI",,"29600","1400","4.96","28200","29700","28000","265210","7745231000","525563895200","17755537"
"006125","SK케미칼(1우)","KOSPI",,"14450","1050","7.84","13400","14500","13200","37640","529153500","38827453450","2687021"
"017670","SK텔레콤","KOSPI",,"180000","-1000","-0.55","180500","181500","179000","204627","36839245500","14809807980000","82276711"
"021880","SLS캐피탈","KOSDAQ",,"3275","55","1.71","3205","3380","3205","27273","89206045","27179280675","8299017"
"007050","SNG21","KOSPI",,"19200","-700","-3.52","20300","20300","17650","4250","78706000","11286470400","587837"
"051980","SNH","KOSDAQ",,"4405","355","8.77","4050","4430","4050","884363","3824982830","72810667880","16529096"
"071660","SSCP","KOSDAQ",,"14650","150","1.03","14800","14850","14250","347415","5075165200","225610000000","15400000"
"036540","STS반도체","KOSDAQ",,"11800","-200","-1.67","12100","12100","11600","243430","2876218200","172247160600","14597217"
"011810","STX","KOSPI",,"12200","0","0.00","11900","12350","11850","148907","1788209400","335819078800","27526154"
"077970","STX엔진","KOSPI",,"17100","1250","7.89","15800","17100","15100","292563","4722181100","490373844300","28676833"
"067250","STX조선","KOSPI",,"17850","-400","-2.19","18350","18650","17700","133203","2395409050","533253952350","29874171"
"032540","TJ미디어","KOSDAQ",,"6960","160","2.35","7000","7000","6800","21093","145743270","88216608000","12674800"
"048770","TPC","KOSDAQ",,"2350","20","0.86","2295","2450","2295","14402","34422290","10105000000","4300000"
"048760","VK","KOSDAQ",,"1480","80","5.71","1455","1550","1435","7250784","10851070695","67767074720","45788564"
"024070","WISCOM","KOSPI",,"4740","85","1.83","4710","4740","4600","24140","112493400","71222860800","15025920"
"057030","YBM시사닷컴","KOSDAQ",,"22200","600","2.78","21850","22550","21400","50582","1113253300","226440000000","10200000"
"040300","YTN","KOSDAQ",,"4495","315","7.54","4350","4495","4255","1416424","6226924435","188790000000","42000000"
"052220","iMBC","KOSDAQ",,"8300","450","5.73","7860","8340","7860","333254","2704024500","190900000000","23000000"
"054150","가드텍","KOSDAQ",,"725","-35","-4.61","760","775","700","1572034","1138601735","16125109975","22241531"
"040610","가로수닷컴","KOSDAQ",,"1265","0","0.00","1295","1310","1260","539082","687803560","36334326820","28722788"
"079940","가비아","KOSDAQ",,"12050","150","1.26","11950","12550","11900","204309","2494103350","35125750000","2915000"
"078890","가온미디어","KOSDAQ",,"13750","650","4.96","13550","13750","13150","237853","3219309000","100765087500","7328370"
"000500","가온전선","KOSPI",,"16700","-600","-3.47","17200","17200","16700","3460","58523000","65130000000","3900000"
"030270","가희","KOSDAQ",,"13900","900","6.92","13100","13900","12900","12123","161137200","11008800000","792000"
"035250","강원랜드","KOSPI",,"20100","-450","-2.19","20300","20350","19950","679727","13717284700","4300204050000","213940500"
