종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069110","3H","KOSDAQ",,"510","15","3.03","490","510","490","2161","1079870","4559961000","8941100"
"060310","3S","KOSDAQ",,"530","0","0.00","530","535","515","44702","23385410","12880690700","24303190"
"036360","3SOFT","KOSDAQ",,"910","-20","-2.15","920","930","890","475375","435106120","39906042540","43852794"
"900010","3노드디지탈","KOSDAQ",,"1180","30","2.61","1185","1195","1155","231391","272758790","47200000000","40000000"
"013340","AJS","KOSDAQ",,"855","20","2.40","850","860","835","32736","27777550","18234353295","21326729"
"031860","A모션","KOSDAQ",,"470","25","5.62","445","475","445","295924","136767545","11882701210","25282343"
"003990","BHK","KOSPI",,"115","-15","-11.54","115","115","115","413832","47831685","5665431645","49264623"
"004560","BNG스틸","KOSPI",,"4355","230","5.58","4155","4375","4150","32060","137447450","65668221905","15078811"
"004565","BNG스틸우","KOSPI",,"5300","240","4.74","5120","5300","5120","50","259600","582215600","109852"
"048550","BT&I","KOSDAQ",,"1100","30","2.80","1095","1100","1035","3178","3491395","17653161900","16048329"
"001460","BYC","KOSPI",,"133000","-2500","-1.85","133000","133000","133000","50","6650000","83073795000","624615"
"001465","BYC우","KOSPI",,"45500","0","0.00","0","0","0","0","0","9800017500","215385"
"065770","C&S마이크로","KOSDAQ",,"1880","45","2.45","1895","2035","1830","262632","502995315","22560000000","12000000"
"000790","C&상선","KOSPI",,"170","20","13.33","155","170","150","5199753","860650010","33701159210","198242113"
"013200","C&우방","KOSPI",,"300","20","7.14","295","315","280","1508736","454801455","7030535100","23435117"
"084680","C&우방랜드","KOSPI",,"240","25","11.63","220","245","195","5818259","1320270440","7890260400","32876085"
"008400","C&중공업","KOSPI",,"780","45","6.12","725","805","700","2638001","2039366970","15838924920","20306314"
"008405","C&중공업우","KOSPI",,"249500","9500","3.96","270000","270000","209000","19","4626000","926393500","3713"
"001040","CJ","KOSPI",,"37700","-2300","-5.75","39700","40000","37650","183489","6988192100","1038374342200","27543086"
"079160","CJ CGV","KOSPI",,"14900","-300","-1.97","14900","15000","14800","16038","239279700","307167195200","20615248"
"001047","CJ2우B","KOSPI",,"35450","-1550","-4.19","36150","36500","35450","90","3235000","36125003450","1019041"
"001049","CJ3우B","KOSPI",,"32500","-1000","-2.99","32600","34550","32000","1382","44791000","17328122500","533173"
"001045","CJ우","KOSPI",,"15850","1050","7.09","15000","15850","14300","4110","60670000","35824534550","2260223"
"037150","CJ인터넷","KOSDAQ",,"12350","250","2.07","12200","12400","11900","98963","1203910250","281558041700","22798222"
"097950","CJ제일제당","KOSPI",,"175000","-4000","-2.23","179000","180000","173500","65080","11421271500","1973420400000","11276688"
"097957","CJ제일제당 2우B","KOSPI",,"163000","-3500","-2.10","165000","166000","162000","311","50758000","97553055000","598485"
"097959","CJ제일제당 3우B","KOSPI",,"143000","0","0.00","143000","144000","143000","285","40913500","44778019000","313133"
"097955","CJ제일제당 우","KOSPI",,"47500","-450","-0.94","47800","47800","43050","330","15335500","63053067500","1327433"
"051500","CJ프레시웨이","KOSDAQ",,"4495","45","1.01","4570","4570","4450","911","4096180","48393170000","10766000"
"035760","CJ홈쇼핑","KOSDAQ",,"38200","-1100","-2.80","39000","39100","37000","100679","3814270400","420373084200","11004531"
"035710","CL","KOSDAQ",,"205","10","5.13","200","210","190","140707","28488260","8245278555","40220871"
"050470","CMS","KOSDAQ",,"115","0","0.00","0","0","0","0","0","4273049480","37156952"
"023460","CNH캐피탈","KOSDAQ",,"1310","-5","-0.38","1315","1320","1285","29168","37894790","48732000000","37200000"
"064060","CTC","KOSDAQ",,"415","15","3.75","400","425","375","407528","164213535","6800227765","16386091"
"056340","CU전자","KOSDAQ",,"975","-45","-4.41","1020","1020","955","25298","24625915","12712898250","13038870"
"068790","DMS","KOSDAQ",,"6050","50","0.83","6080","6120","6010","24937","150949540","120318909150","19887423"
"065340","DM테크놀로지","KOSDAQ",,"610","50","8.93","575","615","575","342782","203798905","6864274490","11252909"
"069730","DSR제강","KOSPI",,"2290","155","7.26","2185","2440","2105","429804","995535815","32976000000","14400000"
"017940","E1","KOSPI",,"71000","1100","1.57","69300","71300","68800","3068","216219000","487060000000","6860000"
"037370","EG","KOSDAQ",,"11150","850","8.25","10750","11400","10500","110958","1226348950","83625000000","7500000"
"080220","EMLSI","KOSDAQ",,"930","-25","-2.62","955","985","850","10316","9395115","9098837280","9783696"
"079190","EMW안테나","KOSDAQ",,"2215","-25","-1.12","2250","2370","2160","15417","34295040","13889866300","6270820"
"007700","F&F","KOSPI",,"3030","30","1.00","2890","3100","2890","1000","2994200","46662000000","15400000"
