종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ",,"215","10","4.88","200","225","200","1754593","379375955","5805000000","27000000"
"036360","3SOFT","KOSDAQ",,"445","0","0.00","460","460","445","17025","7699375","3893753115","8750007"
"005760","ACTS","KOSPI",,"1680","-10","-0.59","1690","1720","1665","30930","52298950","8093289120","4817434"
"039790","AMIC","KOSDAQ",,"435","-10","-2.25","430","440","420","87730","37535905","11223000000","25800000"
"015670","AP우주통신","KOSPI",,"245","10","4.26","240","250","240","788335","193040825","5413231390","22094822"
"015675","AP우주통신(1우B)","KOSPI",,"310","-20","-6.06","330","330","305","880","282750","111202890","358719"
"036820","BET","KOSDAQ",,"510","10","2.00","465","520","465","7696","3845425","1892451900","3710690"
"036825","BET우","KOSDAQ",,"455","-50","-9.90","455","455","455","5","2275","75833030","166666"
"004560","BNG스틸","KOSPI",,"6080","-210","-3.34","6170","6170","6020","19745","120271000","76096130880","12515811"
"004565","BNG스틸(1우)","KOSPI",,"4000","-450","-10.11","3790","4000","3790","221","856950","439408000","109852"
"001460","BYC","KOSPI",,"45300","-500","-1.09","46050","46100","45000","320","14469500","28295059500","624615"
"001465","BYC(1우)","KOSPI",,"24100","0","0.00","0","0","0","0","0","5190778500","215385"
"065770","C&S마이크로","KOSDAQ",,"1970","210","11.93","1830","1970","1825","2288580","4471200255","19897000000","10100000"
"045260","CHK한강","KOSDAQ",,"450","45","11.11","450","450","450","103141","46413450","12566663100","27925918"
"001040","CJ","KOSPI",,"68800","-2000","-2.82","70100","70300","68500","67705","4680577000","1650850977600","23994927"
"001045","CJ(1우)","KOSPI",,"36300","700","1.97","36400","37500","35550","5050","183336000","130231912800","3587656"
"001047","CJ(2우B)","KOSPI",,"53000","-1400","-2.57","54400","54400","53000","2740","145451000","53134620000","1002540"
"001049","CJ(3우B)","KOSPI",,"53200","-100","-0.19","52500","53200","52500","90","4753000","45023479200","846306"
"079160","CJCGV","KOSPI",,"31250","-750","-2.34","31850","31900","31250","66611","2099263250","644226500000","20615248"
"049370","CJ엔터테인","KOSDAQ",,"17050","550","3.33","16800","17200","16700","188488","3205565100","261989618000","15365960"
"037150","CJ인터넷","KOSDAQ",,"10500","150","1.45","10550","10550","10350","288766","3019460000","231458745000","22043690"
"051500","CJ푸드시스템","KOSDAQ",,"4680","60","1.30","4600","4730","4600","3916","18379230","43893252000","9378900"
"035760","CJ홈쇼핑","KOSDAQ",,"59200","-300","-0.50","59000","59400","58800","29001","1713475000","488037163200","8243871"
"004530","CKF","KOSPI",,"3645","0","0.00","3610","3735","3500","4140","14807250","8735289885","2396513"
"050470","CMS","KOSDAQ",,"480","-25","-4.95","505","505","460","2675","1284840","11155043040","23239673"
"023460","CNH캐피탈","KOSDAQ",,"1000","-20","-1.96","1020","1020","965","1402","1400495","37200000000","37200000"
"065340","DM테크놀로지","KOSDAQ",,"1810","35","1.97","1800","1820","1700","2104","3798410","10136000000","5600000"
