종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","7150","-10","-0.14","42","170.24","753","9.50","0","0.00"
"038120","AD모터스 ","69","0","0.00",,,"197","0.35","0","0.00"
"013340","AJS ","895","4","0.45","55","16.27","1103","0.81","0","0.00"
"068400","AJ렌터카 ","9190","-160","-1.71","897","10.25","6883","1.34","0","0.00"
"006840","AK홀딩스 ","22250","50","0.23","6861","3.24","38797","0.57","750","3.37"
"054620","AP시스템 ","7680","400","5.49","521","14.74","3753","2.05","0","0.00"
"090470","AST젯텍 ","5640","200","3.68","641","8.80","4695","1.20","100","1.77"
"138930","BS금융지주 ","13450","250","1.89","2120","6.34","15281","0.88","350","2.60"
"001460","BYC ","186000","2000","1.09","42935","4.33","367590","0.51","850","0.46"
"001465","BYC우 ","68100","-300","-0.44",,,,,"900","1.32"
"032040","C&S자산관리 ","4530","30","0.67","805","5.63","3730","1.21","300","6.62"
"001040","CJ ","124500","6000","5.06","13147","9.47","97949","1.27","650","0.52"
"079160","CJ CGV ","32250","100","0.31","896","35.99","14832","2.17","300","0.93"
"130960","CJ E&M ","27500","1000","3.77","1765","15.58","30653","0.90","0","0.00"
"000120","CJ대한통운 ","103500","3000","2.99","4858","21.31","96993","1.07","0","0.00"
"011150","CJ씨푸드 ","3015","0","0.00","113","26.68","925","3.26","0","0.00"
"011155","CJ씨푸드1우 ","4970","70","1.43",,,,,"0","0.00"
"035760","CJ오쇼핑 ","273700","-3300","-1.19","18697","14.64","78268","3.50","2000","0.73"
"001045","CJ우 ","26500","850","3.31",,,,,"700","2.64"
"097950","CJ제일제당 ","362000","6500","1.83","21854","16.56","188796","1.92","1800","0.50"
"097955","CJ제일제당 우 ","69700","800","1.16",,,,,"1850","2.65"
"051500","CJ프레시웨이 ","35900","-800","-2.18","1716","20.92","9483","3.79","200","0.56"
"037560","CJ헬로비전 ","13700","-250","-1.79","1314","10.43","10947","1.25","0","0.00"
"023460","CNH ","1295","20","1.57",,,"2635","0.49","50","3.86"
"065770","CS ","4940","500","11.26",,,"2872","1.72","0","0.00"
"159910","CS엘쏠라 ","13850","1800","14.94","793","17.47","1934","7.16","0","0.00"
"000590","CS홀딩스 ","33900","250","0.74","10756","3.15","141010","0.24","0","0.00"
"056340","CU전자 ","562","12","2.18",,,"1117","0.50","0","0.00"
"139130","DGB금융지주 ","14900","350","2.41",,,"17093","0.87","350","2.35"
"068790","DMS ","2930","20","0.69",,,"7942","0.37","0","0.00"
"004840","DRB동일 ","7080","330","4.89","1305","5.43","9973","0.71","30","0.42"
"069730","DSR제강 ","2955","5","0.17","655","4.51","6957","0.42","30","1.02"
"009730","DS제강 ","1235","0","0.00",,,"851","1.45","0","0.00"
"017940","E1 ","69200","0","0.00","10989","6.30","148057","0.47","1500","2.17"
"037370","EG ","43650","3800","9.54","48","909.38","6904","6.32","50","0.11"
"080220","EMLSI ","8630","670","8.42","659","13.10","2521","3.42","0","0.00"
"079190","EMW ","4825","280","6.16",,,"2630","1.83","0","0.00"
"007700","F&F ","6040","120","2.03","1279","4.72","10709","0.56","150","2.48"
"114090","GKL ","29250","600","2.09","1000","29.25","3578","8.17","512","1.75"
"078930","GS ","75000","3000","4.17","8171","9.18","63523","1.18","1350","1.80"
"083450","GST ","4165","5","0.12","469","8.88","3598","1.16","50","1.20"
"006360","GS건설 ","59800","2500","4.36","8563","6.98","73237","0.82","1000","1.67"
"001250","GS글로벌 ","12050","150","1.26",,,"9969","1.21","125","1.04"
"007070","GS리테일 ","29650","-300","-1.00","1213","24.44","18574","1.60","300","1.01"
"078935","GS우 ","22900","250","1.10",,,,,"1400","6.11"
"028150","GS홈쇼핑 ","152900","400","0.26","32164","4.75","92406","1.65","3500","2.29"
"053870","GT&T ","682","-5","-0.73",,,"1222","0.56","0","0.00"
"035000","GⅡR ","6600","-20","-0.30","465","14.19","6553","1.01","200","3.03"
"032800","G러닝 ","1240","45","3.77","22","56.36","773","1.60","0","0.00"
"041590","H&H ","1645","55","3.46","298","5.52","1011","1.63","0","0.00"
"078150","HB테크놀러지 ","1120","10","0.90",,,"460","2.43","0","0.00"
"001500","HMC투자증권 ","14350","150","1.06","1255","11.43","22706","0.63","150","1.05"
