종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"051390","영우통신 ","1450","120","9.02","307","4.72",,,"0","0.00"
"009970","영원무역 ","1180","50","4.42","596","1.98","3650","0.32","75","6.36"
"053890","영진닷컴 ","1490","90","6.43","508","2.93",,,"0","0.00"
"003520","영진약품 ","1905","125","7.02","114","16.71","935","2.04","0","0.00"
"010600","영창실업 ","4980","220","4.62","1314","3.79","19541","0.25","150","3.01"
"001890","영창악기 ","5050","-20","-0.39",,,"12188","0.41","0","0.00"
"000670","영풍 ","44900","-3900","-7.99",,,"208366","0.22","1000","2.23"
"002850","영풍산업 ","6750","170","2.58","188","35.90","12292","0.55","150","2.22"
"002855","영풍산업(1우) ","6850","70","1.03",,,,,"200","2.92"
"002857","영풍산업(2우B) ","14400","-150","-1.03",,,,,"500","3.47"
"036560","영풍정밀 ","7850","450","6.08","950","8.26",,,"0","0.00"
"006740","영풍제지 ","7600","0","0.00","2822","2.69","30061","0.25","600","7.89"
"012280","영화금속 ","510","35","7.37",,,"669","0.76","0","0.00"
"049000","예당 ","3190","240","8.14","262","12.18",,,"0","0.00"
"046840","예스테크 ","2300","220","10.58","563","4.09",,,"0","0.00"
"033850","옌트 ","710","70","10.94","12","59.17",,,"0","0.00"
"033855","옌트우 ","500","50","11.11",,,,,"0","0.00"
"045060","오공 ","1730","-90","-4.95","254","6.81",,,"0","0.00"
"041590","오디티 ","1300","110","9.24","206","6.31",,,"0","0.00"
"007310","오뚜기 ","21000","-300","-1.41","3473","6.05","44166","0.48","650","3.10"
"039830","오로라 ","3280","30","0.92","317","10.35",,,"0","0.00"
"014940","오리엔탈정공 ","840","60","7.69","256","3.28",,,"0","0.00"
"046350","오리엔텍 ","980","100","11.36",,,,,"0","0.00"
"002630","오리엔트 ","4150","100","2.47",,,"23649","0.18","0","0.00"
"010470","오리콤 ","5820","-170","-2.84",,,,,"0","0.00"
"058680","오브제 ","4880","220","4.72","2338","2.09",,,"0","0.00"
"052420","오성엘에스티 ","3370","360","11.96","35","96.29",,,"0","0.00"
"006090","오양수산 ","1990","60","3.11","519","3.83","16182","0.12","100","5.03"
"049480","오픈베이스 ","1660","120","7.79","99","16.77",,,"0","0.00"
"043790","옥션 ","27400","1400","5.38",,,,,"0","0.00"
"034970","올에버 ","320","10","3.23",,,,,"0","0.00"
