,date,code,12개월 간 수익률,name,KOSPI 12개월 간 수익률,KOSPI대비 12개월 간 수익률,12개월 간 KOSPI 이김,PER,PBR,배당수익률,PER_inv,PBR_inv
0,20210102,005930,0.4673913043478261,삼성전자,0.3210323790784167,0.1463589252694094,1,26.22,2.21,1.71,0.03813882532418002,0.45248868778280543
1,20210102,000660,0.25131995776135163,SK하이닉스,0.3210323790784167,-0.06971242131706507,0,42.81,1.91,0.79,0.023359028264424198,0.5235602094240838
2,20210102,051910,1.624203821656051,LG화학,0.3210323790784167,1.3031714425776344,1,217.63,4.09,0.22,0.004594954739695814,0.24449877750611249
3,20210102,005935,0.6140350877192983,삼성전자우,0.3210323790784167,0.29300270864088157,1,10000.0,10000.0,1.9,0.0001,0.0001
4,20210102,207940,0.9276550527173335,삼성바이오로직스,0.3210323790784167,0.6066226736389169,1,270.3,12.6,0.0,0.0036995930447650755,0.07936507936507936
5,20210102,035420,0.6027397260273972,NAVER,0.3210323790784167,0.28170734694898053,1,73.14,8.32,0.13,0.013672409078479627,0.12019230769230768
6,20210102,068270,1.0309760272985606,셀트리온,0.3210323790784167,0.709943648220144,1,158.24,17.02,0.0,0.006319514661274014,0.05875440658049354
7,20210102,006400,1.706896551724138,삼성SDI,0.3210323790784167,1.3858641726457213,1,125.87,3.83,0.15,0.007944704854214666,0.2610966057441253
8,20210102,005380,0.6271186440677966,현대차,0.3210323790784167,0.3060862649893799,1,18.35,0.82,1.93,0.0544959128065395,1.2195121951219512
9,20210102,035720,1.5541180698487373,카카오,0.3210323790784167,1.2330856907703207,1,10000.0,6.53,0.03,0.0001,0.15313935681470137
10,20210102,012330,0.03232323232323232,현대모비스,0.3210323790784167,-0.2887091467551844,0,11.84,0.85,1.39,0.08445945945945946,1.1764705882352942
11,20210102,028260,0.2837209302325581,삼성물산,0.3210323790784167,-0.037311448845858575,0,22.62,1.14,1.39,0.044208664898320066,0.8771929824561404
12,20210102,000270,0.4682352941176471,기아차,0.3210323790784167,0.1472029150392304,1,14.05,0.9,1.8,0.07117437722419928,1.1111111111111112
13,20210102,051900,0.2796208530805687,LG생활건강,0.3210323790784167,-0.041411525997847975,0,34.72,6.89,0.68,0.02880184331797235,0.14513788098693758
14,20210102,005490,0.15254237288135594,POSCO,0.3210323790784167,-0.16849000619706075,0,11.96,0.54,3.66,0.08361204013377926,1.8518518518518516
15,20210102,066570,0.9014084507042254,LG전자,0.3210323790784167,0.5803760716258086,1,840.24,1.79,0.53,0.0011901361515757403,0.5586592178770949
16,20210102,091990,2.1599035439685332,셀트리온헬스케어,0.3210323790784167,1.8388711648901166,1,354.33,13.99,0.0,0.0028222278666779556,0.07147962830593281
17,20210102,036570,0.7208872458410351,엔씨소프트,0.3210323790784167,0.39985486676261844,1,56.25,8.59,0.53,0.017777777777777778,0.11641443538998836
18,20210102,096770,0.29692832764505117,SK이노베이션,0.3210323790784167,-0.024104051433365525,0,10000.0,1.24,1.3,0.0001,0.8064516129032259
19,20210102,017670,0.017090206568583743,SK텔레콤,0.3210323790784167,-0.30394217250983296,0,19.52,0.83,4.22,0.05122950819672131,1.2048192771084338
20,20210102,105560,-0.06766917293233082,KB금융,0.3210323790784167,-0.3887015520107475,0,5.02,0.46,5.21,0.19920318725099603,2.1739130434782608
21,20210102,034730,-0.06782945736434108,SK,0.3210323790784167,-0.3888618364427578,0,19.32,1.06,2.0,0.05175983436853002,0.9433962264150942
22,20210102,015760,-0.03859649122807018,한국전력,0.3210323790784167,-0.3596288703064869,0,10000.0,0.26,0.0,0.0001,3.846153846153846
23,20210102,003550,0.2306524134234583,LG,0.3210323790784167,-0.0903799656549584,0,15.77,0.91,2.27,0.06341154090044389,1.0989010989010988
24,20210102,055550,-0.2476525821596244,신한지주,0.3210323790784167,-0.5686849612380411,0,4.51,0.4,5.86,0.22172949002217296,2.5
25,20210102,032830,0.08207934336525308,삼성생명,0.3210323790784167,-0.23895303571316362,0,14.33,0.44,3.4,0.06978367062107467,2.272727272727273
26,20210102,018260,-0.0703125,삼성에스디에스,0.3210323790784167,-0.3913448790784167,0,19.54,2.2,1.29,0.0511770726714432,0.45454545454545453
27,20210102,009150,0.40711462450592883,삼성전기,0.3210323790784167,0.08608224542751214,1,26.45,2.64,0.61,0.03780718336483932,0.3787878787878788
28,20210102,326030,0.33070866141732286,SK바이오팜,0.3210323790784167,0.009676282338906161,1,10000.0,10000.0,0.0,0.0001,0.0001
29,20210102,090430,-0.007228915662650603,아모레퍼시픽,0.3210323790784167,-0.3282612947410673,0,58.38,3.12,0.49,0.0171291538198013,0.3205128205128205
30,20210102,033780,-0.10162162162162162,KT&G,0.3210323790784167,-0.42265400070003833,0,10.0,1.3,5.36,0.1,0.7692307692307692
31,20210102,251270,0.45625692137320045,넷마블,0.3210323790784167,0.13522454229478376,1,69.57,2.52,0.0,0.014374011786689667,0.3968253968253968
32,20210102,086790,-0.04033379694019471,하나금융지주,0.3210323790784167,-0.36136617601861143,0,4.24,0.36,6.28,0.23584905660377356,2.7777777777777777
33,20210102,011170,0.2631578947368421,롯데케미칼,0.3210323790784167,-0.057874484341574606,0,13.4,0.73,2.4,0.07462686567164178,1.36986301369863
34,20210102,018880,0.5046296296296297,한온시스템,0.3210323790784167,0.18359725055121295,1,27.64,3.97,1.94,0.0361794500723589,0.2518891687657431
35,20210102,000810,-0.2138364779874214,삼성화재,0.3210323790784167,-0.5348688570658381,0,12.1,0.65,4.64,0.08264462809917356,1.5384615384615383
