date,code,12개월 간 수익률,name,KOSPI 12개월 간 수익률,KOSPI대비 12개월 간 수익률,12개월 간 KOSPI 이김,PER,PBR,배당수익률,PER_inv,PBR_inv
20211210,005930,0.040595399188092,삼성전자,0.0924560964191228,-0.0518606972310308,0,20.02,1.95,3.89,0.04995004995005,0.512820512820513
20211210,000660,0.0,SK하이닉스,0.0924560964191228,-0.0924560964191228,0,17.33,1.69,0.97,0.0577034045008656,0.591715976331361
20211210,035420,0.371527777777778,NAVER,0.0924560964191228,0.279071681358655,1,57.44,8.81,0.1,0.0174094707520891,0.113507377979569
20211210,207940,0.0961070559610705,삼성바이오로직스,0.0924560964191228,0.00365095954194777,1,247.39,12.96,0.0,0.00404220057399248,0.0771604938271605
20211210,005935,0.0553064275037369,삼성전자우,0.0924560964191228,-0.0371496689153859,0,10000.0,10000.0,4.24,0.0001,0.0001
20211210,035720,0.627517670191848,카카오,0.0924560964191228,0.535061573772725,1,331.98,8.57,0.02,0.0030122296523887,0.116686114352392
20211210,051910,-0.114832535885167,LG화학,0.0924560964191228,-0.20728863230429,0,111.01,3.21,1.35,0.00900819745968832,0.311526479750779
20211210,006400,0.252650176678445,삼성SDI,0.0924560964191228,0.160194080259322,1,82.51,3.85,0.14,0.0121197430614471,0.25974025974026
20211210,005380,0.0835509138381201,현대차,0.0924560964191228,-0.00890518258100267,0,38.05,0.83,1.45,0.026281208935611,1.20481927710843
20211210,000270,0.340659340659341,기아,0.0924560964191228,0.248203244240218,1,23.02,1.16,1.17,0.0434404865334492,0.862068965517241
20211210,323410,-0.0916905444126074,카카오뱅크,0.0924560964191228,-0.18414664083173,0,205.18,9.24,0.0,0.00487376937323326,0.108225108225108
20211210,068270,-0.400818113729331,셀트리온,0.0924560964191228,-0.493274210148454,0,55.38,8.57,0.0,0.0180570603105814,0.116686114352392
20211210,377300,0.0155440414507772,카카오페이,0.0924560964191228,-0.0769120549683456,0,10000.0,119.51,0.0,0.0001,0.00836750062756255
20211210,005490,0.0311355311355311,POSCO,0.0924560964191228,-0.0613205652835917,0,13.96,0.55,2.84,0.0716332378223496,1.81818181818182
20211210,105560,0.254604550379198,KB금융,0.0924560964191228,0.162148453960076,1,6.57,0.57,3.06,0.15220700152207,1.75438596491228
20211210,259960,0.0781938325991189,크래프톤,0.0924560964191228,-0.0142622638200038,0,35.55,17.25,0.0,0.0281293952180028,0.0579710144927536
20211210,012330,0.0124223602484472,현대모비스,0.0924560964191228,-0.0800337361706756,0,14.92,0.7,1.64,0.0670241286863271,1.42857142857143
20211210,028260,-0.0401606425702811,삼성물산,0.0924560964191228,-0.132616738989404,0,19.03,0.75,1.92,0.0525486074619023,1.33333333333333
20211210,066570,0.30977130977131,LG전자,0.0924560964191228,0.217315213352187,1,11.53,1.48,0.95,0.0867302688638335,0.675675675675676
20211210,096770,0.175675675675676,SK이노베이션,0.0924560964191228,0.0832195792565529,1,10000.0,1.4,0.0,0.0001,0.714285714285714
20211210,055550,0.0954478707782673,신한지주,0.0924560964191228,0.00299177435914448,1,5.61,0.45,4.02,0.17825311942959,2.22222222222222
20211210,302440,0.473372781065089,SK바이오사이언스,0.0924560964191228,0.380916684645966,1,463.69,57.77,0.0,0.00215661325454506,0.0173100225030293
20211210,034730,0.0794297352342159,SK,0.0924560964191228,-0.0130263611849069,0,74.77,1.08,2.64,0.013374348000535,0.925925925925926
20211210,051900,-0.2508038585209,LG생활건강,0.0924560964191228,-0.343259954940023,0,24.48,4.34,0.94,0.0408496732026144,0.230414746543779
20211210,036570,-0.17292377701934,엔씨소프트,0.0924560964191228,-0.265379873438463,0,25.51,5.08,1.18,0.0392003136025088,0.196850393700787
20211210,352820,0.975308641975309,하이브,0.0924560964191228,0.882852545556186,1,119.08,10.6,0.0,0.00839771582129661,0.0943396226415094
20211210,015760,-0.0111607142857143,한국전력,0.0924560964191228,-0.103616810704837,0,7.14,0.21,5.49,0.140056022408964,4.76190476190476
20211210,003550,0.190558022518869,LG,0.0924560964191228,0.0981019260997461,1,10.39,0.75,2.89,0.0962463907603465,1.33333333333333
20211210,032830,-0.0730027548209366,삼성생명,0.0924560964191228,-0.165458851240059,0,9.55,0.32,3.71,0.104712041884817,3.125
20211210,011200,1.12015503875969,HMM,0.0924560964191228,1.02769894234057,1,265.53,5.3,0.0,0.00376605280006026,0.188679245283019
20211210,009150,0.0953846153846154,삼성전기,0.0924560964191228,0.00292851896549261,1,22.27,2.39,0.79,0.0449034575662326,0.418410041841004
20211210,086790,0.227920227920228,하나금융지주,0.0924560964191228,0.135464131501105,1,4.87,0.42,4.29,0.205338809034908,2.38095238095238
20211210,091990,-0.439168473790473,셀트리온헬스케어,0.0924560964191228,-0.531624570209596,0,52.41,6.61,0.0,0.0190803281816447,0.151285930408472
20211210,361610,0.13915857605178,SK아이이테크놀로지,0.0924560964191228,0.0467024796326572,1,115.71,9.14,0.0,0.00864229539365656,0.109409190371991
20211210,018260,-0.0797720797720798,삼성에스디에스,0.0924560964191228,-0.172228176191203,0,28.17,1.87,1.49,0.035498757543486,0.53475935828877
20211210,017670,0.347533144968485,SK텔레콤,0.0924560964191228,0.255077048549362,1,13.63,0.95,3.58,0.0733675715333822,1.05263157894737
20211210,033780,0.016548463356974,KT&G,0.0924560964191228,-0.0759076330621488,0,9.23,1.31,5.58,0.108342361863489,0.763358778625954
20211210,034020,0.512027491408935,두산중공업,0.0924560964191228,0.419571394989812,1,10000.0,2.58,0.0,0.0001,0.387596899224806
